Date,Open,High,Low,Close,Volume,Adj Close
2011-09-13,5.8,6.0,5.65,5.97,346.097389394,5.97
2011-09-14,5.58,5.72,5.52,5.53,341.854813235,5.53
2011-09-15,5.12,5.24,5.0,5.13,408.259002164,5.13
2011-09-16,4.82,4.87,4.8,4.85,193.7631466,4.85
2011-09-17,4.87,4.87,4.87,4.87,1.461,4.87
2011-09-18,4.87,4.92,4.81,4.92,579.843102741,4.92
2011-09-19,4.9,4.9,4.9,4.9,98.0,4.9
2011-09-20,4.92,5.66,4.92,5.66,481.049262912,5.66
2011-09-21,5.7,5.79,5.66,5.66,100.594233566,5.66
2011-09-22,5.68,5.72,5.68,5.72,249.403941118,5.72
2011-09-23,5.7,5.72,5.7,5.72,118.023014807,5.72
2011-09-24,5.7,5.76,5.68,5.68,518.383945251,5.68
2011-09-25,6.05,6.05,6.05,6.05,73.931,6.05
2011-09-26,6.06,6.06,4.8,4.8,236.800854428,4.8
2011-09-27,4.85,4.92,4.85,4.92,119.22506,4.92
2011-09-28,4.9,4.91,4.82,4.82,403.846605908,4.82
2011-09-29,4.81,4.82,4.81,4.82,226.197226,4.82
2011-09-30,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-02,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-03,4.85,4.87,4.83,4.87,148.2252315,4.87
2011-10-04,4.86,5.3,4.8,4.98,701.881480452,4.98
2011-10-05,4.92,6.25,4.8,4.92,571.9455,4.92
2011-10-06,4.88,4.99,4.8,4.8,838.644692166,4.8
2011-10-07,4.8,4.81,4.59,4.61,443.6372,4.61
2011-10-08,4.57,4.57,3.99,3.99,249.51,3.99
2011-10-09,3.89,3.89,3.89,3.89,42.79,3.89
2011-10-10,3.99,4.51,3.99,4.51,596.025001536,4.51
2011-10-11,3.98,4.1,3.98,4.1,312.23915,4.1
2011-10-12,3.95,3.99,3.93,3.93,313.63792864,3.93
2011-10-13,3.93,3.97,3.93,3.97,433.32637745,3.97
2011-10-14,4.05,4.05,4.05,4.05,392.758926273,4.05
2011-10-15,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-16,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-17,3.92,3.92,3.92,3.92,40.1408,3.92
2011-10-18,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-19,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-20,2.22,2.29,2.22,2.24,139.2859281,2.24
2011-10-21,2.22,2.27,2.22,2.27,92.8928059918,2.27
2011-10-22,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-23,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-24,2.99,2.99,2.92,2.92,189.0945,2.92
2011-10-25,2.66,2.72,2.66,2.72,350.696604355,2.72
2011-10-26,2.72,3.0,2.67,2.69,719.877157002,2.69
2011-10-27,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-28,3.07,4.36,3.07,4.2,445.379526066,4.2
2011-10-29,3.69,4.4,3.69,3.95,342.34564825,3.95
2011-10-30,3.85,3.85,3.2,3.5,427.18643725,3.5
2011-10-31,3.25,3.55,3.2,3.3,226.894158956,3.3
2011-11-01,3.32,3.33,3.32,3.33,128.83546607,3.33
2011-11-02,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-03,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-04,3.27,3.55,3.21,3.55,389.570504439,3.55
2011-11-05,3.21,3.21,3.0,3.0,324.1387,3.0
2011-11-06,2.95,2.95,2.95,2.95,599.9946,2.95
2011-11-07,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-08,3.08,3.08,3.08,3.08,146.214141581,3.08
2011-11-09,3.09,3.3,3.09,3.3,188.319463035,3.3
2011-11-10,3.25,3.3,2.95,3.3,388.045937627,3.3
2011-11-11,3.3,3.3,3.3,3.3,215.9322,3.3
2011-11-12,3.35,3.35,3.35,3.35,9.3465,3.35
2011-11-13,3.35,3.35,3.35,3.35,98.790000004,3.35
2011-11-14,2.95,2.95,2.47,2.47,505.874,2.47
2011-11-15,2.99,3.0,2.5,2.5,256.464282119,2.5
2011-11-16,2.51,3.0,2.51,3.0,16.74220001,3.0
2011-11-17,3.0,3.0,2.5,2.99,47.3561859462,2.99
2011-11-18,2.5,2.79,2.5,2.5,224.29,2.5
2011-11-19,2.5,2.5,2.43,2.43,119.547460226,2.43
2011-11-20,2.37,2.37,2.37,2.37,26.07,2.37
2011-11-21,2.45,3.0,2.25,2.25,707.519199991,2.25
2011-11-22,2.53,2.59,2.46,2.59,811.138088702,2.59
2011-11-23,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-24,2.54,3.0,2.54,3.0,26.2532271838,3.0
2011-11-25,2.5,15.0,2.5,2.75,566.878999992,2.75
2011-11-26,2.77,2.77,2.77,2.77,27.9500000067,2.77
2011-11-27,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-28,2.67,2.78,2.66,2.66,486.850000007,2.66
2011-11-29,2.69,3.23,2.69,2.72,173.265896505,2.72
2011-11-30,3.19,3.19,3.19,3.19,46.3799999905,3.19
2011-12-01,3.46,3.48,3.3,3.42,805.790643545,3.42
2011-12-02,3.45,3.45,3.04,3.04,414.64920322,3.04
2011-12-03,2.93,2.93,2.93,2.93,1.465,2.93
2011-12-04,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-05,2.82,2.99,2.82,2.93,612.076513744,2.93
2011-12-06,2.9,3.25,2.89,2.98,659.727894872,2.98
2011-12-07,3.05,3.35,3.05,3.3,746.118477933,3.3
2011-12-08,3.27,3.5,2.95,3.3,366.564446248,3.3
2011-12-09,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-10,3.2,3.2,3.0,3.2,38.31,3.2
2011-12-11,3.17,3.37,3.17,3.27,517.137685888,3.27
2011-12-12,3.37,3.6,3.37,3.48,265.335813222,3.48
2011-12-13,3.25,3.59,3.25,3.56,228.229999981,3.56
2011-12-14,3.42,3.49,3.42,3.47,312.384988417,3.47
2011-12-15,3.39,3.45,3.39,3.45,352.959999981,3.45
2011-12-16,3.25,3.5,3.25,3.44,291.119609154,3.44
2011-12-17,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-18,3.25,3.5,3.25,3.5,58.58999999,3.5
2011-12-19,3.5,3.98,3.5,3.85,513.292936466,3.85
2011-12-20,4.75,4.75,4.53,4.55,432.980000007,4.55
2011-12-21,4.38,4.38,4.38,4.38,91.5400000044,4.38
2011-12-22,4.19,4.19,4.17,4.17,35.7100000003,4.17
2011-12-23,3.86,4.35,3.84,4.22,625.814286083,4.22
2011-12-24,4.33,4.33,4.33,4.33,117.883361224,4.33
2011-12-25,4.32,4.32,4.27,4.27,104.08056736,4.27
2011-12-26,4.27,4.33,4.27,4.33,243.740499996,4.33
2011-12-27,4.33,4.33,4.29,4.29,250.336983482,4.29
2011-12-28,4.29,4.3,4.25,4.3,151.724195804,4.3
2011-12-29,4.3,4.5,4.3,4.5,158.978804169,4.5
2011-12-30,4.26,4.5,4.21,4.21,240.143609195,4.21
2011-12-31,4.39,4.58,4.39,4.58,425.320337554,4.58
2012-01-01,4.58,5.0,4.58,5.0,105.77916,5.0
2012-01-02,5.0,5.0,5.0,5.0,95.24,5.0
2012-01-03,5.32,5.32,5.14,5.29,464.805209506,5.29
2012-01-04,4.93,5.57,4.93,5.57,568.076197478,5.57
