Date,Open,High,Low,Close,Volume,Adj Close
2015-02-04,228.77,230.25,221.85,227.11,,227.11
2015-05-11,241.59,245.49,239.5,242.86,,242.86
2015-05-12,242.74,243.4,240.37,242.03,,242.03
2015-05-13,242.04,244.13,235.54,236.32,,236.32
2015-05-14,236.93,240.0,232.61,237.46,,237.46
2015-05-15,237.39,239.0,236.89,237.82,,237.82
2015-05-16,237.91,237.99,235.48,236.73,,236.73
2015-05-17,236.72,238.45,236.7,237.12,,237.12
2015-05-18,237.1,237.89,231.66,234.04,,234.04
2015-05-19,234.04,234.92,231.53,232.59,,232.59
2015-05-20,232.58,235.0,232.54,234.54,,234.54
2015-05-21,234.55,236.74,234.16,235.77,,235.77
2015-05-22,235.77,242.0,235.11,240.45,,240.45
2015-05-23,240.41,240.64,237.89,239.36,,239.36
2015-05-24,239.38,242.0,238.27,240.82,,240.82
2015-05-25,240.68,241.4,236.71,237.43,,237.43
2015-05-26,237.39,238.34,235.81,236.79,,236.79
2015-05-27,236.8,238.75,236.47,237.35,,237.35
2015-05-28,237.35,238.48,236.23,237.34,,237.34
2015-05-29,237.25,237.68,235.01,236.89,,236.89
2015-05-30,236.89,236.99,231.0,233.55,,233.55
2015-05-31,233.61,233.94,229.55,230.21,,230.21
2015-06-01,230.18,230.99,221.58,223.56,,223.56
2015-06-02,223.55,226.68,221.84,225.85,,225.85
2015-06-03,225.83,227.45,223.82,225.86,,225.86
2015-06-04,225.85,226.07,223.56,224.57,,224.57
2015-06-05,224.57,226.74,223.01,224.97,,224.97
2015-06-06,225.03,225.61,224.27,225.48,,225.48
2015-06-07,225.48,226.09,222.88,223.89,,223.89
2015-06-08,223.88,230.16,223.63,229.1,,229.1
2015-06-09,229.1,232.06,228.31,229.18,,229.18
2015-06-10,229.31,230.45,227.98,228.73,,228.73
2015-06-11,228.79,230.92,228.7,229.69,,229.69
2015-06-12,229.68,231.32,229.01,229.47,,229.47
2015-06-13,229.21,233.49,228.79,233.47,,233.47
2015-06-14,233.49,235.0,232.53,233.6,,233.6
2015-06-15,233.61,238.5,233.6,236.99,,236.99
2015-06-16,236.92,253.26,236.01,251.91,,251.91
2015-06-17,251.88,259.46,247.0,250.25,,250.25
2015-06-18,250.18,253.29,243.51,249.27,,249.27
2015-06-19,249.33,251.05,245.04,246.33,,246.33
2015-06-20,246.33,246.99,240.46,246.13,,246.13
2015-06-21,246.08,246.98,242.0,244.66,,244.66
2015-06-22,244.66,248.5,243.86,247.5,,247.5
2015-06-23,247.48,248.06,243.01,244.52,,244.52
2015-06-24,244.54,244.92,239.51,240.04,,240.04
2015-06-25,240.14,243.44,239.91,242.44,,242.44
2015-06-26,242.46,243.1,239.91,243.0,,243.0
2015-06-27,242.99,252.22,242.6,251.59,,251.59
2015-06-28,251.46,251.87,247.51,249.11,,249.11
2015-06-29,249.11,257.99,249.09,257.54,,257.54
2015-06-30,257.53,269.39,255.91,263.82,,263.82
2015-07-01,263.83,265.45,255.12,259.02,,259.02
2015-07-02,258.96,262.0,253.0,254.85,,254.85
2015-07-03,254.86,257.37,252.77,256.95,,256.95
2015-07-04,256.94,261.0,254.4,260.64,,260.64
2015-07-05,260.64,275.25,258.99,271.74,,271.74
2015-07-06,272.17,277.88,268.27,269.94,,269.94
2015-07-07,269.78,272.11,264.5,266.18,,266.18
2015-07-08,266.18,273.97,264.41,270.97,,270.97
2015-07-09,271.5,272.5,267.1,269.75,,269.75
2015-07-10,269.77,294.71,269.0,286.67,,286.67
2015-07-11,286.71,299.0,284.5,294.23,,294.23
2015-07-12,294.29,316.52,293.5,312.16,,312.16
