Date,Open,High,Low,Close,Volume,Adj Close
2013-08-25,109.22,111.4,109.22,111.4,,111.4
2013-08-26,105.83,105.83,105.83,105.83,,105.83
2013-08-27,0.0,0.0,0.0,0.0,,0.0
2013-08-28,0.0,0.0,0.0,0.0,,0.0
2013-08-29,0.0,0.0,0.0,0.0,,0.0
2013-08-30,0.0,0.0,0.0,0.0,,0.0
2013-08-31,0.0,0.0,0.0,0.0,,0.0
2013-09-01,0.0,0.0,0.0,0.0,,0.0
2013-09-02,0.0,0.0,0.0,0.0,,0.0
2013-09-03,0.0,0.0,0.0,0.0,,0.0
2013-09-04,0.0,0.0,0.0,0.0,,0.0
2013-09-05,0.0,0.0,0.0,0.0,,0.0
2013-09-06,0.0,0.0,0.0,0.0,,0.0
2013-09-07,0.0,0.0,0.0,0.0,,0.0
2013-09-08,0.0,0.0,0.0,0.0,,0.0
2013-09-09,0.0,0.0,0.0,0.0,,0.0
2013-09-10,0.0,0.0,0.0,0.0,,0.0
2013-09-11,0.0,0.0,0.0,0.0,,0.0
2013-09-12,0.0,0.0,0.0,0.0,,0.0
2013-09-13,0.0,0.0,0.0,0.0,,0.0
2013-09-14,0.0,0.0,0.0,0.0,,0.0
2013-09-15,0.0,0.0,0.0,0.0,,0.0
2013-09-16,0.0,0.0,0.0,0.0,,0.0
2013-09-17,0.0,0.0,0.0,0.0,,0.0
2013-09-18,0.0,0.0,0.0,0.0,,0.0
2013-09-19,0.0,0.0,0.0,0.0,,0.0
2013-09-20,0.0,0.0,0.0,0.0,,0.0
2013-09-21,0.0,0.0,0.0,0.0,,0.0
2013-09-22,0.0,0.0,0.0,0.0,,0.0
2013-09-23,0.0,0.0,0.0,0.0,,0.0
2013-09-24,0.0,0.0,0.0,0.0,,0.0
2013-09-25,0.0,0.0,0.0,0.0,,0.0
2013-09-26,0.0,0.0,0.0,0.0,,0.0
2013-09-27,0.0,0.0,0.0,0.0,,0.0
2013-09-28,0.0,0.0,0.0,0.0,,0.0
2013-09-29,0.0,0.0,0.0,0.0,,0.0
2013-09-30,0.0,0.0,0.0,0.0,,0.0
2013-10-01,0.0,0.0,0.0,0.0,,0.0
2013-10-02,0.0,0.0,0.0,0.0,,0.0
2013-10-03,0.0,0.0,0.0,0.0,,0.0
2013-10-04,0.0,0.0,0.0,0.0,,0.0
2013-10-05,0.0,0.0,0.0,0.0,,0.0
2013-10-06,0.0,0.0,0.0,0.0,,0.0
2013-10-07,0.0,0.0,0.0,0.0,,0.0
2013-10-08,0.0,0.0,0.0,0.0,,0.0
2013-10-09,0.0,0.0,0.0,0.0,,0.0
2013-10-10,0.0,0.0,0.0,0.0,,0.0
2013-10-11,0.0,0.0,0.0,0.0,,0.0
2013-10-12,0.0,0.0,0.0,0.0,,0.0
2013-10-13,0.0,0.0,0.0,0.0,,0.0
2013-10-14,0.0,0.0,0.0,0.0,,0.0
2013-10-15,0.0,0.0,0.0,0.0,,0.0
2013-10-16,0.0,0.0,0.0,0.0,,0.0
2013-10-17,0.0,0.0,0.0,0.0,,0.0
2013-10-18,0.0,0.0,0.0,0.0,,0.0
2013-10-19,0.0,0.0,0.0,0.0,,0.0
2013-10-20,0.0,0.0,0.0,0.0,,0.0
2013-10-21,0.0,0.0,0.0,0.0,,0.0
2013-10-22,0.0,0.0,0.0,0.0,,0.0
2013-10-23,0.0,0.0,0.0,0.0,,0.0
2013-10-24,0.0,0.0,0.0,0.0,,0.0
2013-10-25,0.0,0.0,0.0,0.0,,0.0
2013-10-26,0.0,0.0,0.0,0.0,,0.0
2013-10-27,0.0,0.0,0.0,0.0,,0.0
2013-10-28,0.0,0.0,0.0,0.0,,0.0
2013-10-29,0.0,0.0,0.0,0.0,,0.0
2013-10-30,0.0,0.0,0.0,0.0,,0.0
2013-10-31,0.0,0.0,0.0,0.0,,0.0
2013-11-01,0.0,0.0,0.0,0.0,,0.0
2013-11-02,0.0,0.0,0.0,0.0,,0.0
2013-11-03,0.0,0.0,0.0,0.0,,0.0
2013-11-04,212.11,214.0,147.04,214.0,,214.0
2013-11-05,0.0,0.0,0.0,0.0,,0.0
2013-11-06,0.0,0.0,0.0,0.0,,0.0
2013-11-07,281.1,281.1,275.1,275.1,,275.1
2013-11-08,0.0,0.0,0.0,0.0,,0.0
2013-11-09,0.0,0.0,0.0,0.0,,0.0
2013-11-10,0.0,0.0,0.0,0.0,,0.0
2013-11-11,342.8379,342.8379,328.8522,338.5665,,338.5665
2013-11-12,343.2571,355.2639,341.8813,350.1564,,350.1564
2013-11-13,366.8064,387.728,356.3604,387.728,,387.728
2013-11-14,396.2058,419.5,393.6913,418.0,,418.0
2013-11-15,419.0731,436.0558,399.9999,400.0,,400.0
2013-11-16,412.03,436.05,398.4419,435.269,,435.269
2013-11-17,435.8701,473.2737,435.8701,473.2737,,473.2737
2013-11-18,461.0,590.6391,461.0,585.16,,585.16
2013-11-19,600.0,690.8915,418.3639,599.0,,599.0
2013-11-20,504.8984,550.0,425.0595,550.0,,550.0
2013-11-21,587.0,700.0,580.0,700.0,,700.0
2013-11-22,680.0,760.0,680.0,760.0,,760.0
2013-11-23,800.2,842.2031,769.9197,842.2031,,842.2031
2013-11-24,746.8631,813.7201,746.8631,813.7201,,813.7201
2013-11-25,785.9312,789.0209,782.7684,782.7684,,782.7684
2013-11-26,790.2424,849.5727,778.0,849.5727,,849.5727
2013-11-27,863.9018,948.8743,855.0,948.0,,948.0
2013-11-28,955.0,1031.0929,943.8578,1010.0,,1010.0
2013-11-29,1030.0,1124.3563,1030.0,1107.5133,,1107.5133
2013-11-30,1105.0791,1115.0,1103.1357,1112.3546,,1112.3546
2013-12-01,998.0615,998.0615,903.0,955.0,,955.0
2013-12-02,997.8715,1031.0929,960.0,998.0716,,998.0716
2013-12-03,1047.9751,1047.9751,1047.9751,1047.9751,,1047.9751
2013-12-04,1065.4556,1149.5,1065.4556,1145.0,,1145.0
2013-12-05,1129.7995,1135.0,866.0166,1030.5792,,1030.5792
2013-12-06,1028.154,1028.154,845.4143,872.5633,,872.5633
2013-12-07,833.2588,1200.0,632.3179,800.5749,,800.5749
2013-12-08,717.1272,758.4713,682.2236,730.0,,730.0
2013-12-09,871.3996,945.0192,849.4235,935.7911,,935.7911
2013-12-10,967.1839,1030.4413,958.4626,1023.0,,1023.0
2013-12-11,1005.5855,1005.5855,890.6631,921.7788,,921.7788
2013-12-12,878.9,915.0,878.8982,900.5265,,900.5265
2013-12-13,911.0,954.0,909.0815,912.5525,,912.5525
2013-12-14,904.0,909.7317,889.0095,897.9491,,897.9491
2013-12-15,891.23,891.23,850.0,864.8652,,864.8652
2013-12-16,896.7568,896.7568,699.5526,704.7716,,704.7716
2013-12-17,712.1686,759.8331,643.929,731.9437,,731.9437
2013-12-18,668.8369,668.8369,408.739,551.377,,551.377
2013-12-19,545.5924,716.4287,521.0,702.03,,702.03
2013-12-20,702.03,731.9597,599.0,599.0,,599.0
2013-12-21,655.4112,656.69,589.0,607.6849,,607.6849
2013-12-22,590.0,669.6248,590.0,622.0955,,622.0955
2013-12-23,650.1816,653.2002,640.37,640.37,,640.37
2013-12-24,661.9583,668.7459,646.8166,647.3345,,647.3345
2013-12-25,0.0,0.0,0.0,0.0,,0.0
2013-12-26,680.0,741.3188,680.0,740.0,,740.0
2013-12-27,757.5268,757.7469,708.9811,718.8866,,718.8866
2013-12-28,726.0,732.0004,701.0,701.0,,701.0
2013-12-29,710.6641,714.2902,710.6641,714.2902,,714.2902
2013-12-30,735.0,740.0,730.212,737.2392,,737.2392
2013-12-31,731.5,731.5,715.7193,727.7069,,727.7069
2014-01-01,740.0,757.0002,733.5305,740.3044,,740.3044
2014-01-02,746.2226,775.0,740.1829,775.0,,775.0
2014-01-03,801.0,812.0503,801.0,812.0503,,812.0503
2014-01-04,806.5,806.5,801.838,801.838,,801.838
2014-01-05,839.4596,904.0,839.4596,904.0,,904.0
2014-01-06,910.0,950.0,900.0,934.55,,934.55
2014-01-07,928.6902,928.6902,791.0,791.0,,791.0
2014-01-08,781.0,838.0473,771.0,828.5375,,828.5375
2014-01-09,833.7219,850.0,794.9268,850.0,,850.0
2014-01-10,832.9786,834.7482,832.9786,834.7482,,834.7482
2014-01-11,899.0,900.2737,895.0,896.8812,,896.8812
2014-01-12,892.0,892.0,888.1,888.1,,888.1
2014-01-13,846.5898,857.2822,818.3995,818.3995,,818.3995
2014-01-14,827.8434,833.4096,815.1179,826.8549,,826.8549
2014-01-15,835.5475,842.1929,833.7445,839.7285,,839.7285
2014-01-16,847.0625,847.0625,822.4162,824.0,,824.0
2014-01-17,820.0,820.6913,789.0,789.0,,789.0
2014-01-18,810.0,815.0,799.0,800.0,,800.0
2014-01-19,819.0,830.0,814.2322,830.0,,830.0
2014-01-20,831.0122,831.0122,795.2284,823.3505,,823.3505
2014-01-21,810.0,824.7234,794.2135,810.0,,810.0
2014-01-22,807.0,807.0,807.0,807.0,,807.0
2014-01-23,819.0,820.0,804.2778,816.2094,,816.2094
2014-01-24,800.0,800.0,773.1783,781.8665,,781.8665
2014-01-25,795.8311,810.0,789.437,810.0,,810.0
2014-01-26,804.1815,823.9158,731.0,809.6502,,809.6502
2014-01-27,810.9426,810.9426,757.0,760.2855,,760.2855
2014-01-28,779.78,812.0354,770.0,795.0,,795.0
2014-01-29,788.9945,800.0,783.5677,800.0,,800.0
2014-01-30,794.371,803.9477,785.3701,803.9477,,803.9477
2014-01-31,801.6731,803.2949,791.8,800.0,,800.0
2014-02-01,801.9299,814.6498,801.9299,814.6498,,814.6498
2014-02-02,0.0,0.0,0.0,0.0,,0.0
2014-02-03,806.7769,814.1156,801.6685,810.0,,810.0
2014-02-04,810.7958,813.2346,808.27,813.0,,813.0
2014-02-05,807.0,808.0,791.0,791.0,,791.0
2014-02-06,793.0,793.0,768.0,771.5532,,771.5532
2014-02-07,750.27,755.0519,677.0,720.0,,720.0
2014-02-08,700.0,716.4486,690.0,690.0,,690.0
2014-02-09,702.5919,720.0,702.5919,710.0,,710.0
2014-02-10,720.0,739.0,642.0,706.3216,,706.3216
2014-02-11,739.0,761.6646,653.2608,658.8722,,658.8722
2014-02-12,691.1288,691.1288,650.0,685.0,,685.0
2014-02-13,671.9353,671.9353,630.0,634.2556,,634.2556
2014-02-14,622.0,724.0,565.2,682.0,,682.0
2014-02-15,652.8892,655.69,650.0,653.3833,,653.3833
2014-02-16,650.0,650.0,608.0,608.0,,608.0
2014-02-17,626.0,663.85,626.0,663.85,,663.85
2014-02-18,660.0,660.0,622.0,628.0,,628.0
2014-02-19,634.1766,637.9856,628.0,630.41,,630.41
2014-02-20,633.0,633.0,574.8141,578.8766,,578.8766
2014-02-21,565.2,591.5,548.5109,568.0,,568.0
2014-02-22,587.6119,602.77,563.7422,595.217,,595.217
2014-02-23,597.7305,624.0523,597.7305,619.0,,619.0
2014-02-24,597.27,597.27,562.4307,562.4307,,562.4307
2014-02-25,554.0,567.0,425.0,515.0,,515.0
2014-02-26,548.6663,594.4702,544.0,582.0,,582.0
2014-02-27,592.5332,592.5332,565.72,579.0,,579.0
2014-02-28,575.4764,590.3005,544.8857,565.0,,565.0
2014-03-01,565.0,571.7731,560.0,568.2092,,568.2092
2014-03-02,570.9,583.4914,560.0,560.62,,560.62
2014-03-03,571.4977,685.0,569.7441,658.0,,658.0
2014-03-04,654.7206,675.0,652.6215,668.0,,668.0
2014-03-05,658.0,675.7971,658.0,675.0,,675.0
2014-03-06,673.4445,675.0,657.0,663.0,,663.0
2014-03-07,663.0,663.0,614.0,621.0,,621.0
2014-03-08,621.0,621.0,600.2499,614.1355,,614.1355
2014-03-09,610.4796,621.0,609.3709,621.0,,621.0
2014-03-10,621.0,621.0,612.84,615.0,,615.0
2014-03-11,615.0,615.0,613.5,615.0,,615.0
2014-03-12,615.0,650.0,615.0,650.0,,650.0
2014-03-13,633.5101,645.14,633.5101,641.99,,641.99
2014-03-14,632.93,638.97,630.0,630.0,,630.0
2014-03-15,636.89,641.64,636.89,641.64,,641.64
2014-03-16,640.1,640.1,635.01,635.01,,635.01
2014-03-17,635.0,635.7,624.0,624.33,,624.33
2014-03-18,623.08,623.89,610.89,618.37,,618.37
2014-03-19,622.9,622.92,611.0,611.0,,611.0
2014-03-20,610.0,639.21,583.48,583.48,,583.48
2014-03-21,581.0,605.42,568.8,568.8,,568.8
2014-03-22,560.0,562.86,550.0,560.0,,560.0
2014-03-23,570.3,570.3,566.2,566.2,,566.2
2014-03-24,560.38,590.0,552.0,590.0,,590.0
2014-03-25,586.58,586.66,579.1,582.01,,582.01
2014-03-26,580.0,595.0,570.0,595.0,,595.0
2014-03-27,582.4,589.33,498.53,498.53,,498.53
2014-03-28,525.0,525.0,490.0,497.44,,497.44
2014-03-29,506.17,507.0,490.98,491.92,,491.92
2014-03-30,493.01,493.01,440.35,464.1,,464.1
2014-03-31,478.6,485.0,443.13,452.0,,452.0
2014-04-01,460.32,486.0,451.44,482.83,,482.83
2014-04-02,479.18,490.51,435.79,443.33,,443.33
2014-04-03,440.61,462.05,422.0,448.78,,448.78
2014-04-04,441.5,458.13,434.17,449.99,,449.99
2014-04-05,453.0,460.8,445.19,460.8,,460.8
2014-04-06,463.3,463.3,453.69,453.69,,453.69
2014-04-07,460.21,463.62,445.0,454.2,,454.2
2014-04-08,454.5,458.25,448.75,448.75,,448.75
2014-04-09,454.97,454.97,440.0,442.5,,442.5
2014-04-10,440.24,440.24,370.0,370.0,,370.0
2014-04-11,355.0,427.0,325.0,416.26,,416.26
2014-04-12,417.75,430.0,412.0,415.0,,415.0
2014-04-13,415.0,415.0,404.22,404.22,,404.22
2014-04-14,403.15,464.0,403.15,459.0,,459.0
2014-04-15,453.36,515.0,453.36,515.0,,515.0
2014-04-16,510.0,522.79,499.0,522.25,,522.25
2014-04-17,519.55,522.25,491.0,500.71,,500.71
2014-04-18,499.39,504.37,483.57,490.54,,490.54
2014-04-19,488.17,510.0,484.71,505.0,,505.0
2014-04-20,510.0,512.45,510.0,512.45,,512.45
2014-04-21,509.0,510.0,495.77,497.0,,497.0
2014-04-22,499.5,501.0,488.0,488.0,,488.0
2014-04-23,494.86,494.86,480.0,490.21,,490.21
2014-04-24,486.0,497.5,480.0,497.5,,497.5
2014-04-25,493.08,494.37,446.22,460.0,,460.0
2014-04-26,467.35,470.49,453.86,459.0,,459.0
2014-04-27,460.0,460.5,441.45,441.45,,441.45
2014-04-28,434.0,448.0,433.0,448.0,,448.0
2014-04-29,438.72,450.0,431.54,434.0,,434.0
2014-04-30,446.0,450.0,440.5,448.27,,448.27
2014-05-01,450.81,463.0,450.78,459.0,,459.0
2014-05-02,459.01,459.63,447.0,453.5,,453.5
2014-05-03,452.0,452.0,432.61,440.54,,440.54
2014-05-04,439.53,440.63,430.87,430.87,,430.87
2014-05-05,436.41,439.88,426.5,427.01,,427.01
2014-05-06,426.55,431.5,419.77,430.0,,430.0
2014-05-07,430.0,448.72,425.89,438.0,,438.0
2014-05-08,440.0,447.0,439.51,442.8,,442.8
