Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,0.22,0.222,0.185,0.195,33492800,0.195
2015-12-30,0.261,0.266,0.225,0.23,35221400,0.23
2015-12-29,0.28,0.285,0.264,0.268,11270400,0.268
2015-12-28,0.294,0.298,0.28,0.28,9200400,0.28
2015-12-25,0.29,0.29,0.29,0.29,000,0.29
2015-12-24,0.291,0.30,0.282,0.29,10040500,0.29
2015-12-23,0.29,0.298,0.276,0.28,11126700,0.28
2015-12-22,0.275,0.298,0.253,0.28,21340000,0.28
2015-12-21,0.285,0.299,0.272,0.272,19935200,0.272
2015-12-18,0.324,0.338,0.298,0.303,24430300,0.303
2015-12-17,0.34,0.34,0.308,0.32,15218400,0.32
2015-12-16,0.355,0.357,0.323,0.337,34154200,0.337
2015-12-15,0.28,0.315,0.277,0.312,14573600,0.312
2015-12-14,0.299,0.31,0.262,0.28,26743400,0.28
2015-12-11,0.339,0.345,0.29,0.291,19237400,0.291
2015-12-10,0.38,0.40,0.314,0.325,34652500,0.325
2015-12-09,0.33,0.39,0.33,0.35,36160600,0.35
2015-12-08,0.345,0.373,0.307,0.326,24709800,0.326
2015-12-07,0.40,0.409,0.344,0.36,26359600,0.36
2015-12-04,0.354,0.455,0.34,0.404,42390500,0.404
2015-12-03,0.531,0.534,0.371,0.405,63854900,0.405
2015-12-02,0.57,0.57,0.434,0.528,73464200,0.528
2015-12-01,0.38,0.439,0.373,0.428,67148600,0.428
2015-11-30,0.322,0.364,0.306,0.35,88751100,0.35
2015-11-27,0.253,0.34,0.252,0.292,60122100,0.292
2015-11-26,0.382,0.413,0.252,0.252,112191500,0.252
2015-11-25,0.281,0.576,0.281,0.42,102384400,0.42
2015-11-24,0.916,0.916,0.893,0.91,7572900,0.91
2015-11-23,0.931,0.931,0.911,0.917,3142700,0.917
2015-11-20,0.90,0.932,0.871,0.92,9583600,0.92
2015-11-19,0.953,0.963,0.915,0.916,13633500,0.916
2015-11-18,0.974,0.974,0.955,0.955,4677400,0.955
2015-11-17,0.973,0.975,0.95,0.97,9221400,0.97
2015-11-16,0.93,0.987,0.922,0.944,7905100,0.944
2015-11-13,0.959,1.009,0.90,0.961,18513500,0.961
2015-11-12,1.025,1.035,0.924,0.98,27047000,0.98
2015-11-11,1.047,1.047,1.007,1.034,18534000,1.034
2015-11-10,1.117,1.12,1.051,1.06,17656700,1.06
2015-11-09,1.055,1.166,1.05,1.091,67546400,1.091
2015-11-06,1.009,1.011,0.966,0.984,8586800,0.984
2015-11-05,1.021,1.024,0.989,1.006,10586400,1.006
2015-11-04,1.017,1.032,1.007,1.014,15703600,1.014
2015-11-03,1.005,1.052,0.97,1.003,20774900,1.003
2015-11-02,0.882,1.024,0.88,1.004,40439600,1.004
2015-10-30,0.85,0.90,0.845,0.887,8396800,0.887
2015-10-29,0.874,0.876,0.848,0.856,3792700,0.856
2015-10-28,0.85,0.878,0.841,0.874,3188400,0.874
2015-10-27,0.876,0.876,0.845,0.852,4986500,0.852
2015-10-26,0.87,0.888,0.86,0.873,3872300,0.873
2015-10-23,0.88,0.881,0.85,0.865,8631500,0.865
2015-10-22,0.885,0.895,0.836,0.869,11627600,0.869
2015-10-21,0.92,0.922,0.895,0.901,5129500,0.901
2015-10-20,0.90,0.925,0.88,0.912,11041200,0.912
2015-10-19,0.898,0.915,0.892,0.905,6969200,0.905
2015-10-16,0.898,0.908,0.87,0.897,17859900,0.897
2015-10-15,0.879,0.895,0.867,0.889,11693400,0.889
2015-10-14,0.834,0.879,0.821,0.87,16271700,0.87
2015-10-13,0.857,0.859,0.835,0.848,9524300,0.848
2015-10-12,0.855,0.905,0.836,0.854,11266400,0.854
2015-10-09,0.862,0.915,0.83,0.846,27162600,0.846
2015-10-08,0.89,0.894,0.851,0.855,13038700,0.855
2015-10-07,0.91,0.926,0.883,0.895,20158200,0.895
2015-10-06,0.954,0.954,0.89,0.919,24741800,0.919
2015-10-05,0.869,0.976,0.851,0.935,31078700,0.935
2015-10-02,0.84,0.85,0.822,0.843,10040000,0.843
2015-10-01,0.831,0.846,0.825,0.825,18534700,0.825
2015-09-30,0.857,0.87,0.823,0.829,11646500,0.829
2015-09-29,0.81,0.843,0.781,0.838,27904500,0.838
2015-09-28,0.838,0.874,0.799,0.83,25469300,0.83
2015-09-25,0.956,0.98,0.864,0.876,30973800,0.876
2015-09-24,1.075,1.104,0.921,0.938,70838500,0.938
2015-09-23,0.801,0.99,0.756,0.975,69724300,0.975
2015-09-22,0.83,0.874,0.723,0.773,39914400,0.773
2015-09-21,0.87,0.887,0.833,0.837,24536000,0.837
2015-09-18,1.023,1.029,0.891,0.912,59507800,0.912
2015-09-17,1.049,1.056,1.002,1.006,20693400,1.006
2015-09-16,1.06,1.064,1.025,1.043,12312600,1.043
2015-09-15,1.031,1.057,1.001,1.041,16894300,1.041
2015-09-14,1.029,1.068,1.01,1.027,22615600,1.027
2015-09-11,1.072,1.086,0.988,0.989,18746800,0.989
2015-09-10,1.048,1.10,1.031,1.065,24164400,1.065
2015-09-09,1.048,1.11,1.024,1.063,32821500,1.063
2015-09-08,1.09,1.112,0.975,1.028,38900400,1.028
2015-09-07,0.924,1.079,0.905,1.051,22719200,1.051
2015-09-04,0.91,0.961,0.861,0.903,29957900,0.903
2015-09-03,0.878,0.917,0.832,0.874,49489200,0.874
2015-09-02,1.033,1.042,0.872,0.938,40106200,0.938
2015-09-01,1.102,1.129,1.012,1.03,26310300,1.03
2015-08-31,1.05,1.108,1.02,1.089,20090800,1.089
2015-08-28,1.106,1.12,1.01,1.048,30480800,1.048
2015-08-27,1.188,1.24,1.07,1.099,70728000,1.099
2015-08-26,1.06,1.164,1.01,1.134,57343000,1.134
2015-08-25,0.81,1.02,0.791,0.98,66518500,0.98
2015-08-24,0.75,0.83,0.74,0.774,27163400,0.774
2015-08-21,0.721,0.804,0.70,0.749,38232500,0.749
2015-08-20,0.77,0.81,0.713,0.73,35702200,0.73
2015-08-19,0.84,0.913,0.74,0.77,47800200,0.77
2015-08-18,0.938,0.939,0.84,0.85,31367200,0.85
2015-08-17,0.959,0.975,0.922,0.93,14979200,0.93
2015-08-14,0.956,0.998,0.925,0.94,31477600,0.94
2015-08-13,0.999,1.02,0.933,0.946,34604800,0.946
2015-08-12,1.043,1.063,0.945,0.956,47386100,0.956
2015-08-11,1.11,1.123,1.05,1.05,40931900,1.05
2015-08-10,1.109,1.142,1.05,1.089,35236800,1.089
2015-08-07,1.19,1.195,1.09,1.094,47018300,1.094
2015-08-06,1.159,1.227,1.10,1.186,55823300,1.186
2015-08-05,1.05,1.189,1.05,1.097,76904000,1.097
2015-08-04,1.415,1.42,1.044,1.044,83388700,1.044
2015-08-03,1.74,1.74,1.391,1.415,84525300,1.415
2015-07-31,2.03,2.075,1.965,2.047,12725800,2.047
2015-07-30,2.177,2.18,1.96,2.02,24308100,2.02
2015-07-29,2.21,2.22,2.141,2.167,9355300,2.167
2015-07-28,2.217,2.229,2.152,2.20,8943100,2.20
2015-07-27,2.198,2.31,2.079,2.193,17596100,2.193
2015-07-24,2.55,2.598,1.96,2.244,67302300,2.244
2015-07-23,2.66,2.661,2.401,2.424,28672800,2.424
2015-07-22,2.701,2.746,2.586,2.625,14514800,2.625
2015-07-21,2.809,2.815,2.69,2.703,9745900,2.703
2015-07-20,2.825,2.83,2.785,2.801,6194600,2.801
2015-07-17,2.85,2.87,2.775,2.78,56774000,2.78
2015-07-16,2.892,2.936,2.856,2.89,6562800,2.89
2015-07-15,2.906,2.91,2.842,2.859,4210000,2.859
2015-07-14,2.858,2.924,2.806,2.894,7826800,2.894
2015-07-13,2.84,2.86,2.718,2.84,7920300,2.84
2015-07-10,2.78,2.845,2.76,2.811,9608200,2.811
2015-07-09,2.706,2.779,2.672,2.72,10194000,2.72
2015-07-08,2.79,2.804,2.682,2.689,13385600,2.689
2015-07-07,2.824,2.865,2.755,2.775,8389400,2.775
2015-07-06,2.78,2.83,2.76,2.799,7965000,2.799
2015-07-03,2.95,2.962,2.832,2.868,14361100,2.868
2015-07-02,3.00,3.02,2.903,2.949,9923800,2.949
2015-07-01,2.87,3.055,2.819,3.003,16336500,3.003
2015-06-30,2.85,2.889,2.78,2.82,10103300,2.82
2015-06-29,2.746,2.93,2.745,2.858,9709300,2.858
2015-06-26,3.066,3.099,3.04,3.05,6214500,3.05
2015-06-25,3.00,3.10,2.998,3.094,8814200,3.094
2015-06-24,3.05,3.05,2.985,3.029,6838900,3.029
2015-06-23,3.062,3.087,3.03,3.05,4360700,3.05
2015-06-22,3.01,3.07,3.00,3.056,11159800,3.056
2015-06-19,2.86,2.985,2.85,2.98,12190400,2.98
2015-06-18,2.88,2.89,2.801,2.86,7287600,2.86
2015-06-17,2.933,2.942,2.859,2.90,4967900,2.90
2015-06-16,2.901,2.917,2.768,2.913,9880400,2.913
2015-06-15,2.956,2.978,2.841,2.93,7615400,2.93
2015-06-12,3.015,3.07,2.965,2.994,8918200,2.994
2015-06-11,3.068,3.086,3.025,3.034,21349900,3.034
2015-06-10,3.03,3.087,3.01,3.078,7801800,3.078
2015-06-09,2.91,3.001,2.871,2.995,9388100,2.995
2015-06-08,2.98,3.008,2.911,2.925,4407800,2.925
2015-06-05,3.00,3.006,2.931,2.998,10102000,2.998
2015-06-04,3.07,3.082,2.974,3.031,4338800,3.031
2015-06-03,3.055,3.099,3.037,3.08,17113100,3.08
2015-06-02,3.05,3.065,3.009,3.057,5460300,3.057
2015-06-01,3.06,3.089,3.007,3.045,11387000,3.045
2015-05-29,3.041,3.067,3.018,3.05,9494300,3.05
2015-05-28,3.035,3.065,2.967,3.05,22772900,3.05
2015-05-27,2.95,3.035,2.942,3.03,11964600,3.03
2015-05-26,2.839,2.932,2.77,2.915,12976900,2.915
2015-05-25,2.928,2.928,2.836,2.847,20639900,2.847
2015-05-22,2.976,2.992,2.942,2.954,6138000,2.954
2015-05-21,2.915,2.997,2.912,2.98,8393800,2.98
2015-05-20,3.00,3.00,2.928,2.974,12256300,2.974
2015-05-19,3.01,3.05,2.933,2.99,15061000,2.99
2015-05-18,3.04,3.06,3.01,3.046,7895300,3.046
2015-05-15,3.03,3.05,2.971,3.042,12261700,3.042
2015-05-14,2.98,2.999,2.91,2.957,9170000,2.957
2015-05-13,3.033,3.047,2.968,2.99,6335800,2.99
2015-05-12,3.099,3.099,2.966,3.02,10059900,3.02
2015-05-11,2.90,3.115,2.844,3.064,33200400,3.064
2015-05-08,2.851,2.901,2.817,2.88,7086800,2.88
2015-05-07,2.82,2.831,2.701,2.822,7270000,2.822
