Date,Open,High,Low,Close,Volume,Adj Close
2010-12-30,18.575,18.73,18.10,18.375,1581100,2.77026
2010-12-29,18.40,18.79,18.40,18.595,1079600,2.80343
2010-12-28,18.755,18.825,18.385,18.41,795600,2.77554
2010-12-27,19.49,19.49,18.33,18.62,2742900,2.8072
2010-12-24,19.325,19.325,19.325,19.325,000,2.91349
2010-12-23,19.30,19.37,19.055,19.325,2526700,2.91349
2010-12-22,19.00,19.14,18.70,18.84,1133500,2.84037
2010-12-21,18.61,18.90,18.56,18.795,1424300,2.83358
2010-12-20,17.85,18.75,17.75,18.575,2206300,2.80041
2010-12-17,17.90,18.025,17.745,17.76,1489900,2.67754
2010-12-16,17.93,18.25,17.80,17.935,821400,2.70393
2010-12-15,18.50,18.50,18.005,18.125,1259900,2.73257
2010-12-14,18.60,18.66,18.35,18.50,2337200,2.78911
2010-12-13,18.33,18.625,18.075,18.59,1612000,2.80267
2010-12-10,18.31,18.43,18.095,18.235,1188100,2.74915
2010-12-09,17.90,18.31,17.80,18.31,1797900,2.76046
2010-12-08,17.72,18.12,17.60,17.87,1811300,2.69413
2010-12-07,17.46,17.87,16.90,17.83,1863800,2.6881
2010-12-06,17.825,17.825,17.40,17.40,2059400,2.62327
2010-12-03,17.50,17.745,17.345,17.685,3098800,2.66623
2010-12-02,17.06,17.365,16.50,17.215,2884200,2.59538
2010-12-01,15.69,16.865,15.69,16.80,3948400,2.53281
2010-11-30,15.73,15.88,15.50,15.645,2276500,2.35868
2010-11-29,16.12,16.605,15.675,15.77,2714900,2.37752
2010-11-26,16.47,16.67,15.955,16.12,2740400,2.43029
2010-11-25,17.30,17.30,16.38,16.64,3707700,2.50869
2010-11-24,17.10,17.50,16.63,17.39,1942500,2.62176
2010-11-23,17.435,17.435,17.00,17.00,3304500,2.56296
2010-11-22,17.73,18.075,17.375,17.525,1950800,2.64211
2010-11-19,18.16,18.16,17.60,17.73,2871200,2.67302
2010-11-18,17.915,18.33,17.915,18.185,1359800,2.74162
2010-11-17,17.89,18.065,17.70,17.77,1880400,2.67905
2010-11-16,18.505,18.505,17.84,17.88,1640400,2.69563
2010-11-15,18.30,18.62,18.18,18.59,1124500,2.80267
2010-11-12,17.95,18.585,17.77,18.405,1930400,2.77478
2010-11-11,18.55,18.69,18.01,18.15,3119200,2.73634
2010-11-10,19.00,19.055,18.455,18.515,1764700,2.79137
2010-11-09,18.55,19.065,18.525,19.00,2272900,2.86449
2010-11-08,18.75,18.82,18.505,18.62,1929500,2.8072
2010-11-05,19.525,19.72,18.775,18.785,2402800,2.83207
2010-11-04,19.955,20.00,19.52,19.52,2479800,2.94288
2010-11-03,20.115,20.345,19.75,19.75,1513800,2.97756
2010-11-02,19.84,20.24,19.785,20.145,1850400,3.03711
2010-11-01,20.00,20.195,19.86,20.01,989500,3.01676
2010-10-29,19.90,19.95,19.68,19.90,2235500,3.00017
2010-10-28,19.74,19.96,19.65,19.90,1970600,3.00017
2010-10-27,19.88,19.93,19.625,19.70,1410400,2.97002
2010-10-26,20.195,20.20,19.75,19.89,1132800,2.99867
2010-10-25,19.985,20.20,19.76,20.19,1736100,3.04389
2010-10-22,19.75,19.99,19.63,19.80,1846500,2.9851
2010-10-21,19.69,19.855,19.525,19.85,1608500,2.99264
2010-10-20,19.875,19.875,19.515,19.65,1812500,2.96248
2010-10-19,19.595,19.99,19.50,19.89,2815800,2.99867
2010-10-18,19.415,19.56,19.21,19.56,1263500,2.94891
2010-10-15,19.41,19.50,19.15,19.415,1860200,2.92705
2010-10-14,19.405,19.85,19.315,19.37,3353200,2.92027
2010-10-13,19.00,19.50,19.00,19.405,2086200,2.92555
