Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,22.88,23.07,22.63,22.90,442700,18.37267
2011-12-29,22.68,22.945,22.35,22.84,274400,18.32453
2011-12-28,22.935,23.14,22.585,22.595,563300,18.12796
2011-12-27,23.20,23.33,22.945,22.99,188800,18.44487
2011-12-26,23.00,23.00,23.00,23.00,000,18.4529
2011-12-23,23.02,23.245,22.91,23.00,577500,18.4529
2011-12-22,22.675,23.15,22.64,22.74,494400,18.2443
2011-12-21,23.38,23.57,22.505,22.595,661500,18.12796
2011-12-20,22.475,23.18,22.37,23.135,725600,18.56121
2011-12-19,22.395,22.945,22.35,22.555,1064800,18.09587
2011-12-16,22.40,22.775,22.20,22.62,1353100,18.14802
2011-12-15,21.975,22.39,21.97,22.19,1018800,17.80303
2011-12-14,22.455,22.91,21.89,21.935,1405600,17.59845
2011-12-13,22.795,23.14,22.355,22.605,853400,18.13599
2011-12-12,23.435,23.455,22.59,22.69,1101200,18.20418
2011-12-09,22.795,23.65,22.795,23.435,977800,18.8019
2011-12-08,23.99,24.15,22.98,22.995,1069200,18.44888
2011-12-07,24.25,24.45,23.60,23.99,1208400,19.24717
2011-12-06,24.08,24.205,23.82,23.995,533900,19.25118
2011-12-05,24.025,24.66,23.985,24.195,6525600,19.41164
2011-12-02,23.97,24.21,23.775,23.865,649500,19.14688
2011-12-01,24.13,24.13,23.625,23.625,631800,18.95433
2011-11-30,22.71,24.025,22.685,24.025,1566000,19.27525
2011-11-29,22.72,23.115,22.60,22.95,718600,18.41278
2011-11-28,22.15,22.875,21.985,22.83,1045300,18.3165
2011-11-25,21.86,22.00,21.32,21.875,551900,17.55031
2011-11-24,21.925,22.30,21.475,21.745,952400,17.44601
2011-11-23,22.065,22.65,21.835,21.84,1224900,17.52223
2011-11-22,23.03,23.43,22.205,22.295,1091300,17.88727
2011-11-21,24.20,24.32,22.91,22.98,1016500,18.43685
2011-11-18,24.025,24.51,24.005,24.225,1736200,19.43571
2011-11-17,24.30,24.59,24.00,24.21,948400,19.42368
2011-11-16,24.15,24.71,24.15,24.38,843800,19.56007
2011-11-15,25.49,25.49,23.90,24.31,1364500,19.50391
2011-11-14,26.37,26.73,25.16,25.23,1018700,20.24202
2011-11-11,25.55,26.28,25.50,26.115,643000,20.95206
2011-11-10,25.20,26.145,25.065,25.675,851000,20.59905
2011-11-09,26.79,26.80,25.29,25.645,1230400,20.57498
2011-11-08,26.325,26.755,26.285,26.445,461500,21.21682
2011-11-07,26.00,26.68,25.57,26.45,957900,21.22083
2011-11-04,27.005,27.20,26.14,26.225,924600,21.04031
2011-11-03,25.82,27.03,25.82,26.935,879900,21.60994
2011-11-02,26.635,26.86,25.805,26.15,1052900,20.98014
2011-11-01,26.98,27.00,26.22,26.40,633200,21.18071
2011-10-31,28.185,28.60,27.445,27.45,919000,22.02313
2011-10-28,29.03,29.11,28.40,28.585,937500,22.93374
2011-10-27,28.64,28.955,28.42,28.90,1000900,23.18646
2011-10-26,27.99,28.295,27.55,27.955,804200,22.42829
2011-10-25,28.09,28.395,27.715,27.99,769500,22.45637
2011-10-24,27.74,28.25,27.405,28.25,690800,22.66497
2011-10-21,26.95,27.69,26.95,27.565,1282300,22.11539
2011-10-20,27.115,27.33,26.63,26.795,983400,21.49762
2011-10-19,27.80,27.81,27.15,27.45,877100,22.02313
2011-10-18,27.515,27.895,27.30,27.67,1104500,22.19964
2011-10-17,28.295,28.61,27.50,27.745,738700,22.25981
2011-10-14,27.635,28.05,27.53,28.00,813600,22.46439
2011-10-13,27.665,27.99,27.11,27.48,1510100,22.0472
2011-10-12,27.065,27.855,26.90,27.685,553200,22.21167
2011-10-11,27.21,27.34,26.815,27.185,660100,21.81052
2011-10-10,26.915,27.20,26.765,27.20,478700,21.82256
2011-10-07,26.855,26.98,26.36,26.73,790100,21.44547
2011-10-06,25.935,26.71,25.91,26.71,1091000,21.42943
2011-10-05,25.76,25.76,25.075,25.74,1637900,20.6512
2011-10-04,25.975,25.99,24.695,25.185,1560400,20.20592
2011-10-03,26.18,26.365,25.97,26.19,852700,21.01223
2011-09-30,27.00,27.11,26.395,26.59,1155300,21.33315
2011-09-29,26.93,27.24,26.695,27.15,1259000,21.78244
2011-09-28,26.40,27.285,26.29,27.08,1052600,21.72628
2011-09-27,26.00,26.815,25.73,26.805,1061300,21.50565
2011-09-26,24.32,25.80,24.32,25.425,837400,20.39847
2011-09-23,25.09,25.275,23.96,24.945,898200,20.01337
2011-09-22,25.18,25.515,24.70,24.895,1124000,19.97325
2011-09-21,26.095,26.25,25.80,25.96,1524400,20.8277
2011-09-20,26.00,26.325,25.75,26.075,1046900,20.91997
2011-09-19,26.075,26.45,26.005,26.12,762600,20.95607
2011-09-16,26.675,26.745,26.155,26.59,1288500,21.33315
2011-09-15,26.35,26.68,26.12,26.515,904200,21.27298
2011-09-14,25.29,26.10,25.20,26.05,534200,20.89991
2011-09-13,25.675,25.675,24.76,25.50,499400,20.45864
2011-09-12,25.35,25.625,25.12,25.20,830700,20.21796
2011-09-09,26.91,27.535,25.96,25.96,579300,20.8277
2011-09-08,26.57,27.295,26.46,27.16,569300,21.79046
2011-09-07,26.565,26.565,26.085,26.52,509100,21.27699
2011-09-06,26.20,26.665,25.64,25.85,1215300,20.73945
2011-09-05,27.30,27.30,26.20,26.50,520200,21.26094
2011-09-02,28.25,28.445,27.365,27.71,713800,22.23173
2011-09-01,28.655,28.815,28.10,28.525,927200,22.8856
2011-08-31,28.06,28.65,28.02,28.57,853800,22.9217
2011-08-30,27.48,27.87,27.45,27.75,414800,22.26382
2011-08-29,27.00,27.595,26.89,27.48,295500,22.0472
2011-08-26,26.83,27.05,26.01,26.49,739100,21.25292
