Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,12.60,12.64,12.40,12.505,226100,12.0882
2014-12-30,12.615,12.615,12.49,12.55,558700,12.1317
2014-12-29,12.465,12.76,12.425,12.68,1071800,12.2573
2014-12-26,12.715,12.715,12.715,12.715,000,12.2912
2014-12-25,12.715,12.715,12.715,12.715,000,12.2912
2014-12-24,12.685,12.83,12.68,12.715,102300,12.2912
2014-12-23,12.40,12.73,12.38,12.685,1804300,12.2622
2014-12-22,12.365,12.59,12.12,12.43,1281700,12.0157
2014-12-19,12.30,12.37,12.055,12.33,1383000,11.919
2014-12-18,12.135,12.27,12.01,12.195,1219800,11.7885
2014-12-17,11.22,12.04,11.22,11.95,1436500,11.5517
2014-12-16,11.14,11.43,11.025,11.395,1065300,11.0152
2014-12-15,11.50,11.60,11.12,11.20,1033600,10.8267
2014-12-12,11.77,11.77,11.45,11.59,828500,11.2037
2014-12-11,12.00,12.30,11.555,11.835,1032900,11.4405
2014-12-10,12.275,12.34,12.065,12.145,449600,11.7402
2014-12-09,12.44,12.44,12.14,12.25,830500,11.8417
2014-12-08,12.435,12.65,12.435,12.56,535500,12.1413
2014-12-05,12.49,12.575,12.295,12.50,742100,12.0833
2014-12-04,12.51,12.545,12.135,12.29,625900,11.8803
2014-12-03,12.17,12.545,12.17,12.47,679000,12.0543
2014-12-02,12.21,12.26,12.055,12.21,480400,11.803
2014-12-01,12.18,12.285,11.71,12.21,544400,11.803
2014-11-28,12.315,12.395,12.085,12.23,779700,11.8223
2014-11-27,12.375,12.44,12.335,12.39,425700,11.977
2014-11-26,12.475,12.475,12.355,12.38,499600,11.9673
2014-11-25,12.455,12.485,12.305,12.475,821100,12.0592
2014-11-24,12.455,12.58,12.33,12.505,1095900,12.0882
2014-11-21,11.895,12.48,11.85,12.41,1218100,11.9963
2014-11-20,11.89,11.92,11.76,11.89,548300,11.4937
2014-11-19,11.75,11.985,11.695,11.95,1152000,11.5517
2014-11-18,11.51,11.86,11.47,11.79,4738900,11.397
2014-11-17,11.165,11.545,11.12,11.45,605300,11.0683
2014-11-14,11.37,11.48,11.11,11.28,980500,10.904
2014-11-13,11.34,11.46,11.27,11.35,605100,10.9717
2014-11-12,11.295,11.405,11.25,11.305,943800,10.9282
2014-11-11,11.40,11.435,11.235,11.36,1237100,10.9813
2014-11-10,11.34,11.525,11.225,11.31,432400,10.933
2014-11-07,11.29,11.445,11.075,11.30,1238800,10.9233
2014-11-06,11.145,11.355,11.11,11.20,912200,10.8267
2014-11-05,11.73,11.73,11.23,11.26,800400,10.8847
2014-11-04,11.905,12.03,11.485,11.62,864800,11.2327
2014-11-03,11.825,12.095,11.825,11.88,995900,11.484
2014-10-31,11.89,11.89,11.79,11.835,905600,11.4405
2014-10-30,11.75,11.87,11.41,11.695,2053800,11.3052
2014-10-29,11.72,11.72,11.36,11.485,4065100,11.1022
2014-10-28,11.325,11.58,11.20,11.515,1078600,11.1312
2014-10-27,11.52,11.685,11.055,11.205,957500,10.8315
2014-10-24,11.275,11.50,11.265,11.41,548300,11.0297
2014-10-23,11.38,11.52,11.20,11.395,695300,11.0152
2014-10-22,11.145,11.425,11.015,11.345,1628300,10.9668
2014-10-21,10.65,11.145,10.62,10.985,1135900,10.6188
2014-10-20,10.845,10.855,10.525,10.66,1492900,10.3047
2014-10-17,10.575,10.89,10.575,10.77,982300,10.411
2014-10-16,10.735,10.88,10.175,10.57,1508200,10.2177
2014-10-15,11.05,11.16,10.395,10.60,1321000,10.2467
2014-10-14,10.98,11.28,10.72,10.995,1570600,10.6285
2014-10-13,10.76,11.17,10.75,11.01,1003300,10.643
2014-10-10,11.00,11.04,10.705,10.83,1517700,10.469
2014-10-09,11.33,11.50,10.995,11.085,951100,10.7155
2014-10-08,11.405,11.505,11.09,11.16,1095900,10.788
2014-10-07,11.655,11.675,11.40,11.44,911000,11.0587
2014-10-06,11.645,11.805,11.51,11.695,1302300,11.3052
