Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,40.20,41.10,40.12,40.685,498300,40.317
2015-12-30,41.055,41.24,40.605,40.97,634100,40.599
2015-12-29,40.71,41.185,40.595,41.185,1322100,40.812
2015-12-28,40.30,40.84,40.255,40.535,629300,40.168
2015-12-25,40.30,40.30,40.30,40.30,000,39.935
2015-12-24,40.67,40.735,40.11,40.30,2914700,39.935
2015-12-23,39.87,40.475,39.82,40.345,966600,39.98
2015-12-22,39.615,39.985,39.27,39.61,1523300,39.251
2015-12-21,39.415,40.24,38.53,39.405,1513800,39.048
2015-12-18,39.56,40.03,39.245,39.705,3278000,39.345
2015-12-17,39.94,40.43,39.00,39.795,2083400,39.435
2015-12-16,39.535,39.535,38.465,39.005,2333800,38.652
2015-12-15,37.475,39.245,37.40,38.875,2969300,38.523
2015-12-14,37.645,37.905,37.155,37.155,1352500,36.819
2015-12-11,37.835,38.04,37.35,37.62,1892600,37.279
2015-12-10,37.70,38.08,37.435,37.915,1291500,37.572
2015-12-09,38.395,38.395,37.575,37.925,1249700,37.582
2015-12-08,38.29,38.96,38.06,38.23,1661300,37.884
2015-12-07,38.27,38.98,38.145,38.285,1277300,37.938
2015-12-04,38.165,38.205,37.72,38.02,1590000,37.676
2015-12-03,39.11,39.79,38.245,38.37,1656800,38.023
2015-12-02,38.315,39.04,38.285,38.905,2827700,38.553
2015-12-01,38.085,38.495,37.925,38.08,853900,37.735
2015-11-30,37.455,38.23,37.435,37.965,1990400,37.621
2015-11-27,37.22,37.76,37.025,37.465,1150200,37.126
2015-11-26,37.45,37.81,37.19,37.445,1233400,37.106
2015-11-25,37.195,37.41,36.895,37.365,1379600,37.027
2015-11-24,37.965,37.965,36.805,37.24,2947100,36.903
2015-11-23,38.295,38.54,38.13,38.13,2380800,37.785
2015-11-20,38.48,38.64,38.15,38.45,1984800,38.102
2015-11-19,38.05,38.355,37.915,38.295,1529700,37.948
2015-11-18,37.82,38.01,37.005,37.795,3393100,37.453
2015-11-17,37.67,38.355,37.67,37.93,1372200,37.587
2015-11-16,36.855,37.545,36.695,37.355,1296000,37.017
2015-11-13,37.58,37.58,37.04,37.25,1720300,36.913
