Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,78.78,79.86,78.73,79.08,110400,76.183
2015-12-30,79.37,80.45,79.15,80.19,116600,77.253
2015-12-29,79.25,79.85,78.88,79.52,203500,76.607
2015-12-28,78.55,79.75,78.36,78.90,224400,76.01
2015-12-25,78.40,78.40,78.40,78.40,000,75.528
2015-12-24,78.45,79.42,78.35,78.40,117100,75.528
2015-12-23,76.08,78.78,76.08,78.58,260100,75.702
2015-12-22,75.66,75.89,74.84,75.49,202200,72.725
2015-12-21,76.40,76.96,74.81,74.99,385800,72.243
2015-12-18,78.16,78.70,76.62,77.21,168300,74.382
2015-12-17,78.58,79.43,78.34,78.54,242300,75.663
2015-12-16,77.73,78.05,76.62,77.39,238700,74.555
2015-12-15,75.72,77.80,75.53,77.79,410600,74.941
2015-12-14,75.84,76.73,74.78,74.91,257400,72.166
2015-12-11,76.04,76.09,74.12,75.51,804800,72.744
2015-12-10,77.70,78.48,75.50,76.16,417600,73.37
2015-12-09,78.89,79.10,78.03,78.67,315200,75.788
2015-12-08,79.25,79.31,78.63,78.86,264800,75.971
2015-12-07,80.00,80.00,79.00,79.17,196900,76.27
2015-12-04,78.51,79.85,78.51,79.69,318100,76.771
2015-12-03,79.04,80.00,78.33,79.06,264600,76.164
2015-12-02,79.50,79.64,78.92,79.06,155200,76.164
2015-12-01,79.01,79.44,78.70,79.20,203000,76.299
2015-11-30,78.76,79.45,78.25,78.79,175900,75.904
2015-11-27,78.27,78.75,78.15,78.48,191700,75.605
2015-11-26,77.55,78.58,77.37,78.38,236800,75.509
2015-11-25,77.00,77.60,76.49,77.54,142900,74.70
2015-11-24,77.35,77.46,75.82,77.06,334900,74.237
2015-11-23,77.40,78.07,76.97,77.85,137900,74.998
2015-11-20,78.36,78.43,77.43,77.75,196800,74.902
2015-11-19,77.85,78.26,77.78,78.15,247500,75.287
2015-11-18,76.75,77.86,76.75,77.51,222100,74.671
2015-11-17,77.92,78.01,76.94,77.20,280900,74.372
2015-11-16,75.04,77.27,75.04,77.20,156300,74.372
2015-11-13,75.75,76.46,75.43,75.79,263900,73.014
2015-11-12,76.61,76.80,75.43,75.98,128500,73.197
2015-11-11,76.01,77.19,75.86,76.70,448800,73.89
2015-11-10,75.75,75.75,74.63,75.68,156400,72.908
