Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,7.00442,7.04491,6.9032,7.04491,11577400,6.00692
2012-12-28,7.11071,7.14107,6.93863,7.00442,45532500,5.9724
2012-12-27,6.98418,7.15018,6.98418,7.12589,63308400,6.07596
2012-12-26,7.10564,7.10564,7.10564,7.10564,000,6.0587
2012-12-25,7.10564,7.10564,7.10564,7.10564,000,6.0587
2012-12-24,7.04188,7.11071,7.03479,7.10564,92871200,6.0587
2012-12-21,7.06212,7.11374,6.97102,7.11374,271697300,6.06561
2012-12-20,7.03985,7.0854,6.9943,7.0854,80260000,6.04144
2012-12-19,7.00949,7.11374,7.00442,7.08034,75708000,6.03713
2012-12-18,6.92851,7.00442,6.91333,6.97203,79764300,5.94478
2012-12-17,6.86575,6.92851,6.83437,6.91333,34792700,5.89472
2012-12-14,6.82223,6.9032,6.79287,6.88296,32190900,5.86883
2012-12-13,6.78781,6.83437,6.74834,6.83437,28535400,5.8274
2012-12-12,6.72303,6.78174,6.70886,6.7787,37661100,5.77993
2012-12-11,6.57626,6.72101,6.55703,6.70076,35141700,5.71348
2012-12-10,6.57829,6.58537,6.43051,6.58537,42835400,5.61509
2012-12-07,6.72404,6.75137,6.62485,6.65015,26854800,5.67032
2012-12-06,6.70076,6.75137,6.62384,6.71392,34025500,5.7247
2012-12-05,6.6704,6.70785,6.61068,6.6704,44010100,5.68759
2012-12-04,6.5631,6.64408,6.5459,6.63193,30349400,5.65479
2012-12-03,6.62485,6.68052,6.5459,6.5793,24933400,5.60991
2012-11-30,6.58436,6.62991,6.55906,6.60359,30643900,5.63062
2012-11-29,6.49832,6.62789,6.4882,6.62789,43323600,5.65134
2012-11-28,6.44974,6.48314,6.34447,6.42848,23036000,5.48131
2012-11-27,6.54893,6.56918,6.43253,6.49124,22651500,5.53482
2012-11-26,6.52869,6.53881,6.46391,6.49832,15020400,5.54086
2012-11-23,6.51857,6.53881,6.4386,6.53881,15667200,5.57539
2012-11-22,6.4386,6.50845,6.40925,6.50845,14108100,5.54949
2012-11-21,6.33536,6.44265,6.29184,6.43253,16507800,5.48477
2012-11-20,6.31005,6.37686,6.26754,6.37686,13587300,5.4373
2012-11-19,6.24932,6.3556,6.16126,6.35156,27207900,5.41572
2012-11-16,6.32524,6.37484,6.18758,6.18758,37234000,5.2759
2012-11-15,6.24527,6.40216,6.23009,6.34751,18587700,5.41227
2012-11-14,6.29892,6.39812,6.21187,6.31107,24034700,5.3812
2012-11-13,6.02765,6.31613,6.01449,6.30196,20765300,5.37343
2012-11-12,6.15418,6.15418,6.06308,6.09344,13364800,5.19564
2012-11-09,6.1643,6.20985,5.98716,6.1643,29708600,5.25605
2012-11-08,6.20074,6.25034,6.1147,6.1643,19904900,5.25605
2012-11-07,6.47403,6.48719,6.14405,6.16835,32413300,5.25951
2012-11-06,6.40925,6.44164,6.35156,6.40621,19152400,5.46233
2012-11-05,6.49731,6.53274,6.36674,6.40925,42265200,5.46491
2012-11-02,6.52869,6.63497,6.45075,6.58132,20150600,5.61164
2012-11-01,6.43759,6.59954,6.4133,6.53173,21161500,5.56935
2012-10-31,6.3971,6.54893,6.37888,6.51553,37952900,5.55554
2012-10-30,6.34143,6.39913,6.29184,6.39913,17356200,5.45628
2012-10-29,6.3222,6.35662,6.25236,6.30702,17376800,5.37775
2012-10-26,6.23515,6.36168,6.14405,6.36168,32727800,5.42435
2012-10-25,6.34649,6.41127,6.28273,6.32726,17530800,5.39501
2012-10-24,6.36674,6.41532,6.2311,6.37484,24136000,5.43557
2012-10-23,6.44771,6.46695,6.28475,6.36977,147793000,5.43126
2012-10-22,6.52869,6.57424,6.42747,6.46796,18936700,5.51497
2012-10-19,6.65015,6.69469,6.48921,6.52667,102250600,5.56503
2012-10-18,6.72911,6.78883,6.61979,6.73113,39178300,5.73937
2012-10-17,6.54084,6.7453,6.51148,6.7453,53736700,5.75145
2012-10-16,6.09243,6.40723,6.06814,6.38901,40235500,5.44765
2012-10-15,6.00538,6.07219,5.97198,6.02866,54062300,5.1404
2012-10-12,6.04688,6.18859,6.00235,6.00235,23991600,5.11796
2012-10-11,5.94364,6.13292,5.88594,6.09142,40271400,5.19391
2012-10-10,6.07118,6.10863,5.97704,5.99425,115682400,5.11106
2012-10-09,6.2473,6.26046,6.08029,6.09446,54092400,5.1965
2012-10-08,6.24123,6.29082,6.22604,6.24021,71089100,5.32078
2012-10-05,6.1228,6.29588,6.10559,6.29588,92590100,5.36825
2012-10-04,6.16531,6.19466,6.0732,6.09749,156955500,5.19909
2012-10-03,6.20377,6.21086,6.08838,6.13393,60489500,5.23016
2012-10-02,6.10154,6.29082,6.08332,6.21491,195935300,5.29921
2012-10-01,6.12077,6.19466,6.08535,6.15822,359136500,5.25088
2012-09-28,6.36674,6.38698,6.15013,6.18758,101924300,5.19046
2012-09-27,6.32423,6.37484,6.19669,6.30601,60378100,5.2898
2012-09-26,6.51857,6.52363,6.27665,6.27969,125045200,5.26773
2012-09-25,6.54691,6.62384,6.53071,6.59853,88078500,5.53519
2012-09-24,6.56918,6.59448,6.46998,6.54893,406926100,5.49358
2012-09-21,6.39306,6.62991,6.35662,6.62991,600901800,5.56151
2012-09-20,6.47909,6.52768,6.31714,6.39306,252801200,5.36283
2012-09-19,6.58639,6.62789,6.46188,6.53173,55068900,5.47915
2012-09-18,6.70785,6.71291,6.49832,6.55906,67713900,5.50208
2012-09-17,6.64509,6.78174,6.5793,6.7534,36292600,5.6651
2012-09-14,6.77668,6.83235,6.68356,6.7615,65324500,5.67189
