Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,1.061,1.079,1.06,1.074,6614000,1.04141
2015-12-30,1.06,1.071,1.056,1.065,16050900,1.03268
2015-12-29,1.08,1.083,1.059,1.065,17406400,1.03268
2015-12-28,1.08,1.092,1.077,1.08,15267400,1.04723
2015-12-25,1.08,1.08,1.08,1.08,000,1.04723
2015-12-24,1.09,1.099,1.08,1.08,17681700,1.04723
2015-12-23,1.09,1.10,1.08,1.098,17384700,1.06468
2015-12-22,1.091,1.101,1.08,1.085,26154900,1.05207
2015-12-21,1.11,1.118,1.076,1.08,37111800,1.04723
2015-12-18,1.14,1.154,1.128,1.138,28667100,1.10347
2015-12-17,1.145,1.17,1.135,1.15,29990400,1.1151
2015-12-16,1.125,1.132,1.111,1.128,24530400,1.09377
2015-12-15,1.096,1.125,1.096,1.117,16287500,1.0831
2015-12-14,1.106,1.117,1.09,1.09,17453800,1.05692
2015-12-11,1.122,1.13,1.104,1.106,17648100,1.07244
2015-12-10,1.128,1.144,1.117,1.129,24998100,1.09474
2015-12-09,1.15,1.155,1.107,1.133,24211500,1.09862
2015-12-08,1.184,1.186,1.134,1.147,19105800,1.11219
2015-12-07,1.218,1.218,1.178,1.184,22720200,1.14807
2015-12-04,1.19,1.217,1.189,1.212,19099100,1.17522
2015-12-03,1.208,1.233,1.185,1.20,29813000,1.16358
2015-12-02,1.207,1.225,1.197,1.208,42381200,1.17134
2015-12-01,1.192,1.215,1.186,1.207,43710300,1.17037
2015-11-30,1.162,1.186,1.156,1.186,40101600,1.15001
2015-11-27,1.176,1.178,1.157,1.161,13857400,1.12577
2015-11-26,1.174,1.19,1.156,1.178,16204100,1.14225
2015-11-25,1.19,1.192,1.154,1.171,27790200,1.13546
2015-11-24,1.18,1.191,1.173,1.189,23205900,1.15292
2015-11-23,1.172,1.199,1.165,1.186,21443800,1.15001
2015-11-20,1.173,1.177,1.157,1.164,18639900,1.12868
2015-11-19,1.164,1.173,1.16,1.172,22310900,1.13643
2015-11-18,1.154,1.165,1.15,1.157,18459600,1.12189
