Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,5.04001,5.04001,4.79112,4.88446,461900,2.86131
2012-12-28,5.20646,5.21113,4.93113,5.02446,1154500,2.94332
2012-12-27,5.11001,5.23757,5.11001,5.18001,1302400,3.03444
2012-12-26,5.1629,5.1629,5.1629,5.1629,000,3.02442
2012-12-25,5.1629,5.1629,5.1629,5.1629,000,3.02442
2012-12-24,5.0929,5.24224,5.0929,5.1629,800100,3.02442
2012-12-21,5.09446,5.21579,5.07113,5.15201,21852900,3.01804
2012-12-20,5.2609,5.2609,5.10224,5.18779,1697300,3.039
2012-12-19,5.02446,5.29668,5.02446,5.21579,3524600,3.0554
2012-12-18,4.90001,4.99024,4.8829,4.9809,2267200,2.9178
2012-12-17,4.74446,4.83624,4.71335,4.82224,2128200,2.82486
2012-12-14,4.71335,4.71335,4.6589,4.66668,1770900,2.73373
2012-12-13,4.68379,4.7289,4.6449,4.69624,1453900,2.75105
2012-12-12,4.57179,4.69468,4.57179,4.67757,2052000,2.74011
2012-12-11,4.66668,4.72579,4.48468,4.55779,4178100,2.66995
2012-12-10,4.66668,4.6869,4.62935,4.66668,891500,2.73373
2012-12-07,4.69779,4.77557,4.69001,4.71335,1391600,2.76107
2012-12-06,4.83779,4.89068,4.68535,4.74912,861200,2.78203
2012-12-05,4.74446,4.83624,4.73668,4.83157,2144000,2.83032
2012-12-04,4.66668,4.76001,4.66668,4.7289,945800,2.77018
2012-12-03,4.82224,4.82224,4.70712,4.73357,1602800,2.77292
2012-11-30,4.80512,4.80668,4.75846,4.76001,2176600,2.78841
2012-11-29,4.56557,4.7569,4.56557,4.7569,5342000,2.78658
2012-11-28,4.56557,4.60446,4.51112,4.5469,840400,2.66357
2012-11-27,4.63557,4.63557,4.57179,4.59512,522000,2.69181
2012-11-26,4.55001,4.62001,4.55001,4.5889,534900,2.68817
2012-11-23,4.6029,4.6029,4.53135,4.5609,1210200,2.67177
2012-11-22,4.5889,4.64646,4.57179,4.60446,497500,2.69728
2012-11-21,4.52824,4.6029,4.49712,4.5749,963800,2.67997
2012-11-20,4.60446,4.61379,4.55001,4.55624,1273600,2.66903
2012-11-19,4.61846,4.64335,4.54535,4.60757,2022600,2.6991
2012-11-16,4.63557,4.66668,4.53757,4.53912,1051200,2.65901
2012-11-15,4.58112,4.70868,4.58112,4.64801,865000,2.7228
2012-11-14,4.69779,4.71957,4.58424,4.64024,731700,2.71824
2012-11-13,4.6449,4.70557,4.64179,4.69779,396100,2.75196
2012-11-12,4.71335,4.71335,4.6309,4.69157,931300,2.74831
2012-11-09,4.7289,4.7289,4.55935,4.64335,3354400,2.72006
2012-11-08,4.7709,4.79112,4.64024,4.73668,2069100,2.77474
2012-11-07,4.74601,4.77557,4.69001,4.77246,1283200,2.7957
2012-11-06,4.7429,4.76779,4.7009,4.7289,1038400,2.77018
2012-11-05,4.73668,4.76468,4.69935,4.74135,723700,2.77747
2012-11-02,4.82068,4.82068,4.73357,4.81912,576700,2.82303
2012-11-01,4.75224,4.81446,4.75224,4.76935,253300,2.79387
2012-10-31,4.76468,4.85024,4.74601,4.74601,1172400,2.78021
2012-10-30,4.83001,4.83157,4.75846,4.78024,3381300,2.80025
2012-10-29,4.77246,4.84712,4.71335,4.79424,5178100,2.80845
2012-10-26,4.71801,4.85335,4.70712,4.80046,2783800,2.8121
2012-10-25,4.81446,4.85024,4.77246,4.82224,1094300,2.82486
2012-10-24,4.75224,4.83468,4.71646,4.77557,980500,2.79752
2012-10-23,4.76001,4.82846,4.75535,4.76001,2837200,2.78841
2012-10-22,4.71335,4.88446,4.68224,4.75535,732300,2.78567
2012-10-19,4.97779,4.9809,4.71801,4.72735,2630800,2.76927
2012-10-18,5.1489,5.16135,4.91557,5.00113,1078000,2.92965
2012-10-17,4.90157,5.19246,4.88601,5.12246,1901100,3.00073
2012-10-16,4.58579,4.85801,4.52824,4.85801,4429400,2.84582
2012-10-15,4.5889,4.59979,4.48624,4.52512,814600,2.65081
2012-10-12,4.68068,4.73512,4.5609,4.56712,967100,2.65056
2012-10-11,4.62779,4.72735,4.48779,4.68224,12659900,2.71736
2012-10-10,4.88757,4.96224,4.63557,4.6589,2506300,2.70382
2012-10-09,5.0929,5.0929,4.90313,4.94668,949700,2.87084
2012-10-08,5.08668,5.11001,5.01046,5.10224,904300,2.96111
2012-10-05,5.13335,5.13335,5.06335,5.11779,2709600,2.97014
2012-10-04,5.11935,5.15979,5.04624,5.0789,1504300,2.94757
2012-10-03,5.10224,5.21268,5.06957,5.09446,994400,2.9566
2012-10-02,5.1489,5.19401,5.06957,5.12713,1859300,2.97556
2012-10-01,5.39002,5.39779,5.09135,5.1489,6989000,2.9882
2012-09-28,5.10224,5.42424,5.05557,5.25001,7925800,3.04688
2012-09-27,5.09446,5.11313,4.94668,5.01668,1285100,2.91146
2012-09-26,5.16135,5.1909,4.94668,5.0369,2369100,2.9232
2012-09-25,5.20335,5.2609,5.16446,5.2189,3280700,3.02882
2012-09-24,5.25313,5.25313,5.10535,5.13335,2966900,2.97917
2012-09-21,5.27179,5.28579,5.1349,5.28579,1995100,3.06764
2012-09-20,5.19868,5.25313,5.07113,5.09601,1538100,2.9575
2012-09-19,5.22202,5.27335,5.18001,5.24224,1101300,3.04236
2012-09-18,5.26557,5.26557,5.1489,5.19713,1190700,3.01618
2012-09-17,5.33557,5.39779,5.25468,5.30135,1611800,3.07667
2012-09-14,5.43824,5.43824,5.2889,5.32002,2188500,3.0875
2012-09-13,5.24535,5.28579,5.16601,5.23913,2042600,3.04056
2012-09-12,5.30446,5.38224,5.13335,5.27335,2501400,3.06042
2012-09-11,5.0089,5.2749,4.97001,5.26402,3784800,3.055
2012-09-10,5.0369,5.0369,4.87513,5.03068,1363300,2.91959
2012-09-07,4.94668,5.04779,4.8689,4.94668,4136900,2.87084
2012-09-06,4.72735,4.97157,4.68379,4.92335,2474400,2.85729
2012-09-05,4.66668,4.71024,4.59357,4.64646,930700,2.6966
2012-09-04,4.63557,4.70557,4.60601,4.63557,924900,2.69028
2012-09-03,4.65112,4.65112,4.56557,4.59668,731300,2.66771
2012-08-31,4.42401,4.66512,4.42401,4.65735,1529800,2.70292
2012-08-30,4.41779,4.48624,4.40223,4.4489,544600,2.58195
2012-08-29,4.43335,4.48779,4.43335,4.4349,424100,2.57382
2012-08-28,4.57335,4.57335,4.41779,4.46601,746300,2.59188
2012-08-27,4.50335,4.51112,4.41157,4.51112,375900,2.61806
2012-08-24,4.49557,4.59357,4.40846,4.45668,865900,2.58646
2012-08-23,4.5889,4.64801,4.48312,4.52668,653800,2.62709
2012-08-22,4.64335,4.66824,4.51112,4.55001,1084800,2.64063
2012-08-21,4.6589,4.75224,4.64335,4.68224,1076200,2.71736
2012-08-20,4.77557,4.78957,4.64179,4.66668,1400000,2.70834
2012-08-17,4.80668,4.94046,4.74601,4.77712,3009800,2.77243
2012-08-16,4.38668,4.67912,4.32757,4.67912,2256300,2.71556
2012-08-15,4.2809,4.37579,4.2809,4.35557,391900,2.52778
2012-08-14,4.36335,4.39446,4.34001,4.36335,1185500,2.53229
2012-08-13,4.27779,4.38668,4.27779,4.33068,432900,2.51334
2012-08-10,4.27779,4.34001,4.19068,4.34001,733400,2.51875
2012-08-09,4.23112,4.29801,4.17823,4.27779,1272400,2.48264
2012-08-08,4.17979,4.26068,4.03046,4.23112,1132900,2.45556
