Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,31.20,31.40,31.055,31.06,99500,30.025
2015-12-30,31.53,31.53,31.20,31.40,141100,30.354
2015-12-29,31.33,31.73,31.26,31.415,257200,30.369
2015-12-28,32.045,32.32,31.48,31.895,344600,30.253
2015-12-25,31.94,31.94,31.94,31.94,000,30.295
2015-12-24,31.85,32.00,31.72,31.94,137400,30.295
2015-12-23,31.90,31.94,31.60,31.665,223100,30.034
2015-12-22,31.695,31.98,31.15,31.55,312700,29.925
2015-12-21,32.705,32.705,31.08,31.30,772500,29.688
2015-12-18,33.445,33.83,32.905,33.14,205300,31.433
2015-12-17,33.68,33.99,33.40,33.565,659700,31.837
2015-12-16,33.375,33.40,32.67,33.165,354300,31.457
2015-12-15,32.47,33.43,32.465,32.945,340000,31.249
2015-12-14,31.89,32.985,31.70,32.40,297900,30.732
2015-12-11,32.30,32.50,31.70,31.70,314600,30.068
2015-12-10,32.62,32.815,32.075,32.49,277100,30.817
2015-12-09,32.59,32.78,32.19,32.53,171900,30.855
2015-12-08,33.25,33.255,32.50,32.56,172600,30.883
2015-12-07,33.34,33.65,33.10,33.305,200300,31.59
2015-12-04,32.805,33.20,32.655,33.02,166900,31.32
2015-12-03,32.85,33.15,32.405,32.41,240100,30.741
2015-12-02,32.70,33.095,32.70,32.94,160700,31.244
2015-12-01,33.325,33.445,32.72,32.72,182600,31.035
2015-11-30,33.40,33.49,33.145,33.155,186400,31.448
2015-11-27,33.05,33.59,33.05,33.40,200700,31.68
2015-11-26,32.25,33.50,32.25,33.145,255000,31.438
2015-11-25,32.10,32.50,32.10,32.335,746300,30.67
2015-11-24,32.405,32.405,31.765,32.265,253800,30.604
2015-11-23,32.875,32.925,32.40,32.52,168900,30.845
2015-11-20,32.87,33.00,32.53,32.75,109900,31.064
2015-11-19,33.40,33.56,32.52,32.585,325600,30.907
2015-11-18,33.125,33.345,32.885,33.075,730300,31.372
2015-11-17,33.145,33.50,33.145,33.205,274300,31.495
2015-11-16,32.49,33.105,32.40,32.885,164700,31.192
2015-11-13,32.70,33.295,32.40,32.785,133700,31.097
2015-11-12,33.90,34.09,32.775,32.775,180300,31.087
2015-11-11,33.50,34.00,33.50,33.75,156500,32.012
2015-11-10,34.09,34.155,33.41,33.46,369200,31.737
2015-11-09,34.005,34.25,33.90,34.09,280900,32.335
2015-11-06,33.695,34.20,33.355,33.94,846100,32.192
2015-11-05,33.965,34.05,33.20,33.85,227300,32.107
2015-11-04,34.03,34.43,33.505,33.85,243400,32.107
2015-11-03,33.81,34.07,33.64,34.07,337900,32.316
2015-11-02,32.85,33.86,32.69,33.535,380300,31.808
2015-10-30,33.68,33.68,32.685,32.685,220800,31.002
2015-10-29,33.86,33.86,32.845,33.00,378700,31.301
2015-10-28,33.50,34.20,33.24,33.35,332100,31.633
2015-10-27,34.20,34.40,33.045,33.045,291500,31.343
2015-10-26,35.70,35.70,34.27,34.27,385700,32.505
2015-10-23,33.895,35.74,33.80,35.74,448100,33.90
2015-10-22,32.60,33.75,32.60,33.67,229300,31.936
2015-10-21,32.96,33.085,32.62,32.635,153100,30.954
2015-10-20,33.60,33.795,32.685,32.95,190800,31.253
2015-10-19,33.39,33.58,33.175,33.335,217300,31.618
2015-10-16,32.25,33.575,32.00,33.20,513100,31.49
2015-10-15,32.42,32.65,32.23,32.255,198300,30.594
2015-10-14,32.60,32.805,32.20,32.42,172500,30.751
2015-10-13,32.975,33.185,32.41,32.745,344700,31.059
2015-10-12,33.685,33.70,32.975,32.975,133100,31.277
2015-10-09,34.06,34.40,33.06,33.42,366100,31.699
2015-10-08,33.965,34.06,33.40,34.06,354400,32.306
2015-10-07,33.30,34.10,33.30,34.06,259100,32.306
2015-10-06,32.975,33.40,32.905,33.085,240800,31.381
2015-10-05,32.31,33.535,32.305,32.88,403700,31.187
2015-10-02,30.73,31.80,30.635,31.695,618000,30.063
2015-10-01,30.55,30.74,30.255,30.445,574200,28.877
2015-09-30,30.985,31.11,30.21,30.21,513900,28.654
2015-09-29,30.365,31.22,30.10,30.595,356500,29.02
2015-09-28,31.70,32.02,30.555,30.575,438900,29.001
2015-09-25,31.40,31.97,31.305,31.735,416500,30.101
2015-09-24,31.30,31.60,31.00,31.01,393200,29.413
2015-09-23,31.125,31.95,31.00,31.305,508800,29.693
2015-09-22,32.73,32.73,31.22,31.22,565800,29.612
2015-09-21,33.43,34.31,32.91,32.945,312400,31.249
2015-09-18,34.46,34.70,33.435,33.64,251600,31.908
2015-09-17,34.40,34.785,34.20,34.60,193400,32.818
2015-09-16,34.15,34.70,34.045,34.35,173500,32.581
2015-09-15,33.95,34.08,33.62,33.93,291900,32.183
2015-09-14,34.58,34.58,33.98,33.98,110800,32.23
2015-09-11,35.30,35.395,34.26,34.50,189500,32.723
2015-09-10,35.50,35.755,35.305,35.63,134000,33.416
2015-09-09,35.935,36.24,35.65,35.65,230800,33.435
2015-09-08,34.455,36.14,34.455,35.08,315300,32.90
2015-09-07,34.455,34.655,34.08,34.30,156200,32.168
2015-09-04,35.00,35.135,33.99,34.425,226100,32.286
2015-09-03,34.515,35.19,34.485,34.95,1252000,32.778
2015-09-02,34.28,34.785,34.21,34.25,327300,32.122
2015-09-01,34.50,34.50,34.05,34.16,261800,32.037
2015-08-31,34.70,35.00,34.40,34.75,113900,32.591
2015-08-28,35.20,35.72,34.53,34.755,330400,32.595
2015-08-27,35.90,36.04,35.01,35.19,308900,33.003
2015-08-26,35.25,35.60,34.51,34.82,293300,32.656
2015-08-25,34.00,35.60,33.905,35.46,338500,33.256
2015-08-24,34.90,34.905,33.00,33.78,656000,31.681
2015-08-21,35.50,36.335,35.30,35.38,471700,33.181
2015-08-20,37.03,37.035,35.50,35.965,1416100,33.73
2015-08-19,37.005,37.36,36.805,37.12,119100,34.813
2015-08-18,36.65,37.30,36.62,37.13,215800,34.823
2015-08-17,36.99,36.99,36.25,36.67,99600,34.391
2015-08-14,36.885,37.27,36.56,36.625,76200,34.349
2015-08-13,37.44,37.44,36.58,36.795,331200,34.508
2015-08-12,37.25,37.295,36.53,36.85,342500,34.56
2015-08-11,38.04,38.10,37.40,37.40,179800,35.076
2015-08-10,37.74,38.18,37.505,38.00,232300,35.639
2015-08-07,38.56,38.66,37.705,37.715,335900,35.371
2015-08-06,38.495,38.51,37.955,38.445,162500,36.056
2015-08-05,37.90,38.40,37.79,38.30,133300,35.92
2015-08-04,37.60,37.865,37.105,37.815,202300,35.465
2015-08-03,37.75,38.485,37.47,37.665,361300,35.324
2015-07-31,38.80,38.80,37.54,37.65,364600,35.31
2015-07-30,38.14,38.66,37.905,38.455,190000,36.065
2015-07-29,38.20,38.50,37.54,37.85,112600,35.498
2015-07-28,37.95,38.54,37.94,38.125,92400,35.756
2015-07-27,38.14,38.59,37.90,37.965,142100,35.606
2015-07-24,38.75,39.125,38.46,38.58,168500,36.183
2015-07-23,38.795,38.90,38.71,38.75,160700,36.342
2015-07-22,38.70,38.955,38.34,38.80,499500,36.389
2015-07-21,39.50,39.60,38.75,38.83,166500,36.417
2015-07-20,39.40,39.60,39.26,39.53,240200,37.073
2015-07-17,39.00,39.80,38.55,39.245,569600,36.806
2015-07-16,38.01,38.84,38.01,38.79,278200,36.379
2015-07-15,37.75,37.85,36.65,37.785,487600,35.437
2015-07-14,38.80,38.80,37.23,37.75,539300,35.404
2015-07-13,37.75,38.975,37.74,38.415,441800,36.028
2015-07-10,37.24,37.70,36.80,37.685,689200,35.343
2015-07-09,36.07,36.90,36.035,36.47,258400,34.204
2015-07-08,35.675,36.30,35.60,35.77,292600,33.547
2015-07-07,36.00,36.35,35.46,35.675,221800,33.458
2015-07-06,35.15,36.00,35.15,35.635,254700,33.421
2015-07-03,36.70,37.045,36.15,36.17,166600,33.922
2015-07-02,36.96,37.085,36.55,36.70,146200,34.419
2015-07-01,36.70,37.17,36.56,36.79,338800,34.504
2015-06-30,35.50,36.50,35.50,36.28,349100,34.025
2015-06-29,35.15,36.13,35.095,35.69,601700,33.472
2015-06-26,36.63,37.10,36.60,36.94,192000,34.644
2015-06-25,36.90,37.15,36.74,36.85,137200,34.56
2015-06-24,37.05,37.15,36.62,37.045,256200,34.743
2015-06-23,37.31,37.51,36.915,37.00,369600,34.701
2015-06-22,36.95,37.35,36.715,37.015,592200,34.715
2015-06-19,37.275,37.47,36.21,36.33,2284700,34.072
2015-06-18,36.885,37.205,36.58,37.135,364100,34.827
2015-06-17,37.475,37.50,36.715,36.84,333800,34.551
2015-06-16,36.845,37.44,36.72,37.39,427000,35.066
2015-06-15,36.505,37.18,36.50,37.135,671400,34.827
2015-06-12,37.29,37.395,36.90,37.005,373100,34.705
2015-06-11,35.655,37.37,35.655,37.15,621800,34.841
2015-06-10,35.30,35.61,34.68,35.565,1024800,33.355
2015-06-09,35.35,35.495,34.63,35.405,670800,33.205
2015-06-08,36.415,36.595,35.05,35.405,523900,33.205
2015-06-05,36.90,36.995,36.01,36.395,281600,34.133
2015-06-04,37.05,37.695,36.96,37.15,174200,34.841
2015-06-03,37.23,37.70,37.005,37.01,367600,34.71
2015-06-02,37.50,37.50,36.945,36.985,293000,34.687
2015-06-01,37.00,37.53,36.95,37.285,343600,34.968
2015-05-29,38.25,38.25,36.90,36.915,519000,34.621
2015-05-28,38.05,38.30,37.99,38.265,345100,35.887
2015-05-27,38.02,38.40,37.00,37.985,517300,35.624
2015-05-26,38.70,38.89,37.525,37.525,818800,35.193
2015-05-25,39.31,39.785,38.65,38.745,236500,36.337
2015-05-22,40.13,40.13,39.59,39.745,193400,37.275
2015-05-21,40.115,40.22,39.62,39.67,692100,37.205
2015-05-20,40.60,40.80,39.98,40.075,294200,37.585
2015-05-19,39.70,40.555,39.70,40.555,429100,38.035
2015-05-18,39.095,39.505,38.85,39.47,341300,37.017
2015-05-15,39.05,39.425,38.575,38.70,241800,36.295
2015-05-14,38.05,39.00,37.93,38.725,273800,36.319
2015-05-13,38.155,38.55,38.04,38.045,185700,35.681
2015-05-12,38.60,38.60,37.39,38.10,527500,35.732
2015-05-11,38.96,39.20,38.645,38.70,198600,36.295
2015-05-08,38.645,38.90,38.10,38.83,477700,36.417
2015-05-07,38.95,39.465,38.80,39.195,795200,35.925
2015-05-06,39.10,39.65,38.81,38.965,588200,35.714
2015-05-05,41.00,41.00,39.195,39.195,636700,35.925
2015-05-04,40.385,40.685,40.035,40.15,319000,36.80
2015-05-01,40.025,40.025,40.025,40.025,000,36.685
2015-04-30,41.765,41.765,39.80,40.025,423700,36.685
2015-04-29,42.00,42.50,41.20,41.20,230400,37.762
2015-04-28,42.00,42.19,41.735,42.00,196800,38.496
2015-04-27,41.45,42.05,41.02,41.98,146000,38.477
2015-04-24,41.85,42.10,41.34,41.40,184100,37.946
2015-04-23,42.14,42.245,41.53,41.79,202500,38.303
2015-04-22,42.71,42.945,41.67,41.94,366500,38.441
2015-04-21,41.98,42.95,41.96,42.715,315800,39.151
2015-04-20,41.685,41.975,41.25,41.795,243700,38.308
2015-04-17,43.24,43.285,41.10,41.655,453400,38.179
2015-04-16,43.075,43.50,42.63,43.30,162500,39.687
2015-04-15,43.00,43.445,42.87,43.105,298700,39.508
2015-04-14,43.30,43.30,42.555,42.87,327200,39.293
2015-04-13,42.995,43.28,42.735,43.28,261000,39.669
2015-04-10,42.96,43.00,42.50,42.875,221600,39.298
2015-04-09,42.16,42.885,42.14,42.87,422200,39.293
2015-04-08,42.20,42.575,42.15,42.43,977400,38.89
2015-04-07,42.01,42.735,41.995,42.68,251200,39.119
2015-04-06,42.25,42.25,42.25,42.25,000,38.725
2015-04-03,42.25,42.25,42.25,42.25,000,38.725
2015-04-02,41.80,42.32,41.735,42.25,344400,38.725
2015-04-01,41.195,41.89,41.00,41.875,342700,38.381
2015-03-31,41.19,41.50,40.91,41.48,431900,38.019
2015-03-30,40.10,41.30,39.975,41.15,220500,37.716
2015-03-27,40.115,40.665,39.77,40.02,418700,36.681
2015-03-26,40.36,40.57,39.52,40.16,352000,36.809
2015-03-25,40.65,41.255,40.58,40.775,498200,37.373
2015-03-24,39.885,40.965,39.835,40.85,486000,37.442
2015-03-23,39.315,39.90,39.00,39.90,549800,36.571
2015-03-20,38.94,39.23,38.70,38.94,298500,35.691
2015-03-19,38.985,39.00,38.50,38.74,172700,35.508
2015-03-18,39.195,39.20,38.615,38.795,163600,35.558
2015-03-17,39.655,39.70,38.635,39.03,238800,35.773
2015-03-16,39.01,39.70,38.97,39.52,262000,36.222
2015-03-13,38.745,39.01,38.565,39.01,127900,35.755
