Date,Open,High,Low,Close,Volume,Adj Close
2010-12-30,8.289,8.295,8.111,8.111,2221800,3.23
2010-12-29,8.252,8.329,8.209,8.26,1433000,3.289
2010-12-28,8.213,8.307,8.189,8.209,793500,3.269
2010-12-27,8.386,8.413,8.201,8.221,1484700,3.273
2010-12-23,8.397,8.505,8.34,8.362,3199500,3.329
2010-12-22,8.25,8.441,8.25,8.439,5216600,3.36
2010-12-21,8.291,8.372,8.244,8.25,3370800,3.285
2010-12-20,8.148,8.291,8.087,8.199,3008300,3.265
2010-12-17,8.209,8.268,8.05,8.122,3754100,3.234
2010-12-16,8.185,8.279,8.107,8.185,1932500,3.259
2010-12-15,8.266,8.287,8.189,8.209,2663500,3.269
2010-12-14,8.215,8.307,8.189,8.266,2350700,3.291
2010-12-13,8.276,8.321,8.23,8.256,6196700,3.287
2010-12-10,8.148,8.27,8.089,8.268,5648400,3.292
2010-12-09,8.148,8.242,8.122,8.138,2183200,3.24
2010-12-08,8.034,8.27,8.034,8.148,4138400,3.244
2010-12-07,7.904,8.148,7.887,8.056,12278400,3.208
2010-12-06,7.967,8.004,7.883,7.932,5508400,3.158
2010-12-03,7.781,7.965,7.757,7.91,3363000,3.149
2010-12-02,7.784,7.983,7.649,7.853,5020700,3.127
2010-12-01,7.639,7.824,7.627,7.802,48507400,3.106
2010-11-30,7.661,7.839,7.639,7.706,29656800,3.02
2010-11-29,7.855,7.924,7.651,7.661,6492100,3.002
2010-11-26,7.883,7.924,7.804,7.855,1465300,3.078
2010-11-25,7.995,8.028,7.843,7.955,9492200,3.117
2010-11-24,7.904,8.044,7.863,7.995,17179800,3.133
2010-11-23,8.054,8.087,7.914,7.914,10483600,3.101
2010-11-22,8.221,8.25,8.046,8.089,2584400,3.17
2010-11-19,8.23,8.23,8.067,8.189,5101700,3.209
2010-11-18,8.138,8.197,8.118,8.177,3101600,3.204
2010-11-17,8.071,8.162,8.026,8.075,2793100,3.164
2010-11-16,8.164,8.209,8.081,8.083,2561100,3.167
2010-11-15,8.087,8.234,8.067,8.179,2646300,3.205
2010-11-12,8.046,8.189,7.985,8.118,2159200,3.181
2010-11-11,8.148,8.199,8.087,8.13,2441800,3.186
2010-11-10,8.256,8.301,8.118,8.199,2634300,3.213
2010-11-09,8.087,8.291,8.073,8.254,3224100,3.234
2010-11-08,8.124,8.224,8.056,8.114,2676300,3.179
2010-11-05,8.189,8.329,8.067,8.124,3983300,3.183
2010-11-04,8.244,8.334,8.199,8.242,3424900,3.23
2010-11-03,8.272,8.352,8.183,8.23,3460500,3.225
2010-11-02,8.069,8.311,8.046,8.272,2255000,3.242
2010-11-01,8.331,8.331,8.107,8.144,2777700,3.191
2010-10-29,8.164,8.311,8.114,8.264,3028400,3.238
2010-10-28,8.077,8.209,8.056,8.156,2977800,3.196
2010-10-27,8.12,8.199,8.052,8.077,2872900,3.165
2010-10-26,8.114,8.148,8.046,8.107,1460000,3.177
2010-10-25,8.158,8.211,8.048,8.087,2489200,3.169
2010-10-22,8.128,8.238,8.097,8.13,1780300,3.186
2010-10-21,8.103,8.169,8.071,8.146,1929500,3.192
2010-10-20,8.059,8.148,8.046,8.103,2575300,3.175
2010-10-19,8.162,8.25,8.138,8.193,1710400,3.21
2010-10-18,8.014,8.203,7.985,8.179,2880200,3.205
2010-10-15,8.067,8.107,7.977,8.03,3676800,3.147
2010-10-14,8.036,8.146,8.012,8.073,2265200,3.163
2010-10-13,7.924,8.046,7.914,7.999,2936500,3.135
2010-10-12,7.963,7.963,7.822,7.914,1423500,3.101
2010-10-11,8.03,8.046,7.975,7.987,1846400,3.13
2010-10-08,7.983,8.044,7.946,7.993,1400500,3.132
2010-10-07,7.981,8.067,7.906,8.03,2387100,3.147
2010-10-06,7.942,8.006,7.924,8.004,2205200,3.136
2010-10-05,7.80,7.942,7.702,7.92,2720300,3.103
2010-10-04,7.896,7.896,7.688,7.765,3243100,3.043
2010-10-01,7.883,7.985,7.751,7.812,2346600,3.061
2010-09-30,7.832,7.955,7.747,7.849,3584000,3.075
2010-09-29,7.924,7.924,7.771,7.824,1610200,3.066
2010-09-28,7.863,7.924,7.771,7.867,1992900,3.083
2010-09-27,7.987,8.067,7.918,7.932,1657600,3.108
2010-09-24,7.812,8.065,7.79,8.046,2278700,3.153
2010-09-23,7.914,7.922,7.761,7.863,2727700,3.081
2010-09-22,8.061,8.061,7.83,7.841,3045400,3.072
2010-09-21,7.916,8.063,7.916,8.016,3260400,3.141
2010-09-20,7.867,7.951,7.847,7.951,2884500,3.115
2010-09-17,7.924,8.006,7.802,7.845,5036600,3.074
2010-09-16,7.924,7.944,7.851,7.873,1881300,3.085
