Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,5.526,5.542,5.431,5.444,1658100,5.444
2015-12-30,5.55,5.601,5.501,5.557,1974200,5.557
2015-12-29,5.572,5.629,5.501,5.541,1623500,5.541
2015-12-28,5.646,5.679,5.505,5.555,2289900,5.555
2015-12-25,5.618,5.618,5.618,5.618,000,5.618
2015-12-24,5.576,5.628,5.54,5.618,800800,5.618
2015-12-23,5.453,5.556,5.435,5.55,3871100,5.55
2015-12-22,5.34,5.41,5.324,5.399,3933000,5.399
2015-12-21,5.348,5.421,5.183,5.336,5139700,5.336
2015-12-18,5.449,5.537,5.376,5.412,7015500,5.412
2015-12-17,5.69,5.707,5.495,5.53,7069000,5.53
2015-12-16,5.635,5.646,5.498,5.583,6612100,5.583
2015-12-15,5.38,5.635,5.369,5.596,5579000,5.596
2015-12-14,5.48,5.573,5.345,5.345,4957500,5.345
2015-12-11,5.591,5.592,5.459,5.484,3959000,5.484
2015-12-10,5.567,5.617,5.534,5.596,4106800,5.596
2015-12-09,5.675,5.688,5.504,5.59,7114100,5.59
2015-12-08,5.826,5.87,5.636,5.693,4303200,5.693
2015-12-07,5.825,5.883,5.754,5.831,4308200,5.831
2015-12-04,5.72,5.829,5.651,5.792,3939100,5.792
2015-12-03,5.954,6.06,5.719,5.719,5522400,5.719
2015-12-02,5.97,6.02,5.967,5.984,4046000,5.984
2015-12-01,5.958,6.006,5.912,5.954,2995000,5.954
2015-11-30,5.90,6.02,5.877,5.983,4698600,5.983
2015-11-27,6.00,6.007,5.846,5.877,5091000,5.877
2015-11-26,5.93,6.074,5.879,6.038,4354700,6.038
2015-11-25,5.933,6.00,5.841,5.917,3356800,5.917
2015-11-24,6.027,6.028,5.838,5.941,11758000,5.941
2015-11-23,6.112,6.119,6.001,6.041,5631600,6.041
2015-11-20,6.059,6.122,5.978,6.088,2786800,6.088
2015-11-19,6.02,6.06,6.00,6.035,5197400,6.035
2015-11-18,5.932,6.013,5.908,5.98,5425300,5.98
2015-11-17,5.85,5.971,5.832,5.971,4206500,5.971
2015-11-16,5.65,5.812,5.603,5.799,2613700,5.799
2015-11-13,5.789,5.84,5.68,5.713,2390500,5.713
2015-11-12,5.821,5.858,5.727,5.796,3416400,5.796
2015-11-11,5.886,5.964,5.82,5.842,3009200,5.842
2015-11-10,5.87,5.927,5.768,5.852,9773800,5.852
2015-11-09,6.00,6.035,5.858,5.858,2907800,5.858
2015-11-06,5.879,6.024,5.879,5.997,4346100,5.997
2015-11-05,5.858,5.974,5.78,5.868,3429800,5.868
2015-11-04,5.89,5.99,5.861,5.862,3897600,5.862
2015-11-03,5.873,5.915,5.839,5.89,4425000,5.89
2015-11-02,5.735,5.921,5.70,5.862,6180500,5.862
2015-10-30,5.76,5.788,5.68,5.788,3579400,5.788
2015-10-29,5.691,5.84,5.682,5.741,6450200,5.741
2015-10-28,5.73,5.73,5.557,5.647,12552800,5.647
2015-10-27,6.29,6.295,5.715,5.786,11978600,5.786
2015-10-26,6.18,6.266,6.123,6.22,6717400,6.22
2015-10-23,6.106,6.24,6.104,6.16,9522200,6.16
2015-10-22,6.089,6.14,5.97,6.05,6126600,6.05
2015-10-21,6.00,6.14,5.934,6.089,3894400,6.089
2015-10-20,5.945,6.019,5.918,5.996,4367100,5.996
2015-10-19,5.988,6.034,5.891,5.913,3403000,5.913
2015-10-16,5.849,6.019,5.847,5.997,5579800,5.997
2015-10-15,5.858,5.912,5.771,5.804,4033000,5.804
2015-10-14,5.863,5.885,5.77,5.823,2662400,5.823
2015-10-13,6.115,6.12,5.816,5.883,6112100,5.883
2015-10-12,6.122,6.176,6.072,6.094,3272100,6.094
2015-10-09,6.15,6.16,5.985,6.092,6443400,6.092
