Date,Open,High,Low,Close,Volume,Adj Close
2010-12-30,19.275,19.50,19.17,19.295,1079900,14.793
2010-12-29,19.30,19.50,19.295,19.295,953000,14.793
2010-12-28,19.515,19.55,19.22,19.37,183200,14.851
2010-12-27,19.31,19.60,19.15,19.515,6685600,14.962
2010-12-24,19.59,19.59,19.59,19.59,000,15.02
2010-12-23,19.36,19.65,19.36,19.59,956200,15.02
2010-12-22,19.24,19.455,19.06,19.32,793700,14.813
2010-12-21,19.245,19.30,19.055,19.23,493000,14.744
2010-12-20,19.14,19.425,18.69,19.155,861400,14.686
2010-12-17,18.38,18.92,18.115,18.78,1104400,14.399
2010-12-16,18.255,18.455,18.15,18.315,298100,14.042
2010-12-15,18.405,18.405,18.17,18.365,344200,14.08
2010-12-14,18.27,18.46,17.985,18.395,700400,14.103
2010-12-13,18.34,18.48,18.195,18.205,419400,13.958
2010-12-10,18.51,18.52,18.18,18.18,453600,13.939
2010-12-09,18.265,18.50,18.265,18.45,234700,14.146
2010-12-08,17.93,18.41,17.91,18.26,238200,14.00
2010-12-07,18.10,18.265,17.95,17.95,482700,13.762
2010-12-06,18.37,18.45,17.965,18.085,431900,13.866
2010-12-03,17.61,18.10,17.60,18.10,727300,13.877
2010-12-02,17.91,18.27,17.29,17.685,1004600,13.559
2010-12-01,17.45,18.22,17.43,17.88,596800,13.708
2010-11-30,17.695,17.73,17.305,17.305,613200,13.268
2010-11-29,18.10,18.30,17.71,17.75,444700,13.609
2010-11-26,18.03,18.135,17.68,18.10,896500,13.877
2010-11-25,18.55,18.67,17.89,18.08,576500,13.862
2010-11-24,18.825,19.00,18.465,18.59,531800,14.253
2010-11-23,19.195,19.34,18.915,18.915,434500,14.502
2010-11-22,19.60,19.705,19.04,19.22,664200,14.736
2010-11-19,19.79,19.865,19.425,19.485,733800,14.939
2010-11-18,19.74,19.885,19.65,19.76,178900,15.15
2010-11-17,19.585,19.81,19.51,19.67,185900,15.081
2010-11-16,19.73,19.875,19.54,19.575,329700,15.008
2010-11-15,19.48,19.85,19.30,19.765,380900,15.154
2010-11-12,18.855,19.63,18.65,19.575,438100,15.008
2010-11-11,19.40,19.50,18.93,19.075,344800,14.625
2010-11-10,19.465,19.68,19.31,19.475,331600,14.931
2010-11-09,19.33,19.62,19.325,19.51,291400,14.958
2010-11-08,19.50,19.835,19.10,19.38,319700,14.859
2010-11-05,19.86,20.05,19.50,19.51,326500,14.958
2010-11-04,19.93,20.145,19.75,19.90,268300,15.257
2010-11-03,20.065,20.095,19.585,19.685,278400,15.092
2010-11-02,19.735,20.10,19.735,20.045,219300,15.368
2010-11-01,20.01,20.245,19.915,19.97,216000,15.311
2010-10-29,19.785,20.035,19.66,19.91,181200,15.265
2010-10-28,19.62,19.90,19.445,19.805,251000,15.184
2010-10-27,19.705,19.75,19.575,19.595,227100,15.023
2010-10-26,19.785,19.80,19.60,19.74,217400,15.135
2010-10-25,20.06,20.065,19.675,19.77,296100,15.158
2010-10-22,19.965,20.18,19.87,19.96,288800,15.303
2010-10-21,19.805,20.07,19.53,20.07,342300,15.388
2010-10-20,19.85,19.85,19.61,19.775,246400,15.161
2010-10-19,19.835,19.98,19.70,19.84,301800,15.211
2010-10-18,19.84,19.975,19.67,19.83,307700,15.204
2010-10-15,19.93,20.10,19.785,20.045,328400,15.368
2010-10-14,20.00,20.195,19.80,19.865,296900,15.23
2010-10-13,19.41,19.97,19.405,19.935,299200,15.284
2010-10-12,19.55,19.625,19.15,19.355,328900,14.839
2010-10-11,19.80,19.80,19.515,19.655,234000,15.069
2010-10-08,19.605,19.80,19.43,19.645,201000,15.062
2010-10-07,19.43,19.695,19.355,19.59,468000,15.02
2010-10-06,19.64,19.715,19.18,19.445,269700,14.908
2010-10-05,19.27,19.515,19.03,19.425,294600,14.893
2010-10-04,19.435,19.435,19.01,19.21,215400,14.728
