Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,26.18,26.18,25.52,26.00,781600,25.234
2015-12-30,26.51,26.51,26.24,26.315,1430100,25.539
2015-12-29,25.935,26.47,25.915,26.47,2259200,25.69
2015-12-28,25.87,25.935,25.59,25.84,894000,25.078
2015-12-25,25.87,25.87,25.87,25.87,000,25.107
2015-12-24,25.815,25.99,25.50,25.87,199300,25.107
2015-12-23,25.45,25.94,25.435,25.825,3717400,25.064
2015-12-22,25.65,25.68,25.20,25.30,7149000,24.554
2015-12-21,26.145,26.325,25.42,25.57,5722100,24.816
2015-12-18,27.205,27.295,26.56,26.635,9662300,25.85
2015-12-17,27.81,27.88,26.87,27.265,13617600,26.461
2015-12-16,27.68,27.91,27.465,27.905,7958200,26.57
2015-12-15,27.405,27.86,27.335,27.69,3536100,26.365
2015-12-14,27.49,27.52,27.225,27.23,4110500,25.927
2015-12-11,27.285,27.57,27.15,27.345,7347900,26.037
2015-12-10,27.335,27.56,27.135,27.255,15695100,25.951
2015-12-09,27.505,27.58,27.22,27.445,6612600,26.132
2015-12-08,27.825,27.845,27.30,27.375,6796600,26.065
2015-12-07,27.77,27.925,27.65,27.83,3583000,26.498
2015-12-04,27.535,27.76,27.165,27.745,948600,26.418
2015-12-03,28.21,28.46,27.625,27.72,3074500,26.394
2015-12-02,28.35,28.43,28.02,28.18,1002300,26.832
2015-12-01,28.16,28.48,28.14,28.20,790900,26.851
2015-11-30,28.435,28.49,28.165,28.21,1149700,26.86
2015-11-27,28.21,28.49,28.11,28.43,1932400,27.07
2015-11-26,28.19,28.34,28.075,28.275,690500,26.922
2015-11-25,27.60,28.24,27.545,28.195,1989900,26.846
2015-11-24,27.77,27.775,27.255,27.51,2096100,26.194
2015-11-23,27.935,28.015,27.76,27.84,883100,26.508
2015-11-20,27.93,27.98,27.815,27.935,1126900,26.598
2015-11-19,27.815,27.95,27.74,27.835,869000,26.503
2015-11-18,27.645,27.77,27.39,27.695,1211100,26.37
2015-11-17,27.49,27.78,27.44,27.765,1698800,26.437
2015-11-16,26.90,27.36,26.735,27.265,851400,25.961
2015-11-13,26.865,27.245,26.79,27.09,1159000,25.794
2015-11-12,27.055,27.24,26.905,26.92,575600,25.632
2015-11-11,27.10,27.525,26.97,27.045,1113500,25.751
2015-11-10,26.95,27.23,26.86,27.145,1485200,25.846
2015-11-09,27.335,27.42,26.87,26.915,871300,25.627
2015-11-06,27.795,27.89,27.35,27.37,918800,26.061
2015-11-05,27.585,27.96,27.50,27.81,1689100,26.479
2015-11-04,27.575,27.78,27.385,27.41,1115800,26.099
2015-11-03,27.63,27.74,27.425,27.53,1424400,26.213
2015-11-02,27.43,27.745,27.33,27.61,1702600,26.289
2015-10-30,27.50,27.57,27.32,27.555,3003900,26.237
2015-10-29,27.58,27.61,27.33,27.42,1046000,26.108
2015-10-28,27.495,27.62,27.42,27.525,1830300,26.208
2015-10-27,27.62,27.66,27.34,27.44,1403600,26.127
2015-10-26,27.515,27.645,27.295,27.605,2340000,26.284
2015-10-23,27.65,27.775,27.43,27.495,1947200,26.18
2015-10-22,27.08,27.615,26.945,27.56,1465100,26.241
2015-10-21,26.855,27.175,26.765,27.105,3391800,25.808
2015-10-20,26.72,26.925,26.625,26.78,748400,25.499
2015-10-19,26.77,26.97,26.63,26.76,689800,25.48
2015-10-16,26.75,26.94,26.635,26.765,684400,25.484
2015-10-15,26.665,26.74,26.435,26.70,811100,25.423
2015-10-14,26.285,26.69,26.17,26.505,894400,25.237
2015-10-13,26.325,26.545,26.12,26.32,1070800,25.061
2015-10-12,26.575,26.65,26.16,26.37,801300,25.108
