Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,6.70614,6.7411,6.6241,6.68474,234300,6.68474
2012-12-28,6.84883,6.92659,6.6241,6.64978,676100,6.64978
2012-12-27,7.02005,7.09852,6.84241,6.86238,803300,6.86238
2012-12-26,7.01291,7.01291,7.01291,7.01291,000,7.01291
2012-12-25,7.01291,7.01291,7.01291,7.01291,000,7.01291
2012-12-24,7.06285,7.1984,7.01291,7.01291,449600,7.01291
2012-12-21,7.45167,7.46237,7.1078,7.23764,1408700,7.23764
2012-12-20,7.4267,7.65856,7.36962,7.58365,637500,7.58365
2012-12-19,7.37676,7.84762,7.36962,7.48734,1017000,7.48734
2012-12-18,7.34822,7.55155,7.26975,7.51944,502000,7.51944
2012-12-17,6.97011,7.31255,6.80602,7.29115,701900,7.29115
2012-12-14,6.77749,6.83527,6.75822,6.77035,211300,6.77035
2012-12-13,6.84526,6.90519,6.66405,6.74681,363400,6.74681
2012-12-12,6.74181,6.8631,6.74181,6.81316,286200,6.81316
2012-12-11,6.48855,6.77749,6.47286,6.73111,371100,6.73111
2012-12-10,6.47143,6.52065,6.37726,6.49212,142400,6.49212
2012-12-07,6.48855,6.54705,6.47,6.53492,197200,6.53492
2012-12-06,6.57773,6.62695,6.4593,6.50425,195100,6.50425
2012-12-05,6.43576,6.59342,6.43576,6.55989,206000,6.55989
2012-12-04,6.45645,6.50639,6.42862,6.44218,161100,6.44218
2012-12-03,6.47428,6.66334,6.44931,6.47928,255300,6.47928
2012-11-30,6.52065,6.59128,6.46715,6.5178,202300,6.5178
2012-11-29,6.38511,6.54206,6.35015,6.54206,305500,6.54206
2012-11-28,6.3637,6.38439,6.2681,6.30306,114000,6.30306
2012-11-27,6.47072,6.475,6.37155,6.40722,141400,6.40722
2012-11-26,6.56346,6.59913,6.38867,6.39937,203000,6.39937
2012-11-23,6.47785,6.59414,6.43362,6.52422,213200,6.52422
2012-11-22,6.37155,6.47785,6.37155,6.42078,208700,6.42078
2012-11-21,6.23386,6.46001,6.20675,6.36513,423400,6.36513
2012-11-20,6.22815,6.27809,6.17108,6.24242,256600,6.24242
2012-11-19,6.17393,6.34872,6.08904,6.30092,354800,6.30092
2012-11-16,6.28166,6.37797,6.07905,6.07905,412400,6.07905
2012-11-15,6.38511,6.51423,6.27809,6.30592,360000,6.30592
2012-11-14,6.77535,6.77535,6.39295,6.40651,586300,6.40651
2012-11-13,6.80602,6.83171,6.56346,6.71399,299200,6.71399
2012-11-12,6.93301,7.05501,6.80602,6.80602,130700,6.80602
2012-11-09,6.9273,7.02576,6.85239,6.95869,237300,6.95869
2012-11-08,7.06571,7.1663,6.92088,6.94371,236700,6.94371
2012-11-07,7.30185,7.38389,7.04859,7.05144,283600,7.05144
2012-11-06,7.1342,7.25904,7.11993,7.19127,236000,7.19127
2012-11-05,7.39103,7.39103,7.18057,7.18057,323400,7.18057
2012-11-02,7.24121,7.4588,7.19127,7.4588,236400,7.4588
2012-11-01,7.14846,7.36606,7.12207,7.23764,288700,7.23764
2012-10-31,6.99865,7.21981,6.99865,7.19127,492500,7.19127
2012-10-30,6.95655,6.99865,6.91018,6.99865,130600,6.99865
2012-10-29,7.09496,7.12635,6.87736,6.88521,302700,6.88521
2012-10-26,7.10566,7.20197,7.05572,7.07712,190100,7.07712
2012-10-25,7.1342,7.20197,7.05001,7.09995,188700,7.09995
2012-10-24,7.22337,7.23407,6.92017,7.12349,341900,7.12349
2012-10-23,7.33395,7.33395,7.15917,7.23051,262900,7.23051
2012-10-22,7.34822,7.37676,7.1984,7.29472,355500,7.29472
2012-10-19,7.26261,7.41956,7.1556,7.34822,456500,7.34822
2012-10-18,7.56225,7.56938,7.14846,7.28758,589500,7.28758
2012-10-17,7.05501,7.50161,7.00578,7.50161,827000,7.50161
2012-10-16,6.90233,7.04002,6.70614,6.99865,640300,6.99865
2012-10-15,7.09852,7.12349,6.80816,6.87736,220100,6.87736
2012-10-12,7.16273,7.23407,7.00578,7.02362,143200,7.02362
2012-10-11,6.93801,7.1984,6.89163,7.1663,206200,7.1663
2012-10-10,7.11636,7.26975,6.94157,7.04859,304100,7.04859
2012-10-09,7.18414,7.35892,7.09924,7.19484,253200,7.19484
2012-10-08,7.31612,7.32682,7.15917,7.18414,263100,7.18414
2012-10-05,7.37676,7.43383,7.31968,7.34465,202000,7.34465
2012-10-04,7.49091,7.49804,7.25904,7.36962,229200,7.36962
2012-10-03,7.45523,7.55511,7.24834,7.34822,282300,7.34822
2012-10-02,7.44453,7.65856,7.34109,7.46237,241800,7.46237
2012-10-01,7.24478,7.49804,7.06999,7.43383,346800,7.43383
2012-09-28,7.4267,7.58722,7.13776,7.24121,538900,7.24121
2012-09-27,7.50161,7.59792,7.23051,7.35892,737600,7.35892
2012-09-26,8.00813,8.04024,7.40173,7.40173,802000,7.40173
2012-09-25,8.37911,8.38981,8.06878,8.14368,315300,8.14368
2012-09-24,8.38981,8.47186,8.31134,8.38981,243800,8.38981
2012-09-21,8.24356,8.52536,8.14012,8.52536,414500,8.52536
2012-09-20,8.38268,8.48969,8.09731,8.21859,346000,8.21859
2012-09-19,8.54677,8.54677,8.2828,8.43619,398800,8.43619
2012-09-18,8.33987,8.51823,8.02597,8.38268,479900,8.38268
2012-09-17,8.0331,8.48969,7.94749,8.36841,519600,8.36841
2012-09-14,7.73704,8.11158,7.66569,8.00457,689400,8.00457
2012-09-13,7.57652,7.62289,7.43026,7.50874,220900,7.50874
2012-09-12,7.56225,7.64429,7.41956,7.58722,477600,7.58722
2012-09-11,7.47664,7.53014,7.27688,7.53014,1999100,7.53014
2012-09-10,7.37676,7.49091,7.30898,7.48734,386400,7.48734
2012-09-07,7.34822,7.60505,7.27688,7.31612,973900,7.31612
2012-09-06,6.99151,7.31255,6.92088,7.26261,490100,7.26261
2012-09-05,7.06285,7.10851,6.79175,6.90233,478000,6.90233
2012-09-04,7.1342,7.16273,7.01791,7.08782,175900,7.08782
2012-09-03,7.11279,7.23051,7.04145,7.06285,161900,7.06285
2012-08-31,7.04074,7.20554,6.99151,7.13348,293300,7.13348
2012-08-30,7.05501,7.09139,7.02005,7.06285,127800,7.06285
2012-08-29,7.1342,7.2091,7.02718,7.05215,223900,7.05215
2012-08-28,7.21981,7.30185,7.0493,7.06999,346800,7.06999
2012-08-27,7.1342,7.30542,7.09852,7.28758,206500,7.28758
2012-08-24,7.23764,7.23764,7.03646,7.05501,249000,7.05501
2012-08-23,7.24121,7.34109,6.99936,7.20554,267300,7.20554
2012-08-22,7.27331,7.52658,6.84883,7.03432,660100,7.03432
2012-08-21,7.56225,7.62646,7.22694,7.36962,467800,7.36962
2012-08-20,7.33395,7.74774,7.21624,7.4267,1063700,7.4267
2012-08-17,6.67761,7.33395,6.67761,7.33395,1516900,7.33395
2012-08-16,5.87144,6.61269,5.86431,6.61269,979500,6.61269
2012-08-15,5.80724,5.85218,5.80724,5.85218,135800,5.85218
2012-08-14,5.92138,5.92138,5.77228,5.82864,295400,5.82864
2012-08-13,5.8108,5.92138,5.77156,5.7787,236400,5.7787
2012-08-10,5.83506,5.88642,5.74374,5.85004,200200,5.85004
2012-08-09,5.91568,5.91568,5.75159,5.86431,358300,5.86431
2012-08-08,5.95491,6.04266,5.71449,5.86074,463300,5.86074
2012-08-07,5.87858,6.03696,5.7787,5.96989,466600,5.96989
2012-08-06,5.61675,5.92067,5.59321,5.91425,2787900,5.91425
2012-08-03,5.27217,5.55397,5.27217,5.55326,306800,5.55326
2012-08-02,5.78797,5.92067,5.28787,5.28787,640400,5.28787
2012-08-01,5.87002,6.05551,5.65028,5.78797,448900,5.78797
2012-07-31,5.85004,5.97132,5.55825,5.91353,540100,5.91353
2012-07-30,5.81437,5.97846,5.71449,5.84219,560000,5.84219
2012-07-27,5.75016,5.8743,5.38632,5.8743,466000,5.8743
2012-07-26,5.42056,5.68809,5.2793,5.64315,473600,5.64315
2012-07-25,5.10095,5.51117,5.06528,5.27288,683700,5.27288
2012-07-24,5.56467,5.59321,5.06528,5.10095,630000,5.10095
2012-07-23,5.57252,5.57252,5.14518,5.48334,1201900,5.48334
2012-07-20,6.26382,6.26382,5.63744,5.68524,1199800,5.68524
2012-07-19,6.0284,6.27524,5.94992,6.26311,1007400,6.26311
2012-07-18,6.07976,6.08547,5.8108,5.98559,931600,5.98559
2012-07-17,6.24242,6.34159,5.96419,5.96847,1026000,5.96847
2012-07-16,6.70614,6.77535,6.16038,6.22102,2624700,6.22102
2012-07-13,6.83456,6.83456,6.57416,6.74039,816100,6.74039
2012-07-12,7.27688,7.27688,7.0493,7.08426,1000400,6.43426
2012-07-11,7.14133,7.30542,7.06999,7.177,813200,6.51849
2012-07-10,7.12563,7.31968,7.0279,7.18057,731200,6.52173
2012-07-09,7.08925,7.24121,6.99936,7.05358,2025900,6.40639
2012-07-06,7.44097,7.46237,7.00079,7.01862,883600,6.37464
2012-07-05,7.7192,7.86545,7.45523,7.46594,975300,6.78092
2012-07-04,7.66926,7.72633,7.52301,7.69423,533400,6.98826
2012-07-03,7.34822,7.67283,7.29828,7.67283,833900,6.96883
2012-07-02,7.27688,7.38389,7.12706,7.34822,907800,6.674
2012-06-29,6.92588,7.19127,6.77749,7.19127,1037000,6.53145
2012-06-28,6.69188,6.73753,6.50282,6.6348,496900,6.02604
2012-06-27,6.54206,6.62053,6.38511,6.62053,471900,6.01308
2012-06-26,6.70614,6.8795,6.43148,6.43861,753300,5.84785
2012-06-25,6.98081,7.04145,6.704,6.73254,712100,6.11481
2012-06-22,6.67047,7.11279,6.64907,7.02005,1029500,6.37594
2012-06-21,6.88807,7.00435,6.69972,6.72041,706500,6.10379
2012-06-20,6.82743,7.03146,6.75537,6.89877,630200,6.26579
2012-06-19,6.75608,6.81316,6.58486,6.74181,687200,6.12323
2012-06-18,7.23051,7.25904,6.71328,6.77749,857400,6.15564
2012-06-15,6.83456,7.16987,6.80602,7.06856,1054500,6.42
2012-06-14,6.57773,6.84027,6.51423,6.7996,800200,6.17572
2012-06-13,6.85953,6.89235,6.57701,6.60698,1073600,6.00077
2012-06-12,7.01648,7.06285,6.74039,6.85596,875700,6.22691
2012-06-11,7.56225,7.77627,6.97439,6.99008,679900,6.34872
2012-06-08,7.10566,7.29472,6.87023,7.24121,763800,6.57681
2012-06-07,7.14133,7.26975,6.97296,7.13063,1374500,6.47638
