Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,11.23,11.32,11.03,11.20,3161000,10.486
2012-12-28,11.375,11.445,11.21,11.25,1624100,10.533
2012-12-27,11.27,11.41,11.21,11.41,3258300,10.683
2012-12-26,11.32,11.32,11.32,11.32,000,10.599
2012-12-25,11.32,11.32,11.32,11.32,000,10.599
2012-12-24,11.40,11.42,11.15,11.32,769400,10.599
2012-12-21,11.17,11.39,11.15,11.39,7361100,10.664
2012-12-20,11.15,11.285,11.12,11.23,16301800,10.514
2012-12-19,11.15,11.345,11.05,11.16,11750600,10.449
2012-12-18,10.78,11.15,10.76,11.15,22153900,10.439
2012-12-17,10.66,10.745,10.61,10.705,22116000,10.023
2012-12-14,10.51,10.66,10.43,10.65,6618100,9.971
2012-12-13,10.385,10.495,10.245,10.455,52537500,9.789
2012-12-12,11.365,11.41,11.22,11.245,7292600,9.592
2012-12-11,11.395,11.49,11.295,11.31,5253500,9.647
2012-12-10,11.435,11.435,11.22,11.335,6134900,9.669
2012-12-07,11.32,11.45,11.26,11.42,23920900,9.741
2012-12-06,11.42,11.42,11.26,11.30,48793700,9.639
2012-12-05,11.53,11.575,11.23,11.365,33932500,9.694
2012-12-04,11.40,11.55,11.245,11.55,2618400,9.852
2012-12-03,11.51,11.69,11.35,11.36,32826800,9.69
2012-11-30,11.60,11.65,11.22,11.395,8791700,9.72
2012-11-29,11.36,11.57,11.22,11.30,2220900,9.639
2012-11-28,11.14,11.35,11.05,11.35,1102000,9.682
2012-11-27,11.27,11.345,11.115,11.15,1323900,9.511
2012-11-26,11.255,11.255,11.02,11.185,1359800,9.541
2012-11-23,11.20,11.28,11.135,11.255,1321500,9.601
2012-11-22,11.26,11.285,11.125,11.14,694100,9.502
2012-11-21,11.075,11.26,11.05,11.175,1466700,9.532
2012-11-20,11.095,11.15,10.92,11.105,1571700,9.473
2012-11-19,11.07,11.14,10.925,11.115,1715900,9.481
2012-11-16,10.985,11.07,10.91,10.925,1178800,9.319
2012-11-15,10.84,11.02,10.84,10.98,1086500,9.366
2012-11-14,11.01,11.03,10.845,10.94,1253400,9.332
2012-11-13,10.685,11.08,10.53,10.965,1868800,9.353
2012-11-12,11.01,11.05,10.675,10.705,1406100,9.131
2012-11-09,10.88,11.025,10.71,11.015,5783400,9.396
2012-11-08,10.95,11.05,10.83,10.895,3096300,9.293
2012-11-07,11.08,11.09,10.81,10.91,6495900,9.306
2012-11-06,10.85,11.085,10.81,10.99,15013400,9.375
2012-11-05,11.04,11.04,10.77,10.80,7257500,9.212
2012-11-02,10.98,11.185,10.96,11.09,1708300,9.46
2012-11-01,10.90,11.045,10.90,10.95,2733300,9.34
2012-10-31,10.695,11.02,10.695,10.90,2315300,9.298
2012-10-30,10.74,10.88,10.62,10.735,773800,9.157
2012-10-29,10.79,10.85,10.535,10.63,1521200,9.067
2012-10-26,10.73,10.755,10.50,10.65,1984200,9.084
2012-10-25,10.65,10.975,10.65,10.84,2433000,9.247
2012-10-24,10.59,10.72,10.415,10.68,1967200,9.11
2012-10-23,10.69,10.72,10.46,10.535,3666700,8.986
2012-10-22,10.50,10.71,10.40,10.71,3760700,9.136
2012-10-19,10.49,10.585,10.365,10.52,1407500,8.974
2012-10-18,10.42,10.50,10.27,10.50,1345100,8.957
2012-10-17,10.37,10.46,10.27,10.415,1178000,8.884
2012-10-16,9.961,10.34,9.931,10.295,1109000,8.782
2012-10-15,9.90,10.095,9.78,9.852,909200,8.404
2012-10-12,10.15,10.20,9.916,9.916,737600,8.458
2012-10-11,10.02,10.10,9.915,10.005,1398500,8.534
2012-10-10,10.165,10.285,10.05,10.05,11293100,8.573
2012-10-09,10.39,10.39,10.025,10.25,1726000,8.743
2012-10-08,10.395,10.45,10.31,10.355,478100,8.833
2012-10-05,10.325,10.455,10.22,10.425,728600,8.893
2012-10-04,10.245,10.45,10.23,10.275,1347300,8.765
2012-10-03,10.26,10.43,10.215,10.235,1432400,8.73
2012-10-02,10.295,10.535,10.225,10.26,1852200,8.752
2012-10-01,10.24,10.455,10.14,10.33,1936300,8.812
2012-09-28,10.15,10.275,9.91,10.125,1873400,8.637
2012-09-27,9.71,10.10,9.697,10.09,1172600,8.607
2012-09-26,10.09,10.15,9.62,9.697,3474400,8.272
2012-09-25,10.30,10.48,10.18,10.20,1223000,8.701
2012-09-24,10.52,10.55,10.28,10.29,5029200,8.777
2012-09-21,10.26,10.69,10.21,10.625,2757800,9.063
2012-09-20,9.944,10.23,9.903,10.23,1072600,8.726
2012-09-19,10.05,10.22,9.91,10.015,1760100,8.543
2012-09-18,10.03,10.13,9.83,10.05,1840500,8.573
2012-09-17,10.19,10.40,10.01,10.125,2168900,8.637
2012-09-14,9.75,10.29,9.748,10.22,2719200,8.718
2012-09-13,9.48,9.70,9.461,9.70,1612900,8.274
2012-09-12,9.579,9.685,9.409,9.483,1951200,8.089
2012-09-11,9.635,9.645,9.525,9.538,796300,8.136
2012-09-10,9.627,9.70,9.572,9.65,3940100,8.231
