Date,Open,High,Low,Close,Volume,Adj Close
2010-12-30,5.859,5.898,5.712,5.712,2790000,5.45862
2010-12-29,5.74,5.859,5.69,5.854,1983000,5.59432
2010-12-28,5.75,5.808,5.675,5.695,1529500,5.44237
2010-12-27,5.82,5.82,5.675,5.731,1862900,5.47677
2010-12-24,5.752,5.752,5.752,5.752,000,5.49684
2010-12-23,5.906,5.919,5.63,5.752,3716600,5.49684
2010-12-22,5.91,5.963,5.85,5.917,2122400,5.65452
2010-12-21,5.724,5.945,5.724,5.919,2926300,5.65643
2010-12-20,5.93,5.93,5.671,5.709,5264300,5.45575
2010-12-17,5.894,5.978,5.86,5.909,4952100,5.64688
2010-12-16,5.791,5.98,5.733,5.843,6932400,5.58381
2010-12-15,5.775,5.849,5.626,5.816,4163000,5.558
2010-12-14,5.61,5.82,5.41,5.762,7407300,5.5064
2010-12-13,5.41,5.619,5.392,5.60,6142600,5.35158
2010-12-10,5.107,5.445,5.05,5.392,6296300,5.15281
2010-12-09,5.068,5.139,5.011,5.067,3148000,4.84223
2010-12-08,5.02,5.15,5.002,5.05,3000500,4.82598
2010-12-07,4.942,5.07,4.811,5.04,5433800,4.81643
2010-12-06,5.02,5.068,4.941,4.942,2587000,4.72277
2010-12-03,5.03,5.11,5.00,5.007,4231900,4.78489
2010-12-02,5.121,5.179,4.921,5.049,8172400,4.82503
2010-12-01,5.173,5.246,5.07,5.108,5491900,4.88141
2010-11-30,5.162,5.297,5.14,5.14,14521800,4.91199
2010-11-29,5.219,5.278,5.10,5.186,4467300,4.95595
2010-11-26,5.105,5.213,5.03,5.211,3889900,4.97984
2010-11-25,5.141,5.194,5.078,5.144,3319900,4.91581
2010-11-24,5.078,5.10,5.00,5.05,5031900,4.82598
2010-11-23,5.08,5.169,5.009,5.078,4594900,4.85274
2010-11-22,5.289,5.33,5.06,5.076,4219700,4.85083
2010-11-19,5.325,5.347,5.24,5.289,2786000,5.05438
2010-11-18,5.265,5.322,5.21,5.301,3239000,5.06585
2010-11-17,5.102,5.277,5.055,5.202,4215900,4.97124
2010-11-16,5.23,5.264,5.11,5.11,4519500,4.88332
2010-11-15,5.269,5.29,5.20,5.26,3231000,5.02667
2010-11-12,5.20,5.405,5.15,5.257,6157200,5.0238
2010-11-11,5.316,5.42,5.26,5.37,4383300,5.13179
2010-11-10,5.368,5.56,5.27,5.316,7359200,5.08018
2010-11-09,5.306,5.51,5.20,5.36,8320700,5.12223
2010-11-08,5.125,5.399,5.05,5.344,11497800,5.10694
2010-11-05,5.067,5.15,4.905,5.007,4406600,4.78489
2010-11-04,5.15,5.17,5.071,5.10,4321900,4.87376
2010-11-03,5.05,5.12,5.01,5.103,5034400,4.87663
2010-11-02,4.904,5.045,4.881,5.031,4298500,4.80783
2010-11-01,5.02,5.035,4.878,4.928,2787400,4.70939
2010-10-29,4.885,5.049,4.85,5.00,3633800,4.7782
2010-10-28,4.892,4.919,4.77,4.891,3213200,4.67404
2010-10-27,4.932,4.95,4.80,4.865,3389900,4.64919
2010-10-26,5.06,5.17,4.76,4.951,7370700,4.73137
2010-10-25,5.10,5.11,5.021,5.047,3021200,4.82312
2010-10-22,5.065,5.11,5.003,5.052,4820100,4.82789
2010-10-21,5.00,5.114,4.926,5.079,8817800,4.8537
2010-10-20,4.675,4.969,4.64,4.961,11411300,4.74093
2010-10-19,4.69,4.778,4.656,4.70,6864900,4.49151
2010-10-18,4.79,4.801,4.62,4.637,7737900,4.4313
2010-10-15,4.773,4.795,4.72,4.79,4831400,4.57752
2010-10-14,4.678,4.85,4.615,4.69,6092700,4.48195
2010-10-13,4.54,4.709,4.54,4.678,7197100,4.47048
2010-10-12,4.75,4.751,4.476,4.492,9841400,4.29274
2010-10-11,4.994,5.013,4.751,4.79,9243700,4.57752
2010-10-08,5.10,5.109,4.951,5.049,8086600,4.82503
2010-10-07,5.44,5.571,5.013,5.111,12911500,4.88428
2010-10-06,5.50,5.55,5.326,5.405,8586600,5.16524
2010-10-05,5.19,5.496,5.154,5.472,10869300,5.22926
2010-10-04,5.092,5.22,5.07,5.182,5346500,4.95213
2010-10-01,5.14,5.245,5.06,5.096,4646600,4.86994
2010-09-30,4.986,5.304,4.97,5.135,8803200,4.90721
2010-09-29,5.086,5.139,4.96,5.003,4395300,4.78107
2010-09-28,5.021,5.16,4.925,5.078,4005500,4.85274
2010-09-27,5.213,5.224,4.921,5.032,10428600,4.80878
2010-09-24,5.18,5.22,5.146,5.184,22814500,4.95404
2010-09-23,5.34,5.44,5.26,5.354,3712100,5.1165
2010-09-22,5.307,5.35,5.218,5.267,3092200,5.03336
2010-09-21,5.355,5.394,5.303,5.306,2595000,5.07063
2010-09-20,5.329,5.38,5.21,5.358,3807900,5.12032
2010-09-17,5.52,5.598,5.31,5.329,8137800,5.09261
2010-09-16,5.58,5.69,5.462,5.474,4023000,5.23117
2010-09-15,5.70,5.724,5.421,5.542,9103200,5.29616
2010-09-14,5.229,5.74,5.21,5.699,12411600,5.44619
2010-09-13,5.30,5.30,5.181,5.20,4094000,4.96933
2010-09-10,5.162,5.279,5.121,5.238,3783400,5.00564
2010-09-09,5.235,5.238,5.126,5.162,4507800,4.93301
2010-09-08,5.297,5.307,5.203,5.235,6197000,5.00278
2010-09-07,5.404,5.422,5.28,5.30,3787300,5.06489
2010-09-06,5.475,5.492,5.406,5.417,1748000,5.1767
2010-09-03,5.644,5.644,5.405,5.416,3678700,5.17575
2010-09-02,5.50,5.649,5.46,5.562,2551500,5.31527
2010-09-01,5.373,5.52,5.30,5.499,2940200,5.25507
2010-08-31,5.20,5.30,5.12,5.30,3361900,5.06489
2010-08-30,5.40,5.42,5.272,5.311,1567700,5.0754
2010-08-27,5.204,5.328,5.157,5.303,2901300,5.06776
2010-08-26,5.15,5.24,5.14,5.215,3014400,4.98366
2010-08-25,5.28,5.28,5.07,5.104,4126000,4.87759
2010-08-24,5.522,5.522,5.228,5.294,4075800,5.05916
2010-08-23,5.504,5.637,5.50,5.522,2539200,5.27704
2010-08-20,5.675,5.712,5.48,5.504,4107900,5.25984
