Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,13.58,13.80,13.53,13.58,1073900,11.038
2012-12-28,13.85,13.93,13.615,13.67,6580100,11.112
2012-12-27,13.645,13.93,13.60,13.90,6568600,11.299
2012-12-26,13.67,13.67,13.67,13.67,000,11.112
2012-12-25,13.67,13.67,13.67,13.67,000,11.112
2012-12-24,13.60,13.70,13.595,13.67,978400,11.112
2012-12-21,13.50,13.655,13.28,13.64,3396400,11.087
2012-12-20,13.59,13.685,13.50,13.53,3114300,10.998
2012-12-19,13.585,13.97,13.565,13.665,3465700,11.108
2012-12-18,13.295,13.63,13.135,13.53,4203600,10.998
2012-12-17,13.085,13.25,12.98,13.25,2207200,10.77
2012-12-14,13.11,13.25,12.90,13.04,2142500,10.599
2012-12-13,13.03,13.10,12.94,13.05,2392000,10.608
2012-12-12,12.85,12.955,12.83,12.955,2628200,10.53
2012-12-11,12.52,12.835,12.505,12.79,3172300,10.396
2012-12-10,12.425,12.50,12.21,12.50,1696900,10.161
2012-12-07,12.515,12.62,12.38,12.515,1525200,10.173
2012-12-06,12.49,12.57,12.365,12.55,1319500,10.201
2012-12-05,12.30,12.42,12.25,12.40,2243100,10.079
2012-12-04,12.03,12.19,12.03,12.19,1252300,9.909
2012-12-03,12.00,12.27,11.92,12.05,2007100,9.795
2012-11-30,12.02,12.10,11.91,11.935,2411600,9.701
2012-11-29,12.09,12.105,11.955,12.05,1448600,9.795
2012-11-28,12.16,12.19,11.805,11.955,2011000,9.718
2012-11-27,12.295,12.33,12.095,12.15,1438100,9.876
2012-11-26,12.26,12.325,12.075,12.175,3640400,9.896
2012-11-23,12.25,12.30,12.105,12.30,1105400,9.998
2012-11-22,12.145,12.265,12.13,12.24,1884800,9.949
2012-11-21,12.04,12.155,12.015,12.135,1328400,9.864
2012-11-20,12.105,12.15,12.02,12.07,1377300,9.811
2012-11-19,12.115,12.16,11.96,12.16,4786800,9.884
2012-11-16,12.10,12.18,11.91,12.005,5261700,9.758
2012-11-15,11.92,12.095,11.92,12.04,3800500,9.787
2012-11-14,11.895,11.935,11.76,11.855,1073300,9.636
2012-11-13,11.70,11.89,11.63,11.785,2168400,9.579
2012-11-12,11.85,11.935,11.735,11.85,813600,9.632
2012-11-09,11.87,11.93,11.655,11.88,1268500,9.657
2012-11-08,11.98,12.00,11.74,11.87,1874200,9.648
2012-11-07,12.02,12.13,11.885,11.915,1861600,9.685
2012-11-06,12.02,12.09,11.905,12.03,1252000,9.779
2012-11-05,12.02,12.105,11.895,12.105,1305900,9.839
2012-11-02,12.02,12.38,12.01,12.175,1951900,9.896
2012-11-01,11.895,12.21,11.87,12.08,1553200,9.819
2012-10-31,12.02,12.175,11.97,11.97,1343200,9.73
2012-10-30,11.975,12.15,11.90,12.02,1005200,9.77
2012-10-29,11.845,11.97,11.78,11.865,503000,9.644
2012-10-26,11.845,12.00,11.75,11.91,1025800,9.681
2012-10-25,11.73,12.02,11.715,11.875,1475300,9.653
2012-10-24,11.77,11.86,11.525,11.79,1452700,9.583
2012-10-23,11.97,11.985,11.54,11.72,6888300,9.527
2012-10-22,11.93,12.02,11.82,11.90,689300,9.673
2012-10-19,12.015,12.04,11.82,11.945,1293100,9.709
2012-10-18,12.00,12.05,11.85,12.005,1508300,9.758
2012-10-17,11.93,12.10,11.91,12.03,3289300,9.779
2012-10-16,11.71,11.90,11.545,11.845,3448200,9.628
2012-10-15,11.535,11.68,11.455,11.605,1147700,9.433
2012-10-12,11.56,11.66,11.38,11.535,4604500,9.376
2012-10-11,11.575,11.735,11.45,11.60,2215600,9.429
2012-10-10,11.36,11.63,11.36,11.575,1590200,9.409
2012-10-09,11.345,11.57,11.17,11.43,1458000,9.291
2012-10-08,11.445,11.505,11.235,11.38,639000,9.25
2012-10-05,11.555,11.59,11.35,11.515,1048400,9.36
2012-10-04,11.55,11.665,11.45,11.50,730300,9.348
2012-10-03,11.32,11.68,11.30,11.495,1182900,9.344
2012-10-02,11.27,11.595,11.24,11.435,2105400,9.295
2012-10-01,11.19,11.485,11.05,11.32,3241800,9.201
2012-09-28,11.43,11.46,10.92,11.015,1456300,8.953
2012-09-27,11.275,11.61,11.095,11.33,1218700,9.21
2012-09-26,11.905,11.905,11.26,11.27,2318300,9.161
2012-09-25,12.17,12.19,11.925,12.00,2256900,9.754
2012-09-24,12.30,12.45,12.045,12.155,8252200,9.88
2012-09-21,11.85,12.445,11.82,12.35,2072900,10.039
2012-09-20,11.80,11.99,11.76,11.85,822800,9.632
2012-09-19,11.83,12.02,11.80,11.90,1520500,9.673
2012-09-18,11.86,12.01,11.72,11.79,1544400,9.583
2012-09-17,12.23,12.345,11.865,12.05,1381700,9.795
2012-09-14,11.79,12.475,11.71,12.28,3260700,9.982
2012-09-13,11.635,11.68,11.42,11.65,1735600,9.47
2012-09-12,11.335,11.71,11.30,11.66,2122800,9.478
2012-09-11,11.25,11.485,11.075,11.33,990100,9.21
2012-09-10,11.40,11.45,11.19,11.32,2385100,9.201
2012-09-07,10.80,11.60,10.70,11.50,4216400,9.348
2012-09-06,10.245,10.71,10.22,10.64,2562700,8.649
2012-09-05,10.255,10.415,10.12,10.185,1056600,8.279
2012-09-04,9.99,10.51,9.90,10.27,2326700,8.348
2012-09-03,9.858,10.01,9.72,9.89,599900,8.039
2012-08-31,9.63,9.88,9.63,9.806,717000,7.971
2012-08-30,9.765,9.91,9.645,9.659,672400,7.851
2012-08-29,9.965,10.07,9.781,9.81,1381700,7.974
2012-08-28,10.175,10.28,9.918,9.978,977200,8.111
2012-08-27,10.10,10.17,10.04,10.15,568400,8.25
2012-08-24,10.18,10.245,10.02,10.075,883000,8.189
2012-08-23,10.38,10.57,10.06,10.165,995200,8.263
2012-08-22,10.52,10.52,10.23,10.255,498600,8.336
2012-08-21,10.735,10.735,10.37,10.485,1250800,8.523
2012-08-20,10.755,10.95,10.54,10.66,858400,8.665
2012-08-17,10.19,10.78,10.08,10.78,1950200,8.762
2012-08-16,9.815,10.185,9.734,10.185,1758200,8.279
2012-08-15,9.795,9.825,9.712,9.761,1646600,7.934
2012-08-14,9.979,9.979,9.77,9.80,2759500,7.966
2012-08-13,9.784,9.98,9.714,9.905,846000,8.051
2012-08-10,9.85,9.96,9.65,9.80,742200,7.966
2012-08-09,10.215,10.27,9.80,9.865,1654600,8.019
2012-08-08,10.43,10.525,10.025,10.205,1933000,8.295
2012-08-07,10.295,10.68,10.22,10.48,1809900,8.519
2012-08-06,10.12,10.475,9.94,10.41,2187600,8.462
2012-08-03,9.603,10.10,9.51,10.09,1016400,8.202
2012-08-02,10.07,10.13,9.507,9.586,1886800,7.792
2012-08-01,10.10,10.20,9.76,10.11,1968500,8.218
2012-07-31,10.19,10.28,9.809,10.025,1267000,8.149
2012-07-30,9.823,10.30,9.786,10.22,1953500,8.307
2012-07-27,9.39,9.841,9.131,9.756,2064900,7.93
2012-07-26,8.77,9.414,8.691,9.27,2015200,7.535
2012-07-25,8.513,8.77,8.50,8.737,1554800,7.102
2012-07-24,9.29,9.29,8.43,8.557,2545700,6.956
2012-07-23,9.024,9.051,8.36,8.895,2301000,7.23
2012-07-20,9.601,9.638,9.111,9.15,3219900,7.438
2012-07-19,9.663,9.69,9.518,9.642,2138700,7.837
2012-07-18,9.625,9.636,9.402,9.597,1300700,7.801
2012-07-17,9.667,9.814,9.473,9.562,1699900,7.772
2012-07-16,9.56,9.736,9.38,9.503,2506200,7.724
2012-07-13,9.57,9.706,9.473,9.625,1779400,7.824
2012-07-12,9.85,9.85,9.52,9.571,3092800,7.78
2012-07-11,9.69,9.944,9.65,9.861,1974400,8.015
2012-07-10,9.765,9.838,9.607,9.703,1115600,7.887
2012-07-09,9.76,9.84,9.612,9.711,1028700,7.894
2012-07-06,9.862,10.025,9.726,9.771,1964400,7.942
2012-07-05,10.08,10.14,9.812,9.876,2559000,8.028
2012-07-04,10.015,10.12,9.99,10.05,1414500,8.169
2012-07-03,10.095,10.185,10.00,10.065,1795000,8.181
2012-07-02,10.045,10.18,9.98,10.14,1645000,8.242
2012-06-29,9.763,10.105,9.763,10.105,2538600,8.214
2012-06-28,9.51,9.585,9.359,9.556,1565300,7.768
2012-06-27,9.47,9.555,9.352,9.50,1353100,7.722
2012-06-26,9.375,9.635,9.369,9.389,1852200,7.632
2012-06-25,9.655,9.764,9.302,9.386,1182000,7.629
2012-06-22,9.50,9.894,9.465,9.675,2021300,7.864
2012-06-21,9.536,9.73,9.42,9.561,2794800,7.772
2012-06-20,9.412,9.69,9.387,9.631,2894100,7.829
2012-06-19,9.45,9.50,9.23,9.429,1803300,7.664
2012-06-18,9.55,9.557,9.25,9.293,2012600,7.554
2012-06-15,9.295,9.487,9.227,9.334,4482800,7.587
2012-06-14,9.056,9.228,9.056,9.15,1901400,7.438
2012-06-13,9.09,9.221,8.97,9.106,1822900,7.402
2012-06-12,9.118,9.16,8.913,9.10,4686300,7.397
2012-06-11,9.274,9.55,9.089,9.124,3289300,7.416
2012-06-08,8.851,9.179,8.80,9.137,2270200,7.427
2012-06-07,8.897,8.997,8.827,8.894,2096300,7.229
2012-06-06,8.914,9.07,8.80,8.93,2800800,7.259
2012-06-05,9.018,9.04,8.835,8.884,1136800,7.221
2012-06-04,8.587,9.02,8.587,8.96,1249500,7.283
2012-06-01,8.79,8.88,8.60,8.681,1873100,7.056
2012-05-31,8.996,9.069,8.68,8.778,2897900,7.135
2012-05-30,9.00,9.099,8.845,8.953,2784500,7.277
2012-05-29,9.40,9.593,9.23,9.23,3393100,7.124
2012-05-28,9.934,9.953,9.551,9.551,1069600,7.372
2012-05-25,9.718,9.873,9.607,9.762,1651400,7.535
2012-05-24,9.609,9.806,9.47,9.711,1999000,7.496
2012-05-23,9.87,10.005,9.627,9.64,2663900,7.441
2012-05-22,9.81,10.075,9.769,10.015,11824500,7.73
2012-05-21,9.927,9.929,9.615,9.77,11554400,7.541
2012-05-18,9.502,10.225,9.502,9.875,12444700,7.622
2012-05-17,9.738,9.782,9.524,9.607,10985100,7.415
2012-05-16,9.73,9.865,9.564,9.662,1668600,7.458
2012-05-15,10.145,10.245,9.719,9.786,1231000,7.553
2012-05-14,10.215,10.265,9.903,10.035,1532400,7.746
2012-05-11,10.305,10.38,10.06,10.33,1624900,7.973
2012-05-10,9.993,10.445,9.94,10.39,3051900,8.02
2012-05-09,10.21,10.32,9.864,9.991,2625500,7.712
2012-05-08,10.205,10.60,10.20,10.325,2812700,7.97
2012-05-07,10.15,10.385,10.065,10.32,1221600,7.966
2012-05-04,10.245,10.44,10.21,10.245,1712500,7.908
2012-05-03,10.21,10.435,10.15,10.22,1357600,7.888
2012-05-02,10.625,10.635,10.075,10.185,2308400,7.861
2012-05-01,10.52,10.52,10.52,10.52,000,8.12
2012-04-30,10.965,11.00,10.52,10.52,2429100,8.12
2012-04-27,10.59,11.10,10.47,10.91,2992200,8.421
2012-04-26,10.695,10.77,10.55,10.63,2162400,8.205
2012-04-25,10.625,10.805,10.60,10.70,2076900,8.259
2012-04-24,10.305,10.64,10.30,10.63,2643400,8.205
2012-04-23,10.495,10.495,10.045,10.255,1744300,7.915
2012-04-20,10.295,10.655,10.21,10.59,2962600,8.174
2012-04-19,10.51,10.565,10.25,10.31,2350800,7.958
2012-04-18,10.70,10.79,10.41,10.42,2777800,8.043
2012-04-17,10.745,10.895,10.695,10.855,2409500,8.379
2012-04-16,10.78,11.005,10.78,10.80,2332800,8.336
2012-04-13,11.19,11.205,10.755,10.83,1792700,8.359
2012-04-12,11.28,11.325,11.045,11.24,2602400,8.676
2012-04-11,11.05,11.27,11.005,11.22,2013900,8.66
2012-04-10,11.17,11.375,11.06,11.06,1828500,8.537
2012-04-09,11.375,11.375,11.375,11.375,000,8.78
2012-04-06,11.375,11.375,11.375,11.375,000,8.78
2012-04-05,11.425,11.50,11.205,11.375,1700400,8.78
2012-04-04,11.66,11.76,11.435,11.44,2425600,8.83
2012-04-03,11.955,12.11,11.705,11.71,1565000,9.039
2012-04-02,11.945,12.015,11.70,11.99,2443200,9.255
2012-03-30,11.84,12.005,11.72,11.98,2421600,9.247
2012-03-29,11.89,12.02,11.805,11.815,1978400,9.12
2012-03-28,12.31,12.365,11.92,11.93,1498000,9.208
2012-03-27,12.415,12.56,12.275,12.29,2068200,9.486
2012-03-26,12.425,12.45,12.10,12.42,2917500,9.587
2012-03-23,12.65,12.735,12.265,12.365,3085200,9.544
2012-03-22,12.765,12.855,12.605,12.68,1237700,9.787
2012-03-21,12.85,12.98,12.715,12.795,3341300,9.876
2012-03-20,12.715,12.77,12.56,12.655,1246200,9.768
2012-03-19,12.625,12.755,12.545,12.71,1435600,9.81
2012-03-16,12.56,12.655,12.47,12.595,1968200,9.722
2012-03-15,12.565,12.565,12.41,12.53,1564100,9.671
2012-03-14,12.63,12.695,12.505,12.51,2280300,9.656
2012-03-13,12.365,12.58,12.305,12.56,1534600,9.695
2012-03-12,12.41,12.425,12.255,12.315,1692600,9.506
2012-03-09,12.485,12.57,12.25,12.445,1935100,9.606
2012-03-08,12.345,12.57,12.24,12.49,2832200,9.641
2012-03-07,12.625,12.69,12.275,12.325,2505700,9.513
2012-03-06,12.895,12.895,12.645,12.665,1900000,9.776
2012-03-05,12.835,12.94,12.725,12.91,1642300,9.965
2012-03-02,12.89,12.98,12.805,12.92,1060400,9.973
2012-03-01,12.66,12.88,12.65,12.82,1345500,9.895
