Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,33.10,33.38,32.92,33.12,385200,16.0193
2014-12-30,33.34,33.54,32.94,33.31,1239600,16.1112
2014-12-29,33.725,33.885,33.075,33.36,873600,16.1354
2014-12-26,33.25,33.25,33.25,33.25,000,16.0822
2014-12-25,33.25,33.25,33.25,33.25,000,16.0822
2014-12-24,33.50,33.79,33.115,33.25,347100,16.0822
2014-12-23,33.375,34.10,33.325,33.505,3782400,16.2056
2014-12-22,33.30,33.77,33.245,33.385,3580600,16.1475
2014-12-19,32.88,33.64,32.50,33.205,7002100,16.0605
2014-12-18,32.775,33.00,32.145,32.62,4153100,15.7775
2014-12-17,32.145,32.215,31.13,31.955,3516600,15.4559
2014-12-16,30.50,32.30,30.155,32.30,4237100,15.6227
2014-12-15,30.77,31.44,30.15,30.155,3091000,14.5852
2014-12-12,30.99,31.89,30.43,31.255,4731000,15.1173
2014-12-11,31.18,31.25,30.34,31.08,2497500,15.0326
2014-12-10,31.45,31.755,30.94,31.105,2307900,15.0447
2014-12-09,31.945,32.00,31.08,31.175,2372100,15.0786
2014-12-08,32.60,32.87,32.025,32.225,2574000,15.5865
2014-12-05,33.505,33.74,32.505,32.60,1936800,15.7678
2014-12-04,34.65,34.75,33.12,33.175,2131900,16.0459
2014-12-03,34.545,35.50,34.545,34.89,1527400,16.6322
2014-12-02,35.83,35.86,34.315,34.455,2121100,16.4248
2014-12-01,35.74,36.23,35.55,35.83,2403600,17.0803
2014-11-28,36.27,36.47,35.675,35.825,1847200,17.0779
2014-11-27,35.60,36.44,35.58,36.315,726800,17.3115
2014-11-26,35.70,35.73,35.135,35.605,1629700,16.9731
2014-11-25,35.81,36.51,35.655,35.655,2242000,16.9969
2014-11-24,35.83,36.40,35.705,35.855,1094400,17.0922
2014-11-21,35.125,35.90,35.035,35.815,6532000,17.0732
2014-11-20,34.975,35.53,34.775,35.11,1398300,16.7371
2014-11-19,35.27,35.85,34.98,35.115,1770500,16.7395
2014-11-18,35.235,35.66,34.96,35.17,8904200,16.7657
2014-11-17,34.285,35.40,34.00,35.32,1914000,16.8372
2014-11-14,34.755,35.15,34.48,34.555,1664500,16.4725
2014-11-13,34.35,34.875,34.285,34.69,1312800,16.5369
2014-11-12,34.765,35.08,34.05,34.255,1807400,16.3295
2014-11-11,34.345,35.185,34.175,34.975,2738300,16.6727
2014-11-10,34.195,34.60,33.925,34.29,1896800,16.3462
2014-11-07,34.88,34.895,34.14,34.35,1856600,16.3748
2014-11-06,33.96,34.835,33.675,34.74,2949800,16.5607
2014-11-05,34.10,34.145,33.295,33.98,2601000,16.1984
2014-11-04,32.95,34.28,32.75,33.90,5199300,16.1603
2014-11-03,32.63,32.74,32.05,32.21,2356900,15.3546
2014-10-31,32.40,32.75,32.095,32.545,2705000,15.5143
2014-10-30,31.99,32.045,31.055,31.91,2252400,15.2116
2014-10-29,31.975,32.23,31.645,31.75,2420900,15.1354
2014-10-28,31.665,32.00,31.585,31.94,2327000,15.2259
2014-10-27,32.18,32.30,31.405,31.585,1786800,15.0567
2014-10-24,31.685,32.045,31.45,31.90,2301200,15.2069
