Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,6.195,6.25,6.157,6.19,1815200,6.114
2014-12-30,6.031,6.18,6.00,6.14,3538400,6.064
2014-12-29,6.02,6.128,5.95,6.035,3872600,5.961
2014-12-26,6.04,6.04,6.04,6.04,000,5.966
2014-12-25,6.04,6.04,6.04,6.04,000,5.966
2014-12-24,6.04,6.073,6.00,6.04,786200,5.966
2014-12-23,6.04,6.07,5.988,6.035,2248300,5.961
2014-12-22,6.098,6.111,5.94,6.016,3030800,5.942
2014-12-19,5.91,6.03,5.91,5.98,7194900,5.906
2014-12-18,5.74,5.905,5.658,5.90,8020000,5.827
2014-12-17,5.792,5.792,5.58,5.597,4976900,5.528
2014-12-16,5.751,5.816,5.582,5.816,6582000,5.744
2014-12-15,5.814,5.915,5.702,5.707,3210000,5.637
2014-12-12,5.834,5.937,5.76,5.772,4342200,5.701
2014-12-11,5.837,5.96,5.742,5.871,3749000,5.799
2014-12-10,5.851,5.943,5.804,5.82,3115200,5.748
2014-12-09,6.053,6.062,5.75,5.783,5463300,5.712
2014-12-08,6.198,6.198,6.064,6.071,2918700,5.996
2014-12-05,5.95,6.174,5.944,6.162,3236100,6.086
2014-12-04,5.97,6.048,5.831,5.897,4576300,5.824
2014-12-03,5.847,5.989,5.80,5.974,4542900,5.90
2014-12-02,5.834,5.856,5.751,5.818,3896400,5.746
2014-12-01,5.76,5.941,5.76,5.81,6048300,5.738
2014-11-28,5.76,5.909,5.712,5.747,5873500,5.676
2014-11-27,5.54,5.77,5.491,5.761,4172900,5.69
2014-11-26,5.56,5.576,5.508,5.51,3160500,5.442
2014-11-25,5.481,5.624,5.481,5.53,8080400,5.462
2014-11-24,5.457,5.54,5.44,5.487,4256100,5.419
2014-11-21,5.405,5.48,5.356,5.464,5297200,5.397
2014-11-20,5.34,5.404,5.296,5.39,3990100,5.324
2014-11-19,5.364,5.436,5.328,5.337,5271200,5.271
2014-11-18,5.355,5.40,5.277,5.379,16194500,5.313
2014-11-17,5.298,5.365,5.183,5.355,3946100,5.289
2014-11-14,5.297,5.35,5.274,5.349,4780700,5.283
2014-11-13,5.245,5.32,5.203,5.29,4604800,5.225
2014-11-12,5.359,5.41,5.196,5.218,6340900,5.154
2014-11-11,5.296,5.409,5.284,5.376,6240200,5.31
2014-11-10,5.10,5.284,5.068,5.282,6791500,5.217
2014-11-07,5.312,5.359,5.117,5.133,8229600,5.07
2014-11-06,5.24,5.349,5.15,5.289,9014600,5.224
2014-11-05,5.285,5.353,5.251,5.275,9309300,5.21
2014-11-04,5.30,5.368,5.204,5.243,6507600,5.178
2014-11-03,5.255,5.334,5.225,5.297,6903200,5.232
2014-10-31,5.08,5.249,5.07,5.211,17188600,5.147
2014-10-30,4.859,4.965,4.776,4.965,5847500,4.904
2014-10-29,5.029,5.06,4.84,4.869,11633300,4.809
2014-10-28,4.965,5.072,4.94,4.995,6603400,4.933
2014-10-27,4.898,4.976,4.859,4.945,6820600,4.884
2014-10-24,4.80,4.905,4.741,4.861,7753200,4.801
2014-10-23,4.707,4.87,4.652,4.866,8362500,4.806
2014-10-22,4.70,4.815,4.623,4.709,10278200,4.651
2014-10-21,4.541,4.70,4.481,4.689,8896100,4.631
2014-10-20,4.401,4.56,4.371,4.549,6167300,4.493
2014-10-17,4.35,4.459,4.30,4.424,7637900,4.369
2014-10-16,4.164,4.329,4.019,4.297,17398200,4.244
2014-10-15,4.275,4.439,4.004,4.102,13045700,4.051
2014-10-14,4.069,4.285,4.001,4.278,7526300,4.225
2014-10-13,4.10,4.254,4.055,4.113,6441700,4.062
2014-10-10,4.16,4.253,4.10,4.137,6924600,4.086
2014-10-09,4.431,4.452,4.205,4.23,6332300,4.178
2014-10-08,4.40,4.409,4.285,4.36,7006700,4.306
2014-10-07,4.706,4.706,4.388,4.41,12055700,4.356
2014-10-06,4.69,4.748,4.664,4.72,4848200,4.662
2014-10-03,4.50,4.663,4.483,4.66,9464700,4.603
2014-10-02,4.563,4.595,4.428,4.432,5600500,4.377
2014-10-01,4.684,4.713,4.51,4.59,8468400,4.533
2014-09-30,4.73,4.785,4.691,4.715,5403100,4.657
2014-09-29,4.744,4.79,4.653,4.715,5224600,4.657
2014-09-26,4.658,4.749,4.593,4.743,3931300,4.685
2014-09-25,4.693,4.788,4.657,4.671,5217200,4.613
2014-09-24,4.65,4.682,4.55,4.674,5034900,4.616
2014-09-23,4.765,4.765,4.632,4.653,6652600,4.596
2014-09-22,4.824,4.849,4.758,4.766,3759500,4.707
2014-09-19,4.83,4.90,4.83,4.851,8272800,4.791
2014-09-18,4.74,4.808,4.717,4.78,4185800,4.721
2014-09-17,4.62,4.739,4.62,4.739,3791300,4.681
2014-09-16,4.663,4.673,4.54,4.592,4549800,4.535
2014-09-15,4.66,4.715,4.648,4.673,2094200,4.615
2014-09-12,4.72,4.738,4.66,4.685,2431500,4.627
2014-09-11,4.682,4.74,4.635,4.684,5230600,4.626
2014-09-10,4.61,4.645,4.534,4.645,7669100,4.588
2014-09-09,4.609,4.684,4.59,4.61,4690300,4.553
2014-09-08,4.65,4.662,4.531,4.598,4771900,4.541
2014-09-05,4.73,4.753,4.638,4.642,4621200,4.585
2014-09-04,4.62,4.754,4.58,4.738,7733700,4.68
2014-09-03,4.59,4.737,4.584,4.638,6593100,4.581
2014-09-02,4.561,4.589,4.534,4.581,2376000,4.525
2014-09-01,4.57,4.60,4.532,4.556,2622200,4.50
2014-08-29,4.527,4.574,4.492,4.556,4315600,4.50
2014-08-28,4.565,4.57,4.485,4.527,7178100,4.471
2014-08-27,4.499,4.592,4.499,4.573,5661200,4.517
2014-08-26,4.382,4.499,4.361,4.499,4368800,4.444
2014-08-25,4.361,4.399,4.32,4.395,2965000,4.341
2014-08-22,4.316,4.358,4.265,4.338,3849100,4.285
2014-08-21,4.335,4.344,4.267,4.309,8017100,4.256
2014-08-20,4.27,4.32,4.21,4.32,3813200,4.267
2014-08-19,4.29,4.332,4.235,4.261,4297700,4.208
2014-08-18,4.205,4.29,4.192,4.254,3791300,4.202
2014-08-15,4.159,4.222,4.119,4.138,7570400,4.087
2014-08-14,4.154,4.212,4.13,4.141,4251600,4.09
2014-08-13,4.205,4.21,4.132,4.16,3457300,4.109
2014-08-12,4.156,4.246,4.131,4.167,6311800,4.116
2014-08-11,4.027,4.166,4.001,4.152,7366100,4.101
2014-08-08,3.929,4.048,3.85,3.965,11680300,3.916
2014-08-07,4.026,4.145,3.98,3.989,7135700,3.94
2014-08-06,3.95,4.06,3.914,4.042,9679300,3.992
2014-08-05,4.121,4.149,3.928,4.005,9182700,3.956
2014-08-04,4.302,4.316,4.106,4.106,6434400,4.055
2014-08-01,4.265,4.368,4.141,4.262,9761400,4.209
2014-07-31,4.292,4.292,4.10,4.194,8679500,4.142
2014-07-30,4.251,4.283,4.205,4.26,2804100,4.207
2014-07-29,4.29,4.309,4.251,4.257,3734800,4.205
2014-07-28,4.335,4.349,4.244,4.282,6342000,4.229
2014-07-25,4.31,4.378,4.252,4.276,6482600,4.223
2014-07-24,4.231,4.35,4.153,4.314,6659400,4.261
2014-07-23,4.23,4.31,4.186,4.245,4182700,4.193
2014-07-22,4.119,4.234,4.103,4.215,5526000,4.163
2014-07-21,4.184,4.191,4.075,4.079,4503700,4.029
2014-07-18,4.131,4.246,4.104,4.166,9822900,4.115
