Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,11.13,11.234,11.128,11.194,10622900,5.4595
2014-12-30,11.246,11.258,11.106,11.186,25677700,5.4556
2014-12-29,11.192,11.278,11.054,11.274,32838500,5.4985
2014-12-26,11.366,11.366,11.366,11.366,000,5.5434
2014-12-25,11.366,11.366,11.366,11.366,000,5.5434
2014-12-24,11.26,11.394,11.26,11.366,8042900,5.5434
2014-12-23,11.234,11.376,11.154,11.35,43959500,5.5356
2014-12-22,11.284,11.358,11.166,11.25,53401800,5.4868
2014-12-19,11.336,11.356,11.088,11.218,46297800,5.4712
2014-12-18,11.18,11.272,11.122,11.26,64285500,5.4917
2014-12-17,10.892,11.092,10.868,11.012,45196200,5.3707
2014-12-16,10.87,10.996,10.61,10.984,59675500,5.3571
2014-12-15,11.008,11.06,10.774,10.792,42900700,5.2634
2014-12-12,11.172,11.206,11.006,11.016,34485100,5.3727
2014-12-11,11.25,11.334,11.196,11.23,91258300,5.4771
2014-12-10,11.35,11.414,11.23,11.294,73602100,5.5083
2014-12-09,11.67,11.688,11.332,11.332,79410300,5.5268
2014-12-08,11.796,11.838,11.734,11.776,33056100,5.7434
2014-12-05,11.794,11.834,11.706,11.808,53676700,5.759
2014-12-04,11.736,11.866,11.61,11.66,39764200,5.6868
2014-12-03,11.68,11.774,11.66,11.696,215056900,5.7043
2014-12-02,11.676,11.704,11.594,11.67,231240000,5.6917
2014-12-01,11.866,11.938,11.842,11.882,24699200,5.6731
2014-11-28,11.862,11.904,11.78,11.892,29991000,5.6779
2014-11-27,11.744,11.866,11.702,11.814,33402400,5.6407
2014-11-26,11.812,11.86,11.706,11.724,67218000,5.5977
2014-11-25,11.674,11.812,11.648,11.734,73726500,5.6025
2014-11-24,11.56,11.756,11.558,11.674,60498200,5.5738
2014-11-21,11.132,11.542,11.13,11.498,278993200,5.4898
2014-11-20,11.22,11.25,11.054,11.13,233748700,5.3141
2014-11-19,11.184,11.286,11.172,11.24,29883800,5.3666
2014-11-18,11.114,11.232,11.078,11.178,198130100,5.337
2014-11-17,10.89,11.13,10.878,11.088,31422500,5.294
