Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,119.40,119.80,118.45,119.80,848100,21.487
2013-12-30,119.40,119.80,118.30,119.05,3564200,21.352
2013-12-27,117.90,119.00,117.00,119.00,3651400,21.343
2013-12-26,117.85,117.85,117.85,117.85,000,21.137
2013-12-25,117.85,117.85,117.85,117.85,000,21.137
2013-12-24,116.90,118.20,116.20,117.85,2387700,21.137
2013-12-23,116.75,116.85,115.70,116.85,3652500,20.958
2013-12-20,115.95,116.70,115.40,116.00,10993400,20.805
2013-12-19,113.65,115.85,113.50,115.85,10856900,20.778
2013-12-18,112.85,113.65,112.05,113.00,6322500,20.267
2013-12-17,112.40,113.20,111.15,112.10,6944900,20.106
2013-12-16,111.00,113.50,110.90,113.25,5990900,20.312
2013-12-13,110.55,112.85,110.50,110.95,5034200,19.899
2013-12-12,112.50,112.90,110.70,110.90,6475500,19.89
2013-12-11,115.75,115.90,112.95,112.95,10064100,20.258
2013-12-10,116.00,116.00,114.05,114.25,5118700,20.491
2013-12-09,113.60,116.50,113.60,115.95,7451900,20.796
2013-12-06,114.25,114.85,111.50,113.65,5160300,20.384
2013-12-05,115.20,115.75,114.15,114.15,4204600,20.473
2013-12-04,115.15,117.40,115.05,115.75,5551500,20.76
2013-12-03,116.35,116.35,115.00,115.10,6292600,20.644
2013-12-02,117.65,117.85,115.75,116.00,13946300,20.805
2013-11-29,117.15,117.90,116.95,117.35,3113600,21.047
2013-11-28,116.70,117.85,116.20,117.00,3103600,20.985
2013-11-27,116.00,116.20,114.80,115.90,3168200,20.787
2013-11-26,115.90,116.15,114.75,115.60,5453400,20.733
2013-11-25,115.95,116.70,115.00,115.50,4822700,20.715
2013-11-22,114.80,116.00,114.50,115.65,7459200,20.742
2013-11-21,114.60,115.90,114.10,115.00,2636700,20.626
2013-11-20,115.00,115.85,113.65,115.40,5109000,20.698
2013-11-19,117.50,117.50,115.55,115.75,3084900,20.76
2013-11-18,117.90,119.25,116.65,118.30,4241300,21.218
2013-11-15,118.45,118.50,117.15,117.80,5028300,21.128
2013-11-14,117.20,118.50,116.30,118.50,17914200,21.254
2013-11-13,115.00,116.50,115.00,115.85,4437800,20.778
2013-11-12,116.05,116.50,115.30,115.55,31368900,20.724
2013-11-11,116.20,116.85,115.10,116.45,28933100,20.886
2013-11-08,116.25,116.85,114.80,116.15,27314700,20.832
2013-11-07,119.60,119.90,116.80,117.00,66117700,20.985
2013-11-06,119.10,120.90,118.90,119.50,5317300,21.433
2013-11-05,119.55,119.75,117.20,118.55,73011500,21.263
2013-11-04,118.80,119.90,118.80,118.90,21590300,21.325
2013-11-01,121.00,121.75,119.40,119.50,4881600,20.715
2013-10-31,119.40,121.25,119.25,121.00,7166000,20.976
2013-10-30,119.65,121.80,119.30,119.50,4291500,20.715
2013-10-29,118.65,119.95,118.50,119.65,75939700,20.741
2013-10-28,118.55,119.50,118.00,119.25,36482100,20.672
2013-10-25,117.65,119.05,117.10,118.35,22705900,20.516
2013-10-24,117.85,118.50,117.00,117.80,82617200,20.421
2013-10-23,117.45,118.35,117.05,117.40,3317300,20.351
2013-10-22,117.60,118.60,116.95,117.75,6046500,20.412
2013-10-21,118.50,118.60,117.10,117.65,6653800,20.395
2013-10-18,116.50,118.70,116.40,118.35,31905800,20.516
2013-10-17,115.05,116.10,114.80,116.00,4133900,20.109
2013-10-16,114.30,115.30,113.65,114.80,4949600,19.901
2013-10-15,114.35,114.90,114.00,114.90,3154300,19.918
2013-10-14,114.05,114.50,113.30,114.00,4473700,19.762
2013-10-11,114.60,114.75,113.60,114.55,2479700,19.857
2013-10-10,113.60,114.10,112.55,114.10,5019000,19.779
2013-10-09,111.75,113.60,111.50,113.00,4348700,19.589
2013-10-08,111.95,112.40,111.35,111.35,3387800,19.303
2013-10-07,112.20,112.75,111.20,111.80,4101200,19.381
2013-10-04,112.90,113.40,112.40,112.85,2867700,19.563
2013-10-03,113.00,113.20,112.15,113.00,7437900,19.589
2013-10-02,114.00,114.00,112.55,113.00,4526600,19.589
2013-10-01,113.80,114.50,112.75,114.35,4349800,19.823
2013-09-30,112.40,114.15,111.80,113.90,4381200,19.745
2013-09-27,114.65,115.00,113.00,113.70,4970200,19.71
2013-09-26,114.55,116.10,113.85,114.20,3725900,19.797
2013-09-25,113.45,114.60,112.75,114.50,5695800,19.849
2013-09-24,113.50,114.20,112.85,113.25,9012500,19.632
2013-09-23,112.40,113.30,112.20,113.05,5671300,19.597
2013-09-20,113.05,113.50,112.00,112.40,7399300,19.485
2013-09-19,112.95,114.30,111.60,113.35,7306000,19.649
2013-09-18,112.00,112.60,109.65,111.10,8541100,19.259
2013-09-17,110.25,111.10,108.85,110.20,9762900,19.103
2013-09-16,111.25,112.15,110.10,110.65,5980900,19.181
2013-09-13,108.20,110.30,107.80,110.00,10305600,19.069
2013-09-12,107.05,107.90,106.15,107.60,3860200,18.653
2013-09-11,107.65,108.05,106.30,107.05,5280400,18.557
2013-09-10,106.20,108.20,105.70,108.10,4754600,18.739
2013-09-09,105.60,106.15,105.15,105.55,2756300,18.297
2013-09-06,103.85,105.55,103.45,105.55,4895200,18.297
2013-09-05,104.15,104.55,103.45,103.80,2855700,17.994
2013-09-04,103.45,105.00,102.40,104.50,3673200,18.115
2013-09-03,102.00,103.70,101.30,102.85,4031200,17.829
2013-09-02,101.05,102.45,101.00,102.00,4937600,17.682
2013-08-30,100.30,101.80,99.64,100.15,4411800,17.361
2013-08-29,100.25,101.70,99.40,100.65,2662500,17.448
2013-08-28,100.20,100.60,98.22,99.78,5562800,17.297
2013-08-27,101.75,103.35,100.40,100.40,7734200,17.404
2013-08-26,101.75,103.00,101.70,103.00,4453500,17.855
2013-08-23,103.35,103.45,101.70,102.35,3453200,17.743
2013-08-22,100.85,104.00,100.40,103.50,4948000,17.942
2013-08-21,101.35,101.80,100.30,100.40,3226100,17.404
2013-08-20,102.50,102.50,100.55,101.10,6755800,17.526
2013-08-19,102.80,103.70,102.05,102.70,3794300,17.803
2013-08-16,104.20,104.20,102.50,102.75,5771300,17.812
2013-08-15,103.50,104.00,102.75,103.90,2623300,18.011
2013-08-14,103.90,104.75,103.50,103.75,2191700,17.985
2013-08-13,104.05,104.70,103.55,103.95,3517800,18.02
2013-08-12,103.25,104.25,103.20,103.45,1727300,17.933
2013-08-09,103.50,103.70,102.35,103.20,3195100,17.89
2013-08-08,104.05,104.30,103.10,103.45,3311100,17.933
2013-08-07,104.00,104.10,102.90,103.75,3934100,17.985
2013-08-06,103.00,104.60,102.65,103.75,4551000,17.985
2013-08-05,103.25,103.50,102.60,102.65,2302500,17.795
2013-08-02,102.30,103.00,102.00,102.90,5255000,17.838
2013-08-01,100.95,102.00,100.55,101.85,3751000,17.656
2013-07-31,102.95,103.85,99.99,100.20,7313700,17.37
2013-07-30,102.00,103.10,101.00,102.95,7534000,17.847
2013-07-29,100.75,101.75,100.50,101.50,4243200,17.595
2013-07-26,99.59,100.55,99.57,99.85,4352000,17.309
2013-07-25,98.45,99.26,98.00,99.20,3692300,17.196
2013-07-24,98.00,99.45,98.00,98.88,3283800,17.141
2013-07-23,97.84,98.93,97.73,97.73,3243800,16.942
2013-07-22,98.40,98.92,97.60,97.84,7987700,16.961
2013-07-19,98.51,98.83,97.55,98.03,5680000,16.994
2013-07-18,97.71,98.99,97.31,98.59,2282700,17.091
2013-07-17,98.14,98.96,96.42,98.02,2130000,16.992
2013-07-16,99.06,99.25,97.04,97.56,5534500,16.912
2013-07-15,98.09,99.48,97.79,99.16,4433800,17.19
2013-07-12,99.97,100.20,96.59,97.50,5080400,16.902
2013-07-11,99.60,99.88,98.91,99.83,5475400,17.306
2013-07-10,97.11,98.96,97.08,98.60,13657800,17.092
2013-07-09,98.85,99.47,96.59,97.40,4811200,16.884
2013-07-08,97.37,99.61,97.26,98.70,4070900,17.11
2013-07-05,98.86,99.70,96.65,96.89,4417200,16.796
2013-07-04,96.76,99.00,96.30,98.80,5050700,17.127
2013-07-03,95.18,96.20,94.70,95.96,4149400,16.635
2013-07-02,97.41,97.41,95.80,96.16,5428400,16.669
2013-07-01,95.72,97.98,95.55,97.59,4046100,16.917
2013-06-28,96.33,97.33,94.34,94.84,7101900,16.441
2013-06-27,96.00,96.91,95.10,96.26,5486100,16.687
2013-06-26,95.35,96.40,94.50,96.00,6412000,16.642
2013-06-25,92.73,94.99,92.11,94.21,7658300,16.331
2013-06-24,92.26,92.75,90.13,91.75,10747500,15.905
2013-06-21,95.64,95.67,92.72,92.72,14366800,16.073
2013-06-20,96.51,97.24,95.01,95.30,10096600,16.52
2013-06-19,98.16,98.84,97.05,97.83,8541200,16.959
2013-06-18,97.67,98.20,97.33,97.72,4822000,16.94
2013-06-17,97.50,98.50,97.15,97.70,5454600,16.936
2013-06-14,98.20,98.96,97.50,97.65,7174700,16.928
2013-06-13,101.20,101.20,98.53,99.49,9687000,17.247
2013-06-12,96.40,102.75,95.90,101.30,12167700,17.56
2013-06-11,99.10,99.30,96.33,97.84,14304900,16.961
2013-06-10,100.40,100.65,99.05,100.00,10464100,17.335
2013-06-07,98.50,100.70,98.31,100.05,10699000,17.344
2013-06-06,99.70,100.60,98.49,98.49,7538400,17.073
2013-06-05,96.92,99.47,96.36,99.11,7976400,17.181
2013-06-04,98.00,99.22,97.76,97.92,5767700,16.975
2013-06-03,95.60,98.10,95.40,97.22,8740400,16.853
2013-05-31,98.14,98.14,95.70,95.82,8398100,16.611
