Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,2.826,2.85,2.813,2.813,2331700,2.67097
2014-12-30,2.854,2.854,2.818,2.832,4385700,2.68901
2014-12-29,2.883,2.887,2.813,2.859,3365400,2.71465
2014-12-26,2.879,2.879,2.879,2.879,000,2.73364
2014-12-25,2.879,2.879,2.879,2.879,000,2.73364
2014-12-24,2.896,2.898,2.871,2.879,828800,2.73364
2014-12-23,2.88,2.893,2.86,2.893,5098300,2.74693
2014-12-22,2.882,2.91,2.856,2.866,5634200,2.7213
2014-12-19,2.871,2.889,2.804,2.87,10862900,2.72509
2014-12-18,2.839,2.858,2.815,2.857,15619600,2.71275
2014-12-17,2.721,2.788,2.71,2.781,23323300,2.64059
2014-12-16,2.717,2.742,2.643,2.742,47335700,2.60356
2014-12-15,2.801,2.819,2.703,2.703,100029900,2.56653
2014-12-12,2.922,2.937,2.839,2.85,5659900,2.64913
2014-12-11,2.93,2.953,2.911,2.943,4016600,2.73558
2014-12-10,2.977,2.986,2.917,2.932,18245100,2.72535
2014-12-09,3.005,3.012,2.948,2.948,41783700,2.74023
2014-12-08,3.034,3.051,3.017,3.037,109742000,2.82295
2014-12-05,3.00,3.039,2.984,3.039,36978400,2.82481
2014-12-04,3.012,3.024,2.944,2.959,6669900,2.75045
2014-12-03,2.98,3.016,2.97,3.012,10812700,2.79972
2014-12-02,2.956,2.976,2.938,2.976,11714900,2.76625
2014-12-01,2.941,2.958,2.913,2.936,8785000,2.72907
2014-11-28,2.942,2.96,2.926,2.951,5026500,2.74301
2014-11-27,2.915,2.949,2.911,2.941,6368000,2.73372
2014-11-26,2.906,2.93,2.904,2.91,16465700,2.7049
2014-11-25,2.901,2.93,2.894,2.908,7851200,2.70304
2014-11-24,2.908,2.949,2.903,2.91,5008300,2.7049
2014-11-21,2.817,2.905,2.811,2.899,8744900,2.69468
2014-11-20,2.85,2.86,2.804,2.817,4630000,2.61846
2014-11-19,2.847,2.868,2.832,2.852,6916900,2.65099
2014-11-18,2.818,2.855,2.81,2.848,37687800,2.64727
2014-11-17,2.754,2.817,2.737,2.81,5005900,2.61195
