Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,14.05,14.14,13.79,14.075,968800,12.966
2011-12-29,13.70,13.985,13.56,13.985,784500,12.883
2011-12-28,14.14,14.22,13.65,13.65,868900,12.575
2011-12-27,14.08,14.265,14.05,14.11,443000,12.998
2011-12-26,13.995,13.995,13.995,13.995,000,12.893
2011-12-23,14.16,14.16,13.92,13.995,491200,12.893
2011-12-22,13.82,14.17,13.82,13.975,814600,12.874
2011-12-21,13.99,14.295,13.605,13.675,1687200,12.598
2011-12-20,13.045,13.80,13.00,13.78,1283700,12.694
2011-12-19,12.955,13.50,12.93,13.04,1404500,12.013
2011-12-16,13.02,13.25,12.90,13.13,1374900,12.096
2011-12-15,12.90,13.24,12.685,12.91,1793200,11.893
2011-12-14,13.255,13.71,12.77,12.80,2282000,11.792
2011-12-13,13.25,13.64,13.05,13.41,1312100,12.354
2011-12-12,13.985,14.00,13.21,13.21,1686200,12.169
2011-12-09,13.37,14.18,13.295,14.14,1439100,13.026
2011-12-08,14.38,14.52,13.495,13.54,1275900,12.473
2011-12-07,14.66,14.84,13.795,14.115,1525000,13.003
2011-12-06,14.51,14.67,14.28,14.28,882400,13.155
2011-12-05,14.49,14.845,14.30,14.705,918900,13.547
2011-12-02,14.34,14.555,14.12,14.22,1215100,13.10
2011-12-01,13.90,14.34,13.595,14.09,1350000,12.98
2011-11-30,12.38,14.075,12.22,13.90,2256300,12.805
2011-11-29,12.59,12.805,12.305,12.58,1646700,11.589
2011-11-28,12.02,12.66,11.92,12.66,1321700,11.663
2011-11-25,11.42,11.785,11.145,11.785,873900,10.857
2011-11-24,11.55,11.78,11.30,11.415,905200,10.516
2011-11-23,11.775,11.92,11.37,11.37,1223500,10.474
2011-11-22,12.385,12.47,11.845,11.845,878400,10.912
2011-11-21,13.02,13.02,12.13,12.13,1325700,11.174
2011-11-18,13.29,13.415,13.05,13.075,1688200,12.045
2011-11-17,13.685,13.80,13.35,13.49,1046200,12.299
2011-11-16,13.435,13.895,13.41,13.78,976600,12.564
2011-11-15,13.77,13.995,13.405,13.585,834300,12.386
2011-11-14,14.39,14.44,13.87,13.93,769600,12.70
2011-11-11,13.765,14.26,13.65,14.25,852300,12.992
2011-11-10,13.63,14.20,13.51,13.74,1485300,12.527
2011-11-09,14.94,14.94,13.83,13.95,2062200,12.719
2011-11-08,14.715,15.12,14.635,14.74,1283200,13.439
2011-11-07,14.55,15.05,14.25,14.65,1116800,13.357
2011-11-04,14.865,15.02,14.36,14.69,1271500,13.393
2011-11-03,13.775,14.845,13.52,14.67,2904300,13.375
2011-11-02,14.46,14.58,13.975,14.41,1616300,13.138
2011-11-01,14.51,14.67,13.925,14.14,2009700,12.892
2011-10-31,15.355,15.885,15.035,15.035,1646800,13.708
2011-10-28,15.57,15.99,15.06,15.695,2429100,14.31
2011-10-27,14.60,15.55,14.385,15.55,2656400,14.177
2011-10-26,14.09,14.28,13.705,13.85,1564900,12.627
2011-10-25,14.335,14.77,13.93,14.10,1725900,12.855
2011-10-24,13.90,14.42,13.715,14.42,1394900,13.147
2011-10-21,13.215,13.65,13.13,13.65,1510500,12.445
2011-10-20,13.25,13.42,13.02,13.025,1272400,11.875
2011-10-19,13.85,13.93,13.385,13.56,1079200,12.363
2011-10-18,13.50,13.665,12.99,13.545,1995000,12.349
2011-10-17,14.60,14.89,13.73,13.795,1447800,12.577
2011-10-14,14.02,14.58,13.80,14.325,1206100,13.06
2011-10-13,14.40,14.71,13.785,13.925,1632800,12.696
