Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,19.28,19.455,19.135,19.38,169500,17.24609
2011-12-29,19.14,19.255,18.93,19.225,146100,17.10816
2011-12-28,19.24,19.595,19.02,19.07,1390000,16.97023
2011-12-27,19.60,19.665,19.16,19.34,236700,17.2105
2011-12-26,19.60,19.60,19.60,19.60,000,17.44187
2011-12-23,19.88,19.88,19.435,19.60,123400,17.44187
2011-12-22,19.355,19.80,19.355,19.60,209500,17.44187
2011-12-21,19.865,19.99,19.29,19.325,342700,17.19715
2011-12-20,18.84,19.83,18.805,19.75,529300,17.57535
2011-12-19,18.39,18.965,18.39,18.955,671600,16.86789
2011-12-16,18.52,18.535,18.265,18.435,1367900,16.40515
2011-12-15,18.345,18.50,18.10,18.38,583600,16.3562
2011-12-14,18.76,18.90,18.12,18.135,638700,16.13818
2011-12-13,19.17,19.30,18.53,18.70,512800,16.64097
2011-12-12,19.925,19.925,18.91,19.00,594900,16.90793
2011-12-09,19.71,20.10,19.62,19.95,541500,17.75333
2011-12-08,19.85,19.935,19.325,19.745,791100,17.5709
2011-12-07,20.115,20.24,19.20,19.74,413200,17.56645
2011-12-06,19.87,20.06,19.66,19.96,382000,17.76223
2011-12-05,19.96,20.08,19.75,19.965,373700,17.76668
2011-12-02,19.57,19.98,19.465,19.63,1005800,17.46856
2011-12-01,19.39,19.59,19.055,19.37,380700,17.23719
2011-11-30,18.56,19.46,18.30,19.31,595900,17.1838
2011-11-29,18.48,18.90,18.23,18.645,338200,16.59202
2011-11-28,17.95,18.70,17.95,18.51,462000,16.47189
2011-11-25,17.525,17.735,17.055,17.625,458300,15.68433
2011-11-24,18.00,18.075,17.40,17.51,477300,15.582
2011-11-23,18.03,18.39,17.64,17.65,672300,15.70658
2011-11-22,18.82,19.045,18.055,18.13,711400,16.13373
2011-11-21,19.87,19.89,18.71,18.75,537500,16.68546
2011-11-18,19.81,19.945,19.51,19.715,645300,17.54421
2011-11-17,20.17,20.32,19.52,19.945,565200,17.74888
2011-11-16,19.555,20.54,19.535,20.03,924400,17.82452
2011-11-15,19.81,19.89,19.21,19.47,828700,17.32618
2011-11-14,20.48,20.60,19.805,19.835,505000,17.65099
2011-11-11,19.47,20.17,19.44,19.98,413900,17.78003
2011-11-10,19.21,20.055,19.04,19.60,379400,17.44187
2011-11-09,20.495,20.50,19.355,19.60,445900,17.44187
2011-11-08,20.405,20.76,20.015,20.04,561300,17.83342
2011-11-07,20.215,20.855,19.85,20.495,508000,18.23832
2011-11-04,20.36,20.615,19.915,20.345,717300,18.10484
2011-11-03,19.385,20.30,19.18,20.16,1437700,17.94021
2011-11-02,19.35,19.86,18.91,19.70,504200,17.53086
2011-11-01,19.95,19.95,19.03,19.13,667400,17.02362
2011-10-31,20.795,21.25,20.23,20.27,595700,18.0381
2011-10-28,21.075,21.375,20.41,20.93,751800,18.62542
2011-10-27,20.72,21.185,20.705,21.00,874200,18.68772
2011-10-26,19.895,20.625,19.67,20.205,927100,17.98025
2011-10-25,20.495,20.685,19.50,19.81,986700,17.62875
2011-10-24,20.50,20.70,20.05,20.51,569100,18.25167
2011-10-21,19.53,20.45,19.50,20.215,483500,17.98915
2011-10-20,19.80,20.13,19.21,19.27,601700,17.14821
2011-10-19,20.48,20.55,20.07,20.25,420500,18.0203
2011-10-18,19.50,20.25,19.35,20.075,706100,17.86457
2011-10-17,20.53,21.00,19.42,19.85,726100,17.66434
2011-10-14,19.95,20.70,19.91,20.28,549800,18.047
2011-10-13,20.02,20.705,19.735,20.01,502300,17.80672
2011-10-12,19.59,20.135,19.275,20.01,473800,17.80672
2011-10-11,19.50,19.89,19.27,19.705,1316200,17.53531
2011-10-10,18.95,19.55,18.81,19.42,767200,17.28169
2011-10-07,18.73,19.02,18.475,18.77,452400,16.70326
2011-10-06,18.08,18.67,18.075,18.60,831300,16.55198
2011-10-05,17.55,18.00,17.395,17.95,940000,15.97355
2011-10-04,17.70,17.70,16.83,17.33,565000,15.42182
2011-10-03,18.00,18.40,17.855,17.875,386900,15.90681
2011-09-30,18.90,18.92,18.24,18.59,538400,16.54308
2011-09-29,18.57,18.92,18.41,18.83,632300,16.75665
2011-09-28,18.015,18.92,17.80,18.66,1006900,16.60537
2011-09-27,17.71,18.345,17.615,18.28,591600,16.26721
2011-09-26,16.70,17.66,16.60,17.30,462100,15.39512
2011-09-23,17.63,17.83,16.51,17.06,736100,15.18154
2011-09-22,17.785,17.94,17.46,17.46,429800,15.5375
2011-09-21,19.14,19.195,18.45,18.475,491800,16.44074
2011-09-20,18.56,19.20,18.56,19.095,617100,16.99247
2011-09-19,18.24,18.88,18.14,18.77,400300,16.70326
2011-09-16,18.95,19.14,18.515,18.85,982100,16.77445
2011-09-15,18.28,18.64,18.145,18.34,522000,16.32061
2011-09-14,17.26,18.235,17.15,18.04,491900,16.05364
2011-09-13,17.56,17.60,16.79,17.395,635400,15.47966
2011-09-12,17.435,17.585,16.66,17.25,821400,15.35062
2011-09-09,18.70,18.80,17.82,17.94,457100,15.96465
2011-09-08,18.21,18.98,18.18,18.765,763500,16.69881
2011-09-07,18.225,18.26,17.795,18.12,1088600,16.12483
2011-09-06,17.97,18.30,17.42,17.685,694200,15.73773
2011-09-05,18.72,18.72,17.68,17.955,646700,15.978
2011-09-02,19.435,19.73,18.87,19.09,772200,16.98802
2011-09-01,19.40,19.73,18.70,19.515,945900,17.36623
2011-08-31,18.40,19.385,18.40,19.385,915100,17.25054
2011-08-30,18.33,18.465,17.96,18.30,994200,16.28501
2011-08-29,17.535,18.145,17.215,18.145,750300,16.14708
2011-08-26,17.30,17.405,16.735,17.215,531200,15.31948
2011-08-25,17.50,17.60,17.02,17.235,1590200,15.33728
2011-08-24,17.265,17.565,17.01,17.32,406100,15.41292
2011-08-23,17.255,17.49,16.80,17.005,887300,15.1326
2011-08-22,16.385,17.145,16.30,16.795,896400,14.94572
2011-08-19,16.715,16.80,15.94,16.415,1276800,14.60757
2011-08-18,17.805,17.925,16.745,16.965,1087100,15.09701
2011-08-17,18.115,18.315,17.80,18.07,574500,16.08033
2011-08-16,18.715,18.715,17.77,18.20,508800,16.19602
2011-08-15,18.75,18.925,18.325,18.72,482800,16.65876
2011-08-12,18.00,18.74,17.22,18.72,1336000,16.65876
2011-08-11,18.02,18.105,17.05,18.00,1753400,16.01804
2011-08-10,18.385,18.495,17.305,17.59,1417600,15.65319
2011-08-09,17.95,18.13,16.86,17.935,2266600,15.9602
2011-08-08,18.865,19.53,17.80,18.005,1385700,16.02249
2011-08-05,18.35,19.39,18.25,18.98,2297300,16.89014
2011-08-04,20.15,20.165,18.635,19.30,1785100,17.1749
2011-08-03,19.64,20.59,19.275,19.715,1795500,17.54421
2011-08-02,20.715,21.02,19.915,20.01,2186200,17.80672
2011-08-01,22.58,22.64,21.115,21.135,1834300,18.80785
2011-07-29,22.10,22.69,21.895,22.20,1427900,19.75559
2011-07-28,24.16,24.31,21.80,22.51,2145400,20.03145
2011-07-27,24.455,24.455,23.85,24.075,241500,21.42413
2011-07-26,24.58,24.625,24.045,24.35,259700,21.66885
2011-07-25,24.68,24.70,24.32,24.525,297500,21.82458
2011-07-22,25.195,25.47,24.60,24.68,1109100,21.96252
2011-07-21,24.80,25.17,24.30,25.00,3066500,22.24728
2011-07-20,24.285,24.85,24.285,24.725,864500,22.00256
2011-07-19,23.95,24.635,23.925,24.295,499000,21.61991
2011-07-18,23.85,24.04,23.52,23.66,505300,21.05483
2011-07-15,24.83,24.83,23.855,23.935,464300,21.29955
2011-07-14,24.90,25.27,24.705,24.775,271500,22.04706
2011-07-13,24.285,25.185,24.285,25.09,400300,22.32737
2011-07-12,24.11,24.98,23.46,24.53,712400,21.82903
2011-07-11,25.15,25.15,24.36,24.625,424600,21.91357
2011-07-08,26.05,26.09,25.255,25.265,627500,22.4831
2011-07-07,25.85,26.265,25.545,25.915,676400,23.06153
2011-07-06,26.00,26.145,25.685,25.825,480700,22.98144
2011-07-05,26.545,26.71,26.06,26.075,483100,23.20392
2011-07-04,26.80,26.95,26.49,26.49,624600,23.57322
2011-07-01,26.20,26.80,26.12,26.64,479300,23.7067
2011-06-30,25.535,26.395,25.40,26.35,478700,23.44864
2011-06-29,24.83,25.635,24.80,25.495,429500,22.68778
2011-06-28,24.10,24.85,23.95,24.825,696000,22.09155
2011-06-27,23.61,24.205,23.42,24.095,566300,21.44193
2011-06-24,24.92,24.99,23.62,23.725,686800,21.11267
2011-06-23,25.51,25.51,24.59,24.645,476200,21.93137
2011-06-22,25.75,25.93,25.48,25.51,301300,22.70113
2011-06-21,25.015,25.68,25.015,25.68,490500,22.85241
2011-06-20,25.125,25.185,24.75,25.10,334700,22.33627
2011-06-17,24.80,25.28,24.50,25.16,501300,22.38966
2011-06-16,24.265,25.08,24.265,24.93,618300,22.18499
2011-06-15,24.90,25.03,24.255,24.575,1079900,21.86908
2011-06-14,24.51,25.325,24.51,25.01,336600,22.25618
2011-06-13,24.185,24.59,24.075,24.50,185400,21.80234
2011-06-10,24.82,24.98,24.07,24.26,284400,21.58876
