Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,4.17,4.235,4.132,4.16,6408900,4.04914
2014-12-30,4.236,4.251,4.161,4.20,8538900,4.08808
2014-12-29,4.365,4.375,4.17,4.272,20704500,4.15816
2014-12-26,4.387,4.387,4.387,4.387,000,4.27009
2014-12-25,4.387,4.387,4.387,4.387,000,4.27009
2014-12-24,4.354,4.424,4.34,4.387,2447700,4.27009
2014-12-23,4.357,4.399,4.306,4.397,10618400,4.27983
2014-12-22,4.34,4.41,4.318,4.364,9535000,4.24771
2014-12-19,4.40,4.427,4.24,4.335,17319100,4.21948
2014-12-18,4.27,4.40,4.239,4.347,24361500,4.23116
2014-12-17,4.209,4.254,4.115,4.223,17730900,4.11047
2014-12-16,4.096,4.26,3.94,4.256,47031900,4.14259
2014-12-15,4.185,4.274,4.077,4.082,13595800,3.97322
2014-12-12,4.223,4.27,4.159,4.166,10049000,4.05498
2014-12-11,4.26,4.322,4.20,4.273,8803400,4.15913
2014-12-10,4.353,4.40,4.23,4.272,10437000,4.15816
2014-12-09,4.45,4.474,4.297,4.328,16166900,4.21267
2014-12-08,4.459,4.557,4.457,4.504,8423700,4.38398
2014-12-05,4.325,4.487,4.312,4.487,12221200,4.36743
2014-12-04,4.51,4.536,4.264,4.287,17355400,4.17276
2014-12-03,4.448,4.53,4.417,4.497,14839300,4.37716
2014-12-02,4.329,4.455,4.316,4.44,13222500,4.32168
2014-12-01,4.38,4.409,4.271,4.311,9958200,4.19612
2014-11-28,4.452,4.479,4.362,4.42,14717600,4.30222
2014-11-27,4.43,4.508,4.417,4.491,5834600,4.37132
2014-11-26,4.504,4.529,4.401,4.434,8817400,4.31584
2014-11-25,4.435,4.571,4.422,4.495,26821900,4.37522
2014-11-24,4.378,4.517,4.375,4.465,13547900,4.34602
2014-11-21,4.221,4.395,4.201,4.371,15741100,4.25452
2014-11-20,4.318,4.329,4.131,4.215,19719400,4.10268
2014-11-19,4.391,4.45,4.305,4.327,11478100,4.21169
2014-11-18,4.30,4.428,4.271,4.39,36477700,4.27301
2014-11-17,4.105,4.303,4.088,4.286,20637500,4.17179
2014-11-14,4.15,4.183,4.09,4.175,12229100,4.06374
2014-11-13,4.186,4.217,4.08,4.143,15183600,4.0326
2014-11-12,4.253,4.28,4.145,4.167,20492600,4.05596
2014-11-11,4.316,4.377,4.251,4.275,17714900,4.16108
2014-11-10,4.26,4.31,4.21,4.286,12707400,4.17179
2014-11-07,4.325,4.332,4.18,4.274,23384900,4.16011
2014-11-06,4.307,4.447,4.233,4.307,24881300,4.19223
2014-11-05,4.35,4.35,4.227,4.326,17011800,4.21072
2014-11-04,4.425,4.499,4.258,4.28,34579800,4.16595
2014-11-03,4.58,4.60,4.383,4.419,26567100,4.30124
2014-10-31,4.93,4.935,4.551,4.566,53457000,4.44432
2014-10-30,4.91,4.916,4.661,4.841,29042100,4.712
2014-10-29,5.108,5.111,4.764,4.80,24581000,4.67209
2014-10-28,5.023,5.116,4.996,5.087,17878400,4.95144
2014-10-27,5.15,5.20,4.887,5.008,26691200,4.87455
2014-10-24,4.903,5.019,4.896,5.001,16980600,4.86773
2014-10-23,4.834,4.97,4.792,4.924,18014400,4.79278
2014-10-22,4.889,4.908,4.79,4.902,17404100,4.77137
2014-10-21,4.703,4.899,4.668,4.85,18822500,4.72076
2014-10-20,4.615,4.719,4.55,4.712,13073100,4.58643
2014-10-17,4.457,4.64,4.403,4.615,23039400,4.49202
2014-10-16,4.618,4.656,4.275,4.403,30627100,4.28567
2014-10-15,4.818,4.855,4.50,4.563,24888500,4.4414
2014-10-14,4.698,4.85,4.661,4.827,15108200,4.69837
2014-10-13,4.578,4.785,4.56,4.718,12570400,4.59227
2014-10-10,4.65,4.70,4.573,4.618,20135400,4.49494
2014-10-09,4.77,4.806,4.653,4.711,15958000,4.58546
2014-10-08,4.717,4.808,4.65,4.676,15603300,4.55139
2014-10-07,4.82,4.833,4.75,4.77,12467700,4.64289
2014-10-06,4.769,4.88,4.752,4.849,23437100,4.71978
2014-10-03,4.71,4.747,4.641,4.696,13933400,4.57086
2014-10-02,4.87,4.885,4.60,4.60,21718600,4.47742
2014-10-01,4.81,4.962,4.801,4.888,20944800,4.75774
2014-09-30,4.68,4.877,4.665,4.847,20793500,4.71784
2014-09-29,4.723,4.75,4.61,4.629,9515300,4.50565
2014-09-26,4.661,4.746,4.621,4.726,13027400,4.60006
2014-09-25,4.716,4.82,4.652,4.677,26763200,4.54314
2014-09-24,4.743,4.773,4.642,4.705,27225800,4.57034
2014-09-23,4.85,4.87,4.736,4.75,20118800,4.61405
2014-09-22,4.986,5.035,4.875,4.889,16453500,4.74907
2014-09-19,5.15,5.214,5.012,5.02,20202100,4.87632
2014-09-18,4.987,5.12,4.966,5.104,18326700,4.95792
2014-09-17,4.83,4.983,4.80,4.956,14268700,4.81415
2014-09-16,4.823,4.831,4.706,4.797,18854400,4.6597
2014-09-15,4.931,4.958,4.838,4.845,10435300,4.70633
