Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,38.00,38.245,36.62,37.30,1567200,30.957
2012-12-28,38.00,38.345,37.50,37.725,606700,31.31
2012-12-27,37.80,38.20,37.80,38.035,436200,31.567
2012-12-26,37.675,37.675,37.675,37.675,000,31.268
2012-12-25,37.675,37.675,37.675,37.675,000,31.268
2012-12-24,37.80,38.00,37.655,37.675,173100,31.268
2012-12-21,37.81,38.035,37.50,37.82,23668300,31.388
2012-12-20,37.59,37.945,37.505,37.86,4362700,31.422
2012-12-19,37.13,37.99,37.13,37.52,563600,31.139
2012-12-18,37.05,37.17,36.95,37.005,2600000,30.712
2012-12-17,37.345,37.38,36.975,37.01,564300,30.716
2012-12-14,37.23,37.97,37.16,37.165,1608800,30.845
2012-12-13,36.835,37.265,36.77,36.815,1155600,30.554
2012-12-12,36.965,37.23,36.65,36.79,515200,30.534
2012-12-11,36.00,36.85,35.905,36.85,562700,30.583
2012-12-10,35.78,35.915,35.23,35.86,266200,29.762
2012-12-07,35.63,35.74,35.20,35.685,410400,29.616
2012-12-06,35.70,35.995,35.63,35.65,819700,29.587
2012-12-05,35.80,35.86,35.515,35.655,803800,29.592
2012-12-04,35.75,35.86,35.575,35.75,963600,29.67
2012-12-03,35.695,36.25,35.52,35.73,538600,29.654
2012-11-30,35.90,35.975,35.455,35.63,763000,29.571
2012-11-29,36.05,36.155,35.83,35.90,445400,29.795
2012-11-28,36.24,36.39,35.595,35.685,704300,29.616
2012-11-27,36.45,36.72,36.16,36.18,422900,30.027
2012-11-26,36.08,36.34,36.02,36.34,246000,30.16
2012-11-23,36.345,36.345,36.04,36.25,214200,30.085
2012-11-22,36.05,36.25,36.05,36.11,253300,29.969
2012-11-21,36.34,36.375,35.90,36.05,291300,29.919
2012-11-20,35.84,36.33,35.57,36.265,361400,30.098
2012-11-19,35.53,35.975,35.24,35.84,541800,29.745
2012-11-16,35.595,35.595,35.00,35.25,360200,29.255
2012-11-15,34.98,35.18,34.605,35.00,1062300,29.048
2012-11-14,35.695,35.695,34.83,35.14,404200,29.164
2012-11-13,35.195,35.75,34.965,35.345,675500,29.334
2012-11-12,35.25,35.56,35.065,35.285,191400,29.285
2012-11-09,35.565,35.90,35.24,35.24,321600,29.247
2012-11-08,36.185,36.185,35.545,35.56,366800,29.513
2012-11-07,36.00,36.195,35.79,36.155,389500,30.007
2012-11-06,35.80,36.105,35.64,35.945,223200,29.832
2012-11-05,36.28,36.28,35.46,35.785,1162800,29.699
2012-11-02,36.39,36.50,36.10,36.38,1100000,30.193
2012-11-01,36.09,36.49,35.90,36.39,285800,30.202
2012-10-31,36.38,36.69,36.15,36.175,441800,30.023
2012-10-30,36.655,36.81,36.255,36.30,142100,30.127
2012-10-29,36.66,36.90,36.295,36.575,217500,30.355
2012-10-26,36.95,37.10,36.01,36.615,261900,30.388
2012-10-25,37.195,37.50,37.015,37.10,217000,30.791
2012-10-24,37.155,37.30,36.985,37.165,379800,30.845
2012-10-23,37.315,37.315,36.87,37.00,398900,30.708
2012-10-22,37.33,37.585,37.06,37.175,476100,30.853
2012-10-19,37.57,37.57,36.95,37.13,423000,30.816
2012-10-18,37.87,37.905,37.295,37.50,325400,31.123
2012-10-17,37.83,38.10,37.735,37.78,905000,31.355
2012-10-16,37.80,38.00,37.465,37.925,366900,31.476
2012-10-15,37.88,38.00,37.37,38.00,883200,31.538
2012-10-12,37.56,37.80,37.28,37.53,1666200,31.148
2012-10-11,36.945,38.075,36.775,37.705,3077000,31.293
2012-10-10,36.535,37.17,36.31,36.90,765400,30.625
2012-10-09,37.64,37.65,36.78,36.79,2649600,30.534
2012-10-08,37.775,37.90,37.50,37.50,725100,31.123
2012-10-05,38.20,38.37,37.855,38.00,491400,31.538
2012-10-04,38.10,38.335,37.91,38.06,298700,31.588
2012-10-03,39.575,39.575,38.135,38.175,558400,31.683
2012-10-02,36.835,38.175,36.835,38.015,350900,31.55
2012-10-01,37.06,37.375,36.87,37.05,258000,30.749
2012-09-28,36.875,37.145,36.605,36.895,593600,30.621
2012-09-27,37.61,37.61,36.50,36.665,1024300,30.43
2012-09-26,39.35,39.35,37.45,37.455,542400,31.085
2012-09-25,38.825,39.405,38.745,39.405,528700,32.704
2012-09-24,38.49,38.65,38.25,38.65,310800,32.077
2012-09-21,37.355,38.62,37.33,38.62,656600,32.052
2012-09-20,36.575,37.35,36.50,37.26,425700,30.924
2012-09-19,37.065,37.22,36.60,36.695,555700,30.455
2012-09-18,37.22,37.30,36.51,37.105,308900,30.795
2012-09-17,36.065,37.47,36.065,37.22,463500,30.89
2012-09-14,36.25,36.60,35.965,36.15,397000,30.002
2012-09-13,36.07,36.21,35.80,35.895,1489300,29.791
2012-09-12,36.285,36.445,35.935,36.12,281000,29.978
2012-09-11,36.50,36.50,35.66,36.11,331900,29.969
2012-09-10,35.335,36.25,35.305,36.05,487100,29.919
2012-09-07,35.375,35.90,34.96,35.25,1101600,29.255
2012-09-06,34.60,35.35,34.40,35.35,514700,29.338
2012-09-05,34.955,35.19,34.58,34.61,249700,28.724
2012-09-04,34.295,34.95,34.115,34.865,242200,28.936
2012-09-03,34.35,34.53,33.97,34.095,856800,28.297
2012-08-31,34.30,34.835,34.30,34.42,233100,28.567
2012-08-30,34.57,35.085,34.305,34.305,397100,28.471
2012-08-29,34.505,35.19,34.505,35.005,642700,29.052
2012-08-28,34.99,34.99,34.425,34.62,832300,28.733
2012-08-27,35.00,35.00,34.71,34.88,81900,28.948
2012-08-24,34.225,34.885,34.225,34.885,172300,28.953
2012-08-23,35.00,35.045,33.81,34.10,390400,28.301
2012-08-22,34.155,34.80,33.765,34.70,338400,28.799
2012-08-21,34.30,34.805,33.87,34.25,357300,28.426
2012-08-20,34.50,35.06,33.815,34.30,315300,28.467
2012-08-17,33.795,34.725,33.565,34.02,569900,28.235
2012-08-16,31.61,33.90,31.41,33.535,3486500,27.832
2012-08-15,31.055,31.65,31.055,31.50,341800,26.143
2012-08-14,31.17,31.445,30.905,31.10,394300,25.811
2012-08-13,31.30,31.535,31.02,31.12,620400,25.828
2012-08-10,31.92,31.92,31.19,31.28,238700,25.961
2012-08-09,32.80,32.80,31.665,31.875,417400,26.454
2012-08-08,32.895,33.24,32.385,32.575,1392900,27.035
2012-08-07,32.47,33.46,32.175,33.015,731400,27.401
2012-08-06,31.70,32.82,31.295,32.435,558800,26.919
2012-08-03,30.72,31.63,30.445,31.56,766700,26.193
2012-08-02,31.845,32.00,30.35,30.725,822800,25.50
2012-08-01,32.065,32.365,31.425,31.815,1659400,26.405
2012-07-31,32.11,32.365,31.86,32.225,716300,26.745
2012-07-30,31.105,32.28,30.705,31.895,611400,26.471
2012-07-27,30.49,32.35,30.40,31.575,1914500,26.205
2012-07-26,30.30,31.25,30.06,30.545,1638800,25.351
2012-07-25,30.51,31.105,30.20,30.285,1845600,25.135
2012-07-24,31.95,32.05,30.69,30.69,790900,25.471
2012-07-23,32.88,32.93,31.15,31.95,1117800,26.517
2012-07-20,33.60,33.80,32.865,33.06,2446500,27.438
2012-07-19,34.155,34.575,33.61,33.765,974000,28.023
2012-07-18,35.46,35.565,34.37,34.425,2265900,28.571
2012-07-17,35.195,36.05,35.135,35.43,1442400,29.405
2012-07-16,35.00,35.615,34.39,35.045,1672300,29.085
2012-07-13,34.18,34.50,33.40,34.405,535700,28.554
2012-07-12,34.05,34.145,33.385,33.955,3203200,28.181
2012-07-11,33.645,34.09,33.52,33.645,3229200,27.923
2012-07-10,33.115,34.015,32.85,33.665,842500,27.94
2012-07-09,33.38,33.755,32.745,32.745,8176800,27.176
2012-07-06,33.575,34.12,33.445,33.445,1982700,27.757
2012-07-05,34.225,34.615,33.455,33.685,4332600,27.957
2012-07-04,34.82,35.11,34.45,34.51,3599600,28.641
2012-07-03,34.645,35.17,34.42,35.03,6595300,29.073
2012-07-02,33.80,34.625,33.325,34.625,7848500,28.737
2012-06-29,33.95,34.49,33.60,34.41,6797600,27.284
2012-06-28,33.25,33.45,32.89,33.42,2527300,26.499
2012-06-27,32.505,33.33,32.18,33.20,2163800,26.324
2012-06-26,32.10,32.885,32.035,32.165,6022500,25.503
2012-06-25,33.33,33.40,32.15,32.24,2737000,25.563
2012-06-22,33.12,34.085,32.95,33.495,822900,26.558
2012-06-21,33.58,33.915,33.235,33.235,1378600,26.352
2012-06-20,33.345,33.74,33.31,33.44,1133800,26.514
2012-06-19,33.235,33.795,32.90,33.21,2640200,26.332
2012-06-18,34.50,34.50,33.00,33.35,1519200,26.443
2012-06-15,33.69,34.13,33.57,34.06,1870500,27.006
2012-06-14,32.645,33.40,32.50,33.40,958700,26.483
2012-06-13,32.995,32.995,32.30,32.705,857900,25.932
2012-06-12,32.775,32.90,32.055,32.60,1246000,25.848
2012-06-11,32.78,33.785,32.36,32.43,1002000,25.714
2012-06-08,32.13,32.645,31.855,32.455,634500,25.733
2012-06-07,31.23,32.28,31.23,32.20,1283800,25.531
2012-06-06,31.00,32.25,30.82,32.055,1802200,25.416
2012-06-05,30.70,30.80,30.38,30.71,737900,24.35
2012-06-04,29.00,30.635,29.00,30.375,778900,24.084
2012-06-01,29.98,30.295,29.75,29.915,904100,23.719
2012-05-31,29.80,30.155,29.55,29.925,1585200,23.727
2012-05-30,29.405,29.895,29.01,29.635,1034600,23.497
2012-05-29,29.53,29.565,29.15,29.40,1381900,23.311
2012-05-28,30.055,30.145,29.30,29.305,373000,23.236
2012-05-25,29.755,29.97,29.51,29.86,428800,23.676
2012-05-24,29.475,29.90,29.185,29.695,566600,23.545
2012-05-23,29.80,29.995,29.25,29.42,751700,23.327
2012-05-22,29.385,30.20,29.29,30.065,766400,23.838
2012-05-21,29.485,29.70,29.085,29.20,643000,23.153
2012-05-18,29.34,29.91,29.205,29.46,713000,23.359
2012-05-17,29.605,29.605,29.075,29.40,944300,23.311
2012-05-16,29.79,30.12,29.135,29.14,1390200,23.105
2012-05-15,30.885,31.10,30.01,30.14,903700,23.898
2012-05-14,31.70,31.785,30.715,30.785,1161800,24.409
2012-05-11,31.53,31.99,31.425,31.80,641500,25.214
2012-05-10,31.73,32.135,31.535,31.765,783400,25.186
2012-05-09,32.415,32.59,31.385,31.59,551900,25.048
2012-05-08,32.50,33.11,32.215,32.49,475100,25.761
2012-05-07,31.895,32.78,31.60,32.595,815200,25.844
2012-05-04,32.50,32.50,31.80,31.875,1035500,25.274
2012-05-03,32.33,32.50,31.80,31.99,1056600,25.365
2012-05-02,32.20,32.50,31.38,32.155,1803900,25.496
2012-05-01,32.89,32.89,32.89,32.89,000,26.078
2012-04-30,32.845,33.03,32.345,32.89,654600,26.078
2012-04-27,32.00,32.76,31.63,32.54,1193700,25.801
2012-04-26,32.35,32.44,31.80,32.14,1245700,25.484
2012-04-25,32.41,32.78,32.20,32.305,568000,25.614
2012-04-24,31.505,32.20,31.21,32.195,655000,25.527
2012-04-23,31.975,32.035,31.10,31.21,792800,24.746
2012-04-20,31.71,32.155,31.45,32.085,1166800,25.44
2012-04-19,31.27,31.84,31.115,31.72,1736100,25.151
2012-04-18,32.125,32.155,31.07,31.115,1314700,24.671
2012-04-17,31.50,32.22,31.495,32.03,976900,25.396
2012-04-16,31.14,31.985,31.06,31.50,713700,24.976
2012-04-13,32.755,32.755,31.505,31.51,821800,24.984
2012-04-12,32.88,32.95,32.21,32.705,1578600,25.932
2012-04-11,32.60,33.08,31.96,32.875,1825900,26.066
2012-04-10,32.505,32.91,32.26,32.56,892500,25.817
2012-04-09,32.795,32.795,32.795,32.795,000,26.003
2012-04-06,32.795,32.795,32.795,32.795,000,26.003
2012-04-05,33.34,33.34,32.51,32.795,1016700,26.003
2012-04-04,34.48,34.535,33.285,33.285,1468400,26.392
2012-04-03,36.065,36.10,34.495,34.53,1428000,27.379
2012-04-02,36.57,36.655,35.43,36.24,1415600,28.735
2012-03-30,35.20,36.775,34.97,36.69,1429600,29.091
2012-03-29,35.20,35.33,34.81,35.215,1146600,27.922
2012-03-28,35.97,36.215,35.255,35.30,818700,27.989
2012-03-27,36.195,36.305,35.765,35.90,787200,28.465
2012-03-26,36.09,36.095,35.40,36.06,783700,28.592
2012-03-23,36.615,36.66,35.755,35.825,849000,28.405
2012-03-22,36.015,36.55,35.805,36.54,667700,28.972
2012-03-21,36.58,36.685,36.17,36.205,907000,28.707
2012-03-20,36.425,36.425,36.00,36.365,689400,28.834
2012-03-19,35.88,36.43,35.78,36.395,592800,28.857
2012-03-16,36.85,36.85,35.91,36.025,1644400,28.564
2012-03-15,36.65,36.775,36.31,36.775,972700,29.159
2012-03-14,36.61,36.795,36.275,36.52,1567500,28.957
2012-03-13,35.92,36.725,35.755,36.46,1643300,28.909
2012-03-12,36.80,36.85,35.20,35.50,2347800,28.148
2012-03-09,38.035,38.395,34.00,36.03,5707300,28.568
2012-03-08,37.85,37.925,37.315,37.90,916000,30.051
2012-03-07,38.50,38.50,37.725,37.79,1448100,29.964
2012-03-06,38.71,38.94,38.035,38.51,1377500,30.534
2012-03-05,39.24,39.24,38.245,39.035,796700,30.951
2012-03-02,39.08,39.75,39.005,39.405,1100600,31.244
2012-03-01,37.73,39.12,37.505,39.035,1237200,30.951
2012-02-29,37.32,38.285,37.32,37.895,1044400,30.047
2012-02-28,37.00,37.80,36.955,37.43,732200,29.678
2012-02-27,35.965,37.01,35.85,36.90,752400,29.258
2012-02-24,36.155,36.20,35.865,36.10,401100,28.624
2012-02-23,36.07,36.33,35.625,35.995,471100,28.54
2012-02-22,36.105,36.19,35.775,36.08,634400,28.608
2012-02-21,36.20,36.47,35.965,36.035,331500,28.572
2012-02-20,35.95,36.375,35.855,36.145,622500,28.659
2012-02-17,36.35,36.385,35.65,35.675,886700,28.287
2012-02-16,36.445,36.575,35.815,36.305,560100,28.786
2012-02-15,36.91,37.195,36.375,36.60,701200,29.02
2012-02-14,35.67,36.955,35.56,36.89,892700,29.25
2012-02-13,35.635,35.895,35.46,35.55,856100,28.187
2012-02-10,35.11,35.935,35.00,35.35,1298600,28.029
2012-02-09,35.725,35.90,35.16,35.255,887700,27.954
2012-02-08,35.90,36.14,35.68,35.69,654300,28.298
2012-02-07,35.575,35.84,35.23,35.75,766700,28.346
2012-02-06,35.34,35.59,35.12,35.43,694300,28.092
2012-02-03,35.20,35.485,35.11,35.365,968800,28.041
2012-02-02,35.79,35.97,35.10,35.15,924600,27.87
2012-02-01,35.17,35.84,35.17,35.76,884300,28.354
2012-01-31,34.975,35.53,34.715,35.165,831900,27.882
2012-01-30,35.355,35.54,34.73,34.755,751600,27.557
2012-01-27,35.255,35.99,35.19,35.525,1156700,28.168
2012-01-26,34.855,35.30,34.595,35.30,716700,27.989
2012-01-25,34.615,34.84,34.12,34.70,1315600,27.513
2012-01-24,34.21,34.585,34.02,34.515,1175500,27.367
2012-01-23,34.355,34.50,34.00,34.24,956200,27.149
2012-01-20,34.33,34.40,34.00,34.28,706300,27.18
2012-01-19,34.49,34.49,33.975,34.255,558800,27.161
2012-01-18,34.715,34.78,34.155,34.365,958900,27.248
2012-01-17,34.665,34.67,34.345,34.67,705500,27.49
2012-01-16,34.34,34.68,34.145,34.29,735300,27.188
2012-01-13,34.82,34.83,34.425,34.50,1451700,27.355
2012-01-12,33.59,34.75,33.45,34.65,1557900,27.474
2012-01-11,33.35,33.60,33.17,33.465,3500500,26.534
2012-01-10,33.025,33.53,32.91,33.525,506700,26.582
2012-01-09,32.735,33.08,32.51,32.785,515300,25.995
2012-01-06,32.625,33.025,32.30,32.595,332300,25.844
2012-01-05,33.285,33.395,32.35,32.535,2302200,25.797
2012-01-04,33.565,33.58,33.15,33.165,631700,26.296
2012-01-03,33.645,33.66,33.05,33.395,10510300,26.479
2012-01-02,32.77,33.495,32.60,33.495,389200,26.558
