Date,Open,High,Low,Close,Volume,Adj Close
2010-12-30,21.625,21.696,21.399,21.399,6508800,15.508
2010-12-29,21.553,21.635,21.45,21.625,7196900,15.672
2010-12-28,21.44,21.542,21.265,21.337,32436900,15.464
2010-12-27,21.635,21.727,21.158,21.286,6414200,15.426
2010-12-24,21.732,21.732,21.732,21.732,000,15.75
2010-12-23,22.23,22.271,21.702,21.732,6684200,15.75
2010-12-22,22.302,22.374,22.117,22.117,7289900,16.029
2010-12-21,22.004,22.215,21.65,22.143,6052500,16.047
2010-12-20,21.548,21.994,21.378,21.696,28527200,15.724
2010-12-17,21.584,21.614,21.322,21.347,14319400,15.471
2010-12-16,21.584,21.584,21.173,21.378,14135600,15.493
2010-12-15,21.763,21.768,21.296,21.553,42596300,15.62
2010-12-14,21.784,21.922,21.573,21.763,5694500,15.772
2010-12-13,21.655,21.907,21.573,21.779,26148500,15.783
2010-12-10,21.553,21.676,21.476,21.584,5718100,15.642
2010-12-09,21.409,21.707,21.337,21.573,8028200,15.635
2010-12-08,20.865,21.399,20.675,21.378,9961200,15.493
2010-12-07,20.526,21.065,20.347,20.891,12110700,15.14
2010-12-06,20.352,20.465,20.229,20.229,5818000,14.66
2010-12-03,20.013,20.455,20.013,20.342,9355400,14.742
2010-12-02,20.013,20.362,19.577,20.188,13200100,14.631
2010-12-01,19.279,19.829,19.151,19.767,12023400,14.326
2010-11-30,18.771,19.264,18.756,19.069,12547400,13.82
2010-11-29,19.326,19.51,18.771,18.771,12071500,13.604
2010-11-26,19.367,19.50,19.084,19.326,7829200,14.006
2010-11-25,19.233,19.551,19.125,19.423,6642900,14.076
2010-11-24,19.115,19.315,18.90,19.233,8427100,13.939
2010-11-23,19.757,19.798,19.115,19.115,12275500,13.853
2010-11-22,20.352,20.547,19.829,19.88,7278100,14.407
2010-11-19,20.352,20.414,20.131,20.352,8862900,14.75
2010-11-18,20.136,20.408,20.095,20.352,6853300,14.75
2010-11-17,19.885,20.07,19.746,20.008,7413700,14.50
2010-11-16,20.449,20.449,19.885,19.885,6509500,14.411
2010-11-15,20.167,20.506,20.024,20.475,6105700,14.839
2010-11-12,20.321,20.337,19.777,20.116,9694000,14.578
2010-11-11,20.321,20.414,19.993,20.321,7417100,14.727
2010-11-10,20.639,20.665,20.177,20.27,5909400,14.69
2010-11-09,20.372,20.727,20.316,20.639,5783200,14.958
2010-11-08,20.485,20.49,20.239,20.372,5776000,14.764
2010-11-05,20.629,20.706,20.219,20.485,7764500,14.846
2010-11-04,20.619,20.804,20.542,20.629,5956500,14.95
2010-11-03,20.716,20.829,20.321,20.388,16124400,14.776
2010-11-02,20.26,20.721,20.116,20.716,8243900,15.014
2010-11-01,20.629,20.68,20.152,20.26,4984600,14.683
2010-10-29,20.275,20.588,20.126,20.449,6433100,14.82
2010-10-28,20.09,20.424,20.034,20.301,7740900,14.712
2010-10-27,19.941,20.213,19.829,19.947,7028200,14.456
2010-10-26,20.126,20.188,19.911,20.003,8150300,14.497
2010-10-25,20.311,20.311,20.054,20.126,3285100,14.586
2010-10-22,20.111,20.321,19.972,20.131,3941800,14.59
2010-10-21,20.095,20.27,19.947,20.157,7264400,14.608
2010-10-20,19.911,20.136,19.864,20.126,5813000,14.586
2010-10-19,20.321,20.408,19.931,20.044,9297100,14.526
2010-10-18,20.295,20.465,20.08,20.388,4082000,14.776
2010-10-15,20.424,20.532,20.075,20.295,10713600,14.709
2010-10-14,20.511,20.768,20.306,20.372,6472400,14.764
2010-10-13,20.388,20.783,20.172,20.511,14180700,14.865
2010-10-12,20.485,20.49,20.208,20.388,5201400,14.776
2010-10-11,20.793,20.804,20.532,20.619,5295900,14.943
2010-10-08,20.752,20.834,20.542,20.691,6986300,14.995
2010-10-07,20.762,21.07,20.588,20.752,10056100,15.04
2010-10-06,20.521,20.886,20.506,20.762,9284700,15.047
2010-10-05,20.352,20.552,20.116,20.434,11288400,14.809
2010-10-04,20.352,20.567,20.157,20.157,10494200,14.608
2010-10-01,20.629,21.04,20.239,20.352,26369200,14.75
2010-09-30,19.243,19.808,19.218,19.392,12783800,14.054
2010-09-29,19.705,19.808,19.279,19.418,10935800,14.073
2010-09-28,19.695,19.721,19.315,19.639,5382400,14.233
2010-09-27,19.767,19.87,19.567,19.746,8132300,14.311
2010-09-24,19.254,19.859,19.223,19.767,10574100,14.326
2010-09-23,19.459,19.685,19.10,19.351,8269300,14.024
2010-09-22,19.803,19.839,19.397,19.459,7607200,14.102
2010-09-21,19.536,20.075,19.51,19.803,12286500,14.352
2010-09-20,19.074,19.562,19.074,19.50,16637200,14.132
2010-09-17,19.356,19.577,19.023,19.074,18035300,13.824
2010-09-16,19.413,19.515,19.295,19.356,4851600,14.028
2010-09-15,19.654,19.654,19.346,19.413,6627500,14.069
2010-09-14,19.526,19.623,19.295,19.531,5548400,14.155
2010-09-13,19.49,19.68,19.423,19.485,5913200,14.121
2010-09-10,19.326,19.397,19.172,19.392,4457500,14.054
2010-09-09,19.182,19.392,19.023,19.356,9251300,14.028
2010-09-08,19.038,19.259,18.884,19.182,8953200,13.902
2010-09-07,19.346,19.346,18.936,19.038,5941700,13.797
2010-09-06,19.464,19.464,19.233,19.346,4684500,14.021
2010-09-03,19.392,19.582,19.223,19.305,7827300,13.991
2010-09-02,19.474,19.705,19.32,19.392,20285000,14.054
2010-09-01,18.489,19.346,18.474,19.346,9477400,14.021
2010-08-31,18.212,18.576,18.145,18.489,6404500,13.40
2010-08-30,18.648,18.689,18.438,18.479,2407400,13.392
2010-08-27,18.238,18.612,18.104,18.566,5531500,13.455
2010-08-26,18.084,18.433,18.084,18.238,6634600,13.217
2010-08-25,18.284,18.376,17.766,18.012,7599200,13.054
