Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,1.7982,1.80887,1.78836,1.80887,6831500,1.77076
2014-12-30,1.80149,1.80887,1.78262,1.7982,23300500,1.76032
2014-12-29,1.84579,1.85317,1.78016,1.81953,18583200,1.7812
2014-12-26,1.84743,1.84743,1.84743,1.84743,000,1.80851
2014-12-25,1.84743,1.84743,1.84743,1.84743,000,1.80851
2014-12-24,1.83102,1.8622,1.83102,1.84743,3787200,1.80851
2014-12-23,1.83431,1.85645,1.8179,1.85645,17617000,1.81734
2014-12-22,1.83348,1.86055,1.81461,1.83594,15603800,1.79726
2014-12-19,1.88434,1.88434,1.79411,1.82528,46150400,1.78682
2014-12-18,1.8261,1.85563,1.81872,1.84661,37565500,1.80771
2014-12-17,1.76868,1.81133,1.74571,1.79001,32955100,1.7523
2014-12-16,1.73668,1.80231,1.68664,1.79985,52166600,1.76193
2014-12-15,1.75719,1.78262,1.72109,1.72684,36916000,1.69046
2014-12-12,1.78836,1.80312,1.75309,1.75309,21682100,1.71616
2014-12-11,1.79493,1.84004,1.7859,1.80641,22281200,1.76835
2014-12-10,1.84496,1.85071,1.78098,1.80149,49358400,1.76353
2014-12-09,1.8868,1.89911,1.82692,1.83266,52367900,1.79405
2014-12-08,1.91388,1.93684,1.90813,1.91716,22873400,1.87677
2014-12-05,1.89583,1.93767,1.8868,1.92946,29844500,1.88881
2014-12-04,1.9393,1.94997,1.83266,1.8704,43437700,1.831
2014-12-03,1.89501,1.94833,1.88516,1.94177,35007600,1.90086
2014-12-02,1.84333,1.90157,1.83594,1.89173,32057100,1.85188
2014-12-01,1.84579,1.86712,1.8179,1.83431,23273500,1.79566
2014-11-28,1.86383,1.87861,1.8425,1.87121,31280300,1.83179
2014-11-27,1.84743,1.88024,1.84743,1.87286,21358600,1.8334
2014-11-26,1.87861,1.88516,1.83266,1.84661,23743300,1.80771
2014-11-25,1.8302,1.89173,1.82528,1.86712,30378000,1.82778
2014-11-24,1.80559,1.86548,1.79903,1.83594,37794200,1.79726
2014-11-21,1.73176,1.80887,1.72848,1.80231,40166600,1.76434
2014-11-20,1.77114,1.77114,1.70305,1.73176,32567700,1.69528
2014-11-19,1.80066,1.81133,1.76047,1.77442,28490000,1.73704
2014-11-18,1.7818,1.81625,1.76868,1.79657,99611600,1.75872
2014-11-17,1.68089,1.7777,1.67762,1.77688,33232100,1.73945
2014-11-14,1.70305,1.70551,1.67351,1.70468,20622900,1.66877
2014-11-13,1.72109,1.72109,1.65383,1.685,37706400,1.6495
2014-11-12,1.74817,1.75801,1.70141,1.70141,38875300,1.66557
2014-11-11,1.75063,1.79001,1.73914,1.75637,31453100,1.71936
2014-11-10,1.72356,1.74078,1.69567,1.73176,22509800,1.69528
2014-11-07,1.73914,1.75473,1.70141,1.72848,30877700,1.69206
2014-11-06,1.75965,1.80231,1.70305,1.7334,70271400,1.69688
2014-11-05,1.79247,1.79574,1.75637,1.77278,29835700,1.73543
2014-11-04,1.82938,1.86137,1.75227,1.77195,43669900,1.73462
2014-11-03,1.87532,1.89501,1.8179,1.8302,32623700,1.79164
2014-10-31,1.88024,1.90896,1.84661,1.8868,48799400,1.84705
2014-10-30,1.84825,1.88762,1.74817,1.8384,44813500,1.79967
2014-10-29,1.91551,1.93192,1.80149,1.80969,34564600,1.77157
2014-10-28,1.89173,1.93192,1.87614,1.91388,22314600,1.87356
2014-10-27,1.96884,1.97212,1.8622,1.87614,38064100,1.83661
2014-10-24,1.88762,1.9393,1.88188,1.93521,26463200,1.89444
2014-10-23,1.86548,1.9188,1.84743,1.90157,26266200,1.86151
2014-10-22,1.8622,1.88434,1.8425,1.88434,39332300,1.84464
2014-10-21,1.76211,1.85728,1.7539,1.85399,31747000,1.81493
2014-10-20,1.75719,1.7777,1.73258,1.76211,25073800,1.72499
2014-10-17,1.68746,1.76376,1.66121,1.7613,40682900,1.72419
2014-10-16,1.73914,1.75144,1.60625,1.67434,61583600,1.63906
2014-10-15,1.81707,1.81707,1.67843,1.72027,58720100,1.68403
2014-10-14,1.78016,1.82282,1.76376,1.81544,21057400,1.77719
2014-10-13,1.76539,1.82282,1.75555,1.79328,22868600,1.7555
2014-10-10,1.79657,1.81707,1.76539,1.7818,39997200,1.74426
2014-10-09,1.8868,1.8868,1.7982,1.82199,31586900,1.78361
2014-10-08,1.8622,1.87861,1.83431,1.84989,37797300,1.81092
2014-10-07,1.92044,1.92618,1.88024,1.8868,18638200,1.84705
2014-10-06,1.93029,1.95162,1.92372,1.92864,19649400,1.88801
2014-10-03,1.91142,1.91551,1.8704,1.90978,25589300,1.86954
2014-10-02,1.927,1.94013,1.85809,1.85891,33274600,1.81975
2014-10-01,1.91224,1.96966,1.91224,1.93192,27106100,1.89122
2014-09-30,1.89501,1.92946,1.88188,1.9229,26746100,1.88239
2014-09-29,1.93849,1.94341,1.88353,1.88434,28888800,1.84464
2014-09-26,1.92783,1.94669,1.91305,1.9393,17147300,1.89845
2014-09-25,1.94423,1.96392,1.91962,1.92864,23840900,1.88801
2014-09-24,1.94833,1.95571,1.91224,1.94177,27281400,1.90086
2014-09-23,1.99346,2.00084,1.94587,1.95243,46312500,1.9113
2014-09-22,2.01724,2.03611,1.99509,2.00411,18881400,1.96189
2014-09-19,2.05087,2.07139,2.02216,2.03775,35427400,1.99482
2014-09-18,2.00986,2.05006,2.00576,2.03119,23786400,1.98839
2014-09-17,1.959,2.00576,1.95079,2.0033,24178600,1.96109
2014-09-16,1.95571,1.95818,1.91551,1.94587,17774200,1.90488
2014-09-15,2.00986,2.01314,1.94259,1.95571,42572400,1.91451
2014-09-12,2.02298,2.03775,2.00904,2.03036,13339700,1.98759
2014-09-11,2.03201,2.03857,1.99346,2.01396,17838300,1.97153
2014-09-10,1.99755,2.02216,1.97048,2.02052,43792700,1.97795
2014-09-09,2.05826,2.06728,2.0033,2.00822,26510500,1.96591
2014-09-08,2.05908,2.08205,2.04677,2.07139,14302300,2.02775
2014-09-05,2.04268,2.07549,2.04268,2.06564,22025700,2.02212
2014-09-04,1.98525,2.07466,1.98114,2.04268,119341000,1.99964
2014-09-03,1.97705,2.01232,1.9713,1.99755,19368200,1.95547
2014-09-02,1.95981,1.99017,1.94915,1.96884,12653800,1.92736
2014-09-01,1.96884,1.97622,1.93603,1.96146,12592100,1.92014
2014-08-29,1.9713,1.99673,1.94095,1.96556,17715400,1.92415
2014-08-28,2.00576,2.0156,1.96884,1.97048,19211100,1.92896
2014-08-27,2.00165,2.03365,1.99346,2.01806,17321600,1.97554
2014-08-26,1.96802,1.99838,1.96556,1.99838,15404600,1.95628
2014-08-25,1.96064,1.9713,1.93767,1.97048,15304400,1.92896
2014-08-22,1.94587,1.9672,1.9188,1.93521,26799000,1.89444
2014-08-21,1.91962,1.95325,1.90485,1.94013,14617100,1.89925
2014-08-20,1.91634,1.92372,1.89665,1.9188,12384600,1.87837
2014-08-19,1.90075,1.92537,1.89747,1.9147,13585700,1.87436
2014-08-18,1.8868,1.89665,1.85645,1.89255,15878100,1.85267
2014-08-15,1.87696,1.89829,1.85153,1.85645,300082500,1.81734
2014-08-14,1.86958,1.88926,1.85071,1.8704,11905800,1.831
2014-08-13,1.88599,1.89337,1.86383,1.87614,16768700,1.83661
2014-08-12,1.83758,1.89665,1.8261,1.87204,21890000,1.8326
2014-08-11,1.85563,1.88024,1.82282,1.8384,16179700,1.79967
2014-08-08,1.77934,1.85235,1.76376,1.83348,33547100,1.79486
