Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,6.494,6.52,6.481,6.506,14199100,5.44701
2013-12-30,6.519,6.548,6.479,6.50,53468900,5.44199
2013-12-27,6.47,6.511,6.44,6.511,57435700,5.4512
2013-12-26,6.451,6.451,6.451,6.451,000,5.40097
2013-12-25,6.451,6.451,6.451,6.451,000,5.40097
2013-12-24,6.418,6.46,6.395,6.451,14763100,5.40097
2013-12-23,6.378,6.41,6.323,6.41,87209500,5.36664
2013-12-20,6.347,6.372,6.278,6.372,200922200,5.33483
2013-12-19,6.255,6.359,6.231,6.318,97673000,5.28961
2013-12-18,6.13,6.178,6.072,6.17,81953400,5.1657
2013-12-17,6.152,6.179,6.069,6.08,77241500,5.09035
2013-12-16,6.052,6.228,6.045,6.176,85004000,5.17073
2013-12-13,6.067,6.135,6.035,6.04,61676000,5.05687
2013-12-12,6.136,6.14,6.022,6.059,55182600,5.07277
2013-12-11,6.254,6.285,6.121,6.148,142729800,5.14729
2013-12-10,6.272,6.349,6.223,6.233,63358300,5.21845
2013-12-09,6.247,6.30,6.20,6.285,91344700,5.26199
2013-12-06,6.215,6.249,6.08,6.226,81449900,5.21259
2013-12-05,6.32,6.38,6.152,6.20,69053300,5.19082
2013-12-04,6.397,6.415,6.286,6.325,84138800,5.29548
2013-12-03,6.494,6.506,6.37,6.37,77578300,5.33315
2013-12-02,6.556,6.579,6.46,6.48,45995800,5.42525
2013-11-29,6.603,6.638,6.53,6.543,53685600,5.47799
2013-11-28,6.536,6.603,6.523,6.584,38300000,5.51232
2013-11-27,6.446,6.535,6.426,6.517,72419600,5.45622
2013-11-26,6.401,6.465,6.401,6.42,50348700,5.37501
2013-11-25,6.471,6.49,6.413,6.44,57661600,5.39176
2013-11-22,6.425,6.45,6.363,6.428,56931700,5.38171
2013-11-21,6.30,6.41,6.273,6.377,29441200,5.33901
2013-11-20,6.35,6.423,6.30,6.34,104273200,5.30803
2013-11-19,6.45,6.465,6.352,6.352,62777500,5.31808
2013-11-18,6.362,6.525,6.321,6.483,55690200,5.42776
2013-11-15,6.39,6.412,6.331,6.388,54426800,5.34822
2013-11-14,6.47,6.476,6.273,6.387,61856700,5.34738
2013-11-13,6.395,6.429,6.31,6.392,65136000,5.35157
2013-11-12,6.469,6.52,6.394,6.405,50572100,5.36245
2013-11-11,6.442,6.479,6.361,6.458,35636900,5.40683
2013-11-08,6.411,6.473,6.312,6.409,75625000,5.3658
2013-11-07,6.514,6.76,6.438,6.462,117884000,5.41018
2013-11-06,6.475,6.528,6.45,6.502,36129500,5.44366
2013-11-05,6.536,6.546,6.363,6.43,66482100,5.38338
2013-11-04,6.534,6.543,6.445,6.506,101580200,5.44701
2013-11-01,6.549,6.572,6.46,6.484,24199200,5.4286
2013-10-31,6.437,6.544,6.381,6.539,61380500,5.47464
2013-10-30,6.477,6.587,6.393,6.425,90314900,5.3792
2013-10-29,6.28,6.493,6.25,6.49,64481900,5.43362
2013-10-28,6.54,6.55,6.27,6.347,73376900,5.31389
2013-10-25,6.517,6.57,6.472,6.53,106123600,5.46711
2013-10-24,6.418,6.613,6.41,6.613,90586700,5.5366
2013-10-23,6.65,6.665,6.451,6.54,223786000,5.47548
2013-10-22,6.73,6.752,6.692,6.70,77256100,5.60944
2013-10-21,6.769,6.777,6.68,6.747,82621500,5.64879
2013-10-18,6.736,6.775,6.681,6.774,328723300,5.67139
2013-10-17,6.65,6.727,6.613,6.72,319255000,5.62618
2013-10-16,6.54,6.70,6.508,6.697,195379400,5.60692
2013-10-15,6.63,6.714,6.584,6.714,155009800,5.49306
2013-10-14,6.518,6.599,6.50,6.597,38663600,5.39734
2013-10-11,6.61,6.61,6.49,6.524,59873700,5.33761
2013-10-10,6.40,6.638,6.384,6.565,151875900,5.37116
