Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,2.92,2.949,2.841,2.863,5484000,2.80111
2014-12-30,3.072,3.08,2.93,2.95,7387800,2.88623
2014-12-29,3.13,3.17,3.025,3.078,4533000,3.01146
2014-12-26,3.16,3.16,3.16,3.16,000,3.09169
2014-12-25,3.16,3.16,3.16,3.16,000,3.09169
2014-12-24,3.15,3.181,3.079,3.16,1939500,3.09169
2014-12-23,3.145,3.15,3.042,3.142,4726100,3.07408
2014-12-22,3.17,3.21,3.08,3.13,6162000,3.06234
2014-12-19,3.20,3.24,3.046,3.139,14438700,3.07114
2014-12-18,3.104,3.23,3.083,3.173,10237500,3.10441
2014-12-17,3.00,3.038,2.932,3.018,5644800,2.95276
2014-12-16,2.929,3.037,2.761,3.027,10378600,2.96157
2014-12-15,3.00,3.08,2.91,2.912,9988200,2.84905
2014-12-12,3.04,3.088,2.99,2.993,8342300,2.9283
2014-12-11,3.111,3.158,2.92,3.10,9325800,3.03299
2014-12-10,3.24,3.259,3.13,3.133,7127300,3.06527
2014-12-09,3.245,3.255,3.15,3.20,10016700,3.13083
2014-12-08,3.32,3.398,3.28,3.286,5164000,3.21497
2014-12-05,3.22,3.325,3.181,3.32,6309000,3.24823
2014-12-04,3.265,3.35,3.14,3.155,10275800,3.0868
2014-12-03,3.214,3.268,3.20,3.26,7296300,3.18953
2014-12-02,3.153,3.219,3.132,3.198,4377500,3.12887
2014-12-01,3.159,3.17,3.03,3.113,13234100,3.04571
2014-11-28,3.271,3.305,3.13,3.155,8529500,3.0868
2014-11-27,3.275,3.304,3.232,3.239,5289000,3.16898
2014-11-26,3.29,3.308,3.211,3.24,5564700,3.16996
2014-11-25,3.20,3.328,3.18,3.269,10137100,3.19833
2014-11-24,3.187,3.249,3.125,3.207,11484500,3.13767
2014-11-21,2.954,3.159,2.954,3.111,10945300,3.04375
2014-11-20,3.013,3.025,2.861,2.939,6182200,2.87547
2014-11-19,2.986,3.055,2.94,3.022,6169200,2.95667
2014-11-18,2.96,3.031,2.91,2.959,13720000,2.89504
2014-11-17,2.82,2.96,2.755,2.943,8416700,2.87938
2014-11-14,3.161,3.17,2.659,2.75,21490200,2.69055
2014-11-13,3.165,3.169,3.071,3.132,10173000,3.0643
2014-11-12,3.285,3.314,3.103,3.112,15309400,3.04473
2014-11-11,3.425,3.445,3.306,3.309,6911800,3.23747
2014-11-10,3.34,3.42,3.282,3.404,4570200,3.33042
2014-11-07,3.484,3.505,3.326,3.347,5347000,3.27465
2014-11-06,3.45,3.581,3.381,3.45,5245400,3.37542
2014-11-05,3.439,3.51,3.369,3.448,5639900,3.37346
2014-11-04,3.56,3.62,3.366,3.385,9292400,3.31183
2014-11-03,3.504,3.63,3.50,3.551,4671000,3.47424
2014-10-31,3.534,3.569,3.446,3.493,9044200,3.41749
2014-10-30,3.515,3.555,3.312,3.442,9188200,3.36759
2014-10-29,3.69,3.693,3.485,3.499,6600900,3.42336
2014-10-28,3.584,3.694,3.573,3.662,4806000,3.58284
2014-10-27,3.708,3.71,3.50,3.564,9424000,3.48696
2014-10-24,3.64,3.682,3.60,3.648,10312900,3.56914
2014-10-23,3.608,3.705,3.485,3.645,9765300,3.56621
2014-10-22,3.682,3.727,3.566,3.64,9227400,3.56131
2014-10-21,3.437,3.677,3.401,3.642,6846400,3.56327
2014-10-20,3.523,3.55,3.431,3.446,8433200,3.37151
2014-10-17,3.31,3.485,3.302,3.482,9447600,3.40673
2014-10-16,3.40,3.44,3.089,3.293,13781200,3.22182
2014-10-15,3.549,3.626,3.345,3.372,9868100,3.29911
2014-10-14,3.595,3.655,3.492,3.537,12053900,3.46054
2014-10-13,3.57,3.737,3.55,3.631,9915000,3.55251
2014-10-10,3.651,3.698,3.57,3.61,12958400,3.53196
2014-10-09,3.997,4.01,3.677,3.719,9713600,3.63861
2014-10-08,3.96,3.989,3.865,3.894,7915800,3.80982
2014-10-07,4.133,4.139,3.983,3.995,7752800,3.90864
2014-10-06,4.11,4.187,4.097,4.15,4814300,4.06029
2014-10-03,4.088,4.125,4.00,4.068,5923600,3.98006
2014-10-02,4.20,4.236,3.981,3.981,10645400,3.89494
2014-10-01,4.251,4.297,4.181,4.217,4889900,4.12584
2014-09-30,4.218,4.274,4.178,4.264,4760600,4.17183
2014-09-29,4.228,4.288,4.151,4.197,4113400,4.10627
2014-09-26,4.18,4.255,4.11,4.218,6180200,4.12682
2014-09-25,4.37,4.388,4.185,4.204,6767200,4.11312
2014-09-24,4.286,4.36,4.184,4.343,5733800,4.24912
2014-09-23,4.36,4.36,4.232,4.278,7764700,4.18552
2014-09-22,4.40,4.446,4.33,4.373,3440400,4.27847
2014-09-19,4.509,4.53,4.402,4.43,7045000,4.33424
2014-09-18,4.403,4.48,4.38,4.40,4909000,4.30489
2014-09-17,4.286,4.429,4.272,4.399,4861800,4.30391
2014-09-16,4.284,4.297,4.156,4.247,4668500,4.15519
2014-09-15,4.31,4.379,4.257,4.283,4700600,4.19041
2014-09-12,4.372,4.389,4.28,4.296,3073100,4.20313
2014-09-11,4.45,4.49,4.30,4.352,5462600,4.25792
2014-09-10,4.40,4.445,4.275,4.429,4901900,4.33326
2014-09-09,4.535,4.583,4.402,4.43,3767700,4.33424
2014-09-08,4.514,4.596,4.51,4.555,4171500,4.45653
2014-09-05,4.421,4.568,4.41,4.502,6771600,4.40468
2014-09-04,4.329,4.474,4.301,4.424,7521700,4.32837
2014-09-03,4.298,4.359,4.27,4.334,3449300,4.24031
2014-09-02,4.299,4.319,4.265,4.277,2217700,4.18454
2014-09-01,4.251,4.31,4.251,4.277,2399600,4.18454
2014-08-29,4.263,4.319,4.21,4.264,2725500,4.17183
2014-08-28,4.386,4.40,4.226,4.261,5460800,4.16889
2014-08-27,4.377,4.429,4.312,4.393,4362400,4.29804
2014-08-26,4.216,4.40,4.181,4.40,6071900,4.30489
2014-08-25,4.183,4.21,4.129,4.207,2524900,4.11606
2014-08-22,4.171,4.18,4.06,4.107,3523400,4.01822
2014-08-21,3.979,4.155,3.941,4.152,3839100,4.06225
2014-08-20,3.97,3.979,3.91,3.971,1646900,3.88516
2014-08-19,3.97,3.995,3.946,3.965,1544700,3.87929
2014-08-18,3.976,3.989,3.90,3.943,2320300,3.85776
2014-08-15,3.957,4.01,3.88,3.901,3029100,3.81667
2014-08-14,3.987,4.031,3.93,3.951,2646400,3.86559
2014-08-13,4.023,4.04,3.941,4.018,2882300,3.93114
2014-08-12,4.029,4.06,3.932,3.986,9602800,3.89983
2014-08-11,3.887,4.044,3.854,4.022,6203300,3.93506
2014-08-08,3.726,3.87,3.64,3.784,8396700,3.7022
2014-08-07,3.937,3.995,3.774,3.804,6331400,3.72177
2014-08-06,4.00,4.05,3.88,3.958,7002000,3.87244
2014-08-05,4.20,4.218,3.964,4.03,6439200,3.94288
2014-08-04,4.183,4.263,4.121,4.161,6625200,4.07105
2014-08-01,4.164,4.213,4.02,4.114,10263100,4.02507
2014-07-31,4.45,4.46,4.16,4.24,13927600,4.14834
2014-07-30,4.586,4.605,4.422,4.468,4695300,4.37142
2014-07-29,4.573,4.639,4.545,4.596,3787500,4.49665
2014-07-28,4.572,4.598,4.50,4.561,4560000,4.46241
2014-07-25,4.576,4.663,4.521,4.545,5219800,4.44675
2014-07-24,4.50,4.64,4.46,4.603,5383300,4.5035
2014-07-23,4.47,4.554,4.45,4.50,3087400,4.40272
2014-07-22,4.422,4.532,4.405,4.508,5320400,4.41055
2014-07-21,4.462,4.489,4.351,4.403,1766600,4.30782
2014-07-18,4.351,4.479,4.306,4.466,3394400,4.36946
2014-07-17,4.465,4.536,4.413,4.443,3775600,4.34696
2014-07-16,4.40,4.52,4.32,4.517,5413100,4.41936
2014-07-15,4.334,4.397,4.257,4.343,4990200,4.24912
