Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,5.37,5.37,5.09,5.09,417600,4.80412
2012-12-28,5.35,5.43,5.305,5.31,440000,5.01176
2012-12-27,5.43,5.52,5.30,5.33,1050700,5.03064
2012-12-26,5.448,5.448,5.448,5.448,000,5.14201
2012-12-25,5.448,5.448,5.448,5.448,000,5.14201
2012-12-24,5.445,5.504,5.442,5.448,330600,5.14201
2012-12-21,5.43,5.518,5.351,5.477,1721300,5.16938
2012-12-20,5.515,5.60,5.432,5.432,3163600,5.12691
2012-12-19,5.65,5.75,5.47,5.69,3325800,5.37042
2012-12-18,5.541,5.544,5.41,5.538,1895100,5.22695
2012-12-17,5.40,5.55,5.35,5.489,2387200,5.18071
2012-12-14,5.20,5.449,5.199,5.389,2783800,5.08632
2012-12-13,5.15,5.20,5.045,5.20,1698900,4.90794
2012-12-12,4.98,5.13,4.918,5.13,1629500,4.84187
2012-12-11,4.987,4.99,4.866,4.93,997700,4.6531
2012-12-10,5.00,5.00,4.772,4.911,501800,4.63517
2012-12-07,5.003,5.031,4.82,4.97,2110600,4.69086
2012-12-06,4.99,5.02,4.92,5.003,1853200,4.722
2012-12-05,4.806,4.979,4.806,4.971,2283500,4.6918
2012-12-04,4.75,4.86,4.706,4.789,1712300,4.52002
2012-12-03,4.57,4.839,4.567,4.83,2220400,4.55872
2012-11-30,4.498,4.558,4.448,4.532,1922500,4.27746
2012-11-29,4.323,4.509,4.29,4.50,2103700,4.24725
2012-11-28,4.32,4.336,4.25,4.258,249200,4.01885
2012-11-27,4.285,4.35,4.253,4.345,360000,4.10096
2012-11-26,4.295,4.33,4.229,4.245,296800,4.00658
2012-11-23,4.439,4.439,4.35,4.374,322000,4.12833
2012-11-22,4.406,4.48,4.406,4.44,1100300,4.19062
2012-11-21,4.45,4.476,4.363,4.446,495600,4.19629
2012-11-20,4.325,4.453,4.321,4.453,587300,4.20289
2012-11-19,4.211,4.477,4.211,4.41,1145300,4.16231
2012-11-16,4.128,4.21,4.128,4.20,583100,3.9641
2012-11-15,4.17,4.227,4.127,4.15,444600,3.91691
2012-11-14,4.198,4.218,4.122,4.218,421800,3.98109
2012-11-13,4.174,4.21,4.10,4.166,144800,3.93201
2012-11-12,4.201,4.222,4.098,4.222,201900,3.98487
2012-11-09,4.29,4.308,4.14,4.176,417600,3.94145
2012-11-08,4.224,4.371,4.18,4.371,392400,4.1255
2012-11-07,4.205,4.26,4.205,4.223,944000,3.98581
2012-11-06,4.225,4.25,4.181,4.184,821100,3.949
2012-11-05,4.205,4.247,4.178,4.242,1112200,4.00375
2012-11-02,4.25,4.25,4.157,4.25,608300,4.0113
2012-11-01,4.152,4.248,4.133,4.219,291600,3.98204
2012-10-31,4.229,4.247,4.141,4.144,357800,3.91125
2012-10-30,4.25,4.264,4.222,4.228,355600,3.99053
2012-10-29,4.168,4.25,4.139,4.241,397200,4.0028
2012-10-26,4.11,4.216,4.075,4.161,214600,3.92729
2012-10-25,4.12,4.23,4.10,4.151,287700,3.91786
2012-10-24,4.06,4.20,4.06,4.179,754900,3.94428
2012-10-23,4.15,4.189,4.045,4.114,359600,3.88293
2012-10-22,4.082,4.149,4.052,4.139,1034600,3.90653
2012-10-19,4.261,4.261,4.059,4.094,801300,3.86406
2012-10-18,4.50,4.50,4.21,4.275,1456600,4.03489
2012-10-17,4.169,4.441,4.133,4.441,798600,4.19157
2012-10-16,4.00,4.156,3.972,4.156,600400,3.92258
2012-10-15,3.90,3.96,3.90,3.951,536000,3.72909
2012-10-12,3.978,4.002,3.90,3.90,1087600,3.68095
2012-10-11,4.00,4.037,3.839,4.00,968600,3.77534
2012-10-10,4.104,4.178,4.001,4.001,760900,3.77628
2012-10-09,4.177,4.26,4.09,4.113,1350300,3.88199
2012-10-08,4.30,4.30,4.16,4.181,281500,3.94617
2012-10-05,4.324,4.365,4.28,4.30,546100,4.05849
2012-10-04,4.50,4.513,4.26,4.30,441100,4.05849
2012-10-03,4.369,4.50,4.352,4.481,330800,4.22932
2012-10-02,4.30,4.43,4.279,4.41,355000,4.16231
2012-10-01,4.257,4.37,4.217,4.324,522100,4.08114
2012-09-28,4.25,4.296,4.12,4.22,454200,3.98298
2012-09-27,4.336,4.35,4.119,4.188,527200,3.95278
2012-09-26,4.51,4.543,4.263,4.263,840100,4.02357
2012-09-25,4.575,4.612,4.53,4.582,437600,4.32465
2012-09-24,4.599,4.626,4.53,4.577,388200,4.31993
2012-09-21,4.45,4.66,4.44,4.649,1214900,4.38789
2012-09-20,4.411,4.50,4.40,4.466,692300,4.21516
2012-09-19,4.493,4.51,4.401,4.453,1113300,4.20289
2012-09-18,4.484,4.516,4.455,4.484,1412900,4.23215
2012-09-17,4.60,4.60,4.48,4.50,1474400,4.24725
2012-09-14,4.70,4.74,4.58,4.58,4553100,4.32276
2012-09-13,4.463,4.649,4.463,4.611,3906300,4.35202
