Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,27.83,27.90,27.58,27.765,152200,23.365
2011-12-29,27.60,27.885,27.15,27.59,212100,23.218
2011-12-28,27.52,28.15,27.31,27.495,352100,23.138
2011-12-27,27.535,27.75,27.34,27.44,140600,23.092
2011-12-26,27.67,27.67,27.67,27.67,000,23.285
2011-12-23,27.77,27.885,27.365,27.67,161700,23.285
2011-12-22,27.17,27.61,27.10,27.55,388100,23.184
2011-12-21,27.05,27.59,26.68,26.935,492900,22.667
2011-12-20,25.40,26.86,25.40,26.655,323300,22.431
2011-12-19,25.34,25.95,25.34,25.46,347400,21.425
2011-12-16,25.905,25.905,25.32,25.655,346200,21.59
2011-12-15,25.16,25.95,25.00,25.50,271200,21.459
2011-12-14,25.70,25.98,24.90,25.00,545600,21.038
2011-12-13,26.23,26.57,25.605,25.82,314700,21.728
2011-12-12,27.185,27.35,26.15,26.24,223600,22.082
2011-12-09,26.40,27.48,26.13,27.305,279200,22.978
2011-12-08,27.325,27.745,26.26,26.505,319900,22.305
2011-12-07,27.99,28.17,26.615,27.32,426800,22.991
2011-12-06,27.895,28.75,27.51,27.57,557200,23.201
2011-12-05,27.36,27.915,27.27,27.79,282700,23.386
2011-12-02,26.70,27.35,26.66,27.015,448700,22.734
2011-12-01,27.005,27.165,26.28,26.55,300700,22.343
2011-11-30,25.285,27.13,25.01,26.885,444300,22.625
2011-11-29,25.70,25.795,25.06,25.545,338700,21.497
2011-11-28,24.73,25.74,24.73,25.70,331500,21.627
2011-11-25,24.00,24.57,23.50,24.28,389300,20.432
2011-11-24,24.35,24.81,23.53,23.98,519500,20.18
2011-11-23,24.22,25.10,24.10,24.30,589600,20.449
2011-11-22,25.11,25.695,24.31,24.33,297400,20.474
2011-11-21,26.08,26.16,24.81,25.07,414800,21.097
2011-11-18,26.15,26.50,25.94,26.195,434200,22.044
2011-11-17,26.615,26.91,26.05,26.21,646200,22.057
2011-11-16,26.50,27.92,26.495,26.77,687000,22.528
2011-11-15,26.65,27.00,26.015,26.655,445800,22.431
